 ***Theta   Eprime   Sig_Born   Sig_Rad
   17.6125   3.1675  11.1172  12.5682
   17.6125   3.1765  11.0897  12.5208
   17.6125   3.1855  11.0623  12.4734
   17.6125   3.1945  11.0349  12.4255
   17.6125   3.2035  11.0075  12.3791
   17.6125   3.2125  10.9801  12.3334
   17.6125   3.2215  10.9528  12.2870
   17.6125   3.2305  10.9254  12.2420
   17.6125   3.2395  10.8981  12.2008
   18.1125   2.9605  10.3455  11.9256
   18.1125   2.9695  10.3183  11.8782
   18.1125   2.9785  10.2912  11.8310
   18.1125   2.9875  10.2641  11.7829
   18.1125   2.9965  10.2370  11.7358
   18.1125   3.0055  10.2100  11.6890
   18.1125   3.0145  10.1830  11.6429
   18.1125   3.0235  10.1560  11.5959
   18.1125   3.0325  10.1291  11.5501
   18.1125   3.0415  10.1023  11.5042
   18.1125   3.0505  10.0755  11.4581
   18.1125   3.0595  10.0487  11.4133
   18.1125   3.0685  10.0219  11.3674
   18.1125   3.0775   9.9952  11.3224
   18.1125   3.0865   9.9685  11.2785
   18.1125   3.0955   9.9418  11.2345
   18.1125   3.1045   9.9152  11.1897
   18.1125   3.1135   9.8886  11.1436
   18.1125   3.1225   9.8620  11.0993
   18.1125   3.1315   9.8355  11.0552
   18.1125   3.1405   9.8089  11.0110
   18.1125   3.1495   9.7825  10.9683
   18.1125   3.1585   9.7560  10.9284
   18.1125   3.1675   9.7295  10.8810
   18.1125   3.1765   9.7031  10.8378
   18.1125   3.1855   9.6767  10.7948
   18.1125   3.1945   9.6503  10.7520
   18.1125   3.2035   9.6239  10.7093
   18.1125   3.2125   9.5976  10.6672
   18.1125   3.2215   9.5713  10.6247
   18.1125   3.2305   9.5450  10.5826
   18.1125   3.2395   9.5187  10.5401
   18.6125   2.9605   9.1075  10.3882
   18.6125   2.9695   9.0814  10.3441
   18.6125   2.9785   9.0554  10.3009
   18.6125   2.9875   9.0295  10.2570
   18.6125   2.9965   9.0035  10.2141
   18.6125   3.0055   8.9777  10.1717
   18.6125   3.0145   8.9518  10.1288
   18.6125   3.0235   8.9260  10.0872
   18.6125   3.0325   8.9002  10.0429
   18.6125   3.0415   8.8744  10.0002
   18.6125   3.0505   8.8487   9.9581
   18.6125   3.0595   8.8230   9.9163
   18.6125   3.0685   8.7974   9.8742
   18.6125   3.0775   8.7717   9.8329
   18.6125   3.0865   8.7461   9.7913
   18.6125   3.0955   8.7205   9.7502
   18.6125   3.1045   8.6950   9.7091
   18.6125   3.1135   8.6694   9.6684
   18.6125   3.1225   8.6439   9.6276
   18.6125   3.1315   8.6184   9.5869
   18.6125   3.1405   8.5929   9.5467
   18.6125   3.1495   8.5675   9.5066
   18.6125   3.1585   8.5420   9.4659
   18.6125   3.1675   8.5166   9.4258
   18.6125   3.1765   8.4912   9.3857
   18.6125   3.1855   8.4658   9.3464
   18.6125   3.1945   8.4405   9.3066
   18.6125   3.2035   8.4151   9.2673
   18.6125   3.2125   8.3898   9.2284
   18.6125   3.2215   8.3645   9.1894
   18.6125   3.2305   8.3391   9.1497
   18.6125   3.2395   8.3138   9.1109
   19.1125   2.9605   8.0205   9.0548
