 ***Theta   Eprime   Sig_Born   Sig_Rad
   14.0717   2.9605  30.3283  38.4739
   14.0717   2.9695  30.2893  38.3701
   14.0717   2.9785  30.2505  38.2655
   14.0717   2.9875  30.2118  38.1613
   14.0717   2.9965  30.1734  38.0530
   14.0717   3.0055  30.1351  37.9533
   14.0717   3.0145  30.0969  37.8536
   14.0717   3.0235  30.0590  37.7513
   14.0717   3.0325  30.0212  37.6498
   14.0717   3.0415  29.9836  37.5501
   14.0717   3.0505  29.9461  37.4513
   14.0717   3.0595  29.9088  37.3505
   14.0717   3.0685  29.8717  37.2518
   14.0717   3.0775  29.8347  37.1542
   14.0717   3.0865  29.7979  37.0563
   14.0717   3.0955  29.7612  36.9616
   14.0717   3.1045  29.7246  36.8664
   14.0717   3.1135  29.6883  36.7704
   14.0717   3.1225  29.6520  36.6768
   14.0717   3.1315  29.6160  36.5827
   14.0717   3.1405  29.5800  36.4884
   14.0717   3.1495  29.5442  36.3953
   14.0717   3.1585  29.5085  36.3035
   14.0717   3.1675  29.4730  36.2100
   14.0717   3.1765  29.4376  36.1214
   14.0717   3.1855  29.4024  36.0304
   14.0717   3.1945  29.3673  35.9405
   14.0717   3.2035  29.3323  35.8495
   14.0717   3.2125  29.2974  35.7607
   14.0717   3.2215  29.2627  35.6713
   14.0717   3.2305  29.2280  35.5837
   14.0717   3.2395  29.1935  35.4923
   14.5717   2.9605  26.3668  33.0180
   14.5717   2.9695  26.3295  32.9239
   14.5717   2.9785  26.2923  32.8280
   14.5717   2.9875  26.2553  32.7359
   14.5717   2.9965  26.2184  32.6433
   14.5717   3.0055  26.1817  32.5504
   14.5717   3.0145  26.1451  32.4597
   14.5717   3.0235  26.1086  32.3685
   14.5717   3.0325  26.0723  32.2794
   14.5717   3.0415  26.0362  32.1904
   14.5717   3.0505  26.0001  32.0994
   14.5717   3.0595  25.9643  32.0090
   14.5717   3.0685  25.9285  31.9212
   14.5717   3.0775  25.8929  31.8327
   14.5717   3.0865  25.8574  31.7470
   14.5717   3.0955  25.8220  31.6617
   14.5717   3.1045  25.7868  31.5755
   14.5717   3.1135  25.7517  31.4889
   14.5717   3.1225  25.7167  31.4024
   14.5717   3.1315  25.6818  31.3196
   14.5717   3.1405  25.6471  31.2332
   14.5717   3.1495  25.6124  31.1494
   14.5717   3.1585  25.5779  31.0672
   14.5717   3.1675  25.5435  30.9868
   14.5717   3.1765  25.5092  30.9044
   14.5717   3.1855  25.4751  30.8236
   14.5717   3.1945  25.4410  30.7398
   14.5717   3.2035  25.4070  30.6573
   14.5717   3.2125  25.3732  30.5780
   14.5717   3.2215  25.3394  30.4988
   14.5717   3.2305  25.3057  30.4190
   14.5717   3.2395  25.2722  30.3402
   15.0717   2.9605  22.9800  28.4161
   15.0717   2.9695  22.9443  28.3304
   15.0717   2.9785  22.9087  28.2459
   15.0717   2.9875  22.8733  28.1617
   15.0717   2.9965  22.8380  28.0782
   15.0717   3.0055  22.8028  27.9958
   15.0717   3.0145  22.7677  27.9109
   15.0717   3.0235  22.7328  27.8316
   15.0717   3.0325  22.6979  27.7502
   15.0717   3.0415  22.6632  27.6682
   15.0717   3.0505  22.6286  27.5869
   15.0717   3.0595  22.5942  27.5076
   15.0717   3.0685  22.5598  27.4276
   15.0717   3.0775  22.5255  27.3489
   15.0717   3.0865  22.4914  27.2691
   15.0717   3.0955  22.4574  27.1942
   15.0717   3.1045  22.4234  27.1161
   15.0717   3.1135  22.3896  27.0369
   15.0717   3.1225  22.3559  26.9614
   15.0717   3.1315  22.3223  26.8844
   15.0717   3.1405  22.2887  26.8091
   15.0717   3.1495  22.2553  26.7337
   15.0717   3.1585  22.2220  26.6590
   15.0717   3.1675  22.1887  26.5780
   15.0717   3.1765  22.1556  26.5034
   15.0717   3.1855  22.1225  26.4293
   15.0717   3.1945  22.0895  26.3544
   15.0717   3.2035  22.0567  26.2819
   15.0717   3.2125  22.0239  26.2081
   15.0717   3.2215  21.9912  26.1363
   15.0717   3.2305  21.9585  26.0638
   15.0717   3.2395  21.9260  25.9951
   15.5717   2.9605  20.0726  24.5169
   15.5717   2.9695  20.0385  24.4402
   15.5717   2.9785  20.0045  24.3652
