90837  0.34  0.45  0.30  0.42  0.42  0.43  0.39  0.51  0.67  0.50  0.22  0.27  0.50  0.24  0.12  0.41  
90838  0.32  0.28  0.34  0.46  0.47  0.44  0.51  0.46  0.61  0.54  0.40  0.30  0.28  0.25  0.19  0.39  
90839  0.49  0.26  0.12  0.22  0.33  0.71  0.32  0.16  0.73  0.31  0.49  0.30  0.32  0.28  0.44  0.19  
90840  0.30  0.30  0.26  0.43  0.47  0.43  0.45  0.49  0.63  0.44  0.41  0.31  0.31  0.25  0.16  0.33  
90843  0.39  0.31  0.29  0.52  0.48  0.39  0.17  0.54  0.56  0.45  0.32  0.18  0.30  0.12  0.31  0.50  
90844  0.18  0.59  0.14  0.41  0.06  0.46  0.39  0.38  0.83  0.63  0.77  0.26  0.14  0.43  0.02  0.47  
90849  0.34  0.32  0.37  0.43  0.37  0.41  0.54  0.44  0.63  0.42  0.46  0.29  0.30  0.27  0.19  0.39  
90850  0.32  0.31  0.36  0.46  0.41  0.44  0.47  0.45  0.65  0.45  0.49  0.31  0.32  0.25  0.17  0.37  
90851  0.37  0.18  0.18  0.47  0.38  0.37  0.55  0.40  0.54  0.43  0.42  0.28  0.34  0.28  0.29  0.32  
90852  0.33  0.29  0.31  0.45  0.42  0.45  0.48  0.44  0.57  0.46  0.43  0.29  0.30  0.25  0.21  0.36  
90853  0.34  0.32  0.36  0.44  0.40  0.43  0.49  0.43  0.65  0.44  0.47  0.34  0.30  0.25  0.20  0.39  
90854  0.34  0.30  0.34  0.45  0.36  0.41  0.47  0.45  0.60  0.46  0.49  0.32  0.29  0.21  0.19  0.41  
90855  0.34  0.30  0.38  0.41  0.35  0.44  0.52  0.49  0.63  0.46  0.47  0.27  0.30  0.23  0.20  0.39  
90856  0.30  0.30  0.37  0.44  0.38  0.44  0.48  0.45  0.64  0.47  0.46  0.28  0.29  0.28  0.19  0.36  
90857  0.37  0.33  0.35  0.44  0.37  0.43  0.51  0.43  0.63  0.42  0.47  0.29  0.30  0.25  0.22  0.38  
90859  0.37  0.22  0.32  0.45  0.45  0.44  0.46  0.47  0.64  0.47  0.42  0.29  0.30  0.26  0.27  0.38  
90861  0.42  0.26  0.35  0.42  0.45  0.48  0.52  0.45  0.65  0.54  0.45  0.34  0.23  0.19  0.15  0.46  
90862  0.36  0.28  0.29  0.47  0.46  0.43  0.48  0.52  0.49  0.50  0.40  0.37  0.25  0.27  0.21  0.38  
90863  0.21  0.24  0.25  0.43  0.46  0.47  0.30  0.42  0.36  0.36  0.51  0.28  0.12  0.38  0.08  0.22  
90864  0.36  0.26  0.30  0.47  0.48  0.43  0.46  0.43  0.63  0.42  0.42  0.32  0.29  0.24  0.25  0.33  
90865  0.38  0.28  0.30  0.48  0.52  0.44  0.45  0.39  0.68  0.45  0.42  0.34  0.25  0.25  0.16  0.35  
90866  0.33  0.24  0.32  0.46  0.44  0.45  0.52  0.48  0.60  0.41  0.45  0.30  0.29  0.23  0.23  0.37  
90867  0.38  0.28  0.26  0.43  0.42  0.48  0.48  0.45  0.70  0.42  0.38  0.28  0.28  0.24  0.19  0.39  
90868  0.35  0.29  0.30  0.48  0.46  0.41  0.43  0.45  0.63  0.37  0.41  0.29  0.29  0.27  0.19  0.40  
90869  0.35  0.31  0.29  0.47  0.39  0.48  0.49  0.43  0.64  0.42  0.42  0.25  0.31  0.28  0.12  0.30  
90870  0.37  0.26  0.33  0.43  0.48  0.41  0.47  0.49  0.61  0.43  0.38  0.31  0.29  0.24  0.22  0.39  
90871  0.35  0.28  0.42  0.45  0.48  0.45  0.55  0.56  0.54  0.40  0.41  0.37  0.29  0.25  0.13  0.44  
90872  0.27  0.26  0.45  0.34  0.50  0.54  0.82  0.55  0.61  0.63  0.51  0.18  0.21  0.14  0.26  0.41  
90873  0.35  0.30  0.30  0.46  0.44  0.44  0.46  0.44  0.63  0.44  0.42  0.30  0.28  0.19  0.18  0.37  
90874  0.34  0.29  0.33  0.45  0.44  0.44  0.50  0.46  0.59  0.45  0.39  0.30  0.29  0.23  0.19  0.38  
90875  0.31  0.29  0.33  0.46  0.42  0.46  0.48  0.45  0.59  0.45  0.41  0.28  0.27  0.23  0.19  0.38  
90876  0.32  0.27  0.33  0.44  0.45  0.45  0.50  0.45  0.64  0.46  0.41  0.31  0.27  0.23  0.19  0.36  
90877  0.36  0.28  0.30  0.46  0.45  0.44  0.48  0.47  0.61  0.45  0.39  0.26  0.27  0.19  0.18  0.35  
90878  0.37  0.30  0.32  0.47  0.42  0.43  0.51  0.46  0.61  0.47  0.41  0.28  0.30  0.23  0.21  0.37  
90879  0.24  0.24  0.29  0.40  0.26  0.33  0.34  0.33  0.49  0.11  0.19  0.08  0.06  0.08  0.10  0.26  
90880  0.17  0.36  0.21  0.35  0.39  0.56  0.30  0.45  0.81  0.25  0.20  -0.02  0.17  0.20  0.24  0.20  
90883  0.06  0.49  0.43  0.37  0.04  -0.06  0.17  0.31  0.67  0.55  0.34  0.37  0.27  -0.00  0.17  0.14  
90884  0.40  0.31  0.28  0.28  0.41  0.39  0.40  0.20  0.73  0.45  0.26  0.18  0.14  0.29  0.15  0.49  
