nrun  cer1    cer2    cer3    cer4    cer5    cer6    cer7    cer8    cer9    cer10   flag
1207  80.61  59.67  90.72  100.05  81.99  110.39  113.64  95.38  121.64  70.11  0
1208  109.94  107.25  85.39  108.38  89.90  115.92  128.22  100.18  103.89  130.56  0
1209  88.56  98.05  91.11  120.58  87.42  113.63  129.32  111.49  100.92  129.59  0
1210  107.77  96.07  104.10  110.96  94.47  116.84  120.15  110.86  103.50  119.19  0
1211  83.87  92.63  95.76  111.53  90.99  115.76  134.20  106.89  109.06  129.17  0
1212  94.21  89.86  96.16  127.40  98.14  110.81  134.54  107.67  103.40  127.27  0
1213  96.32  99.16  100.13  115.21  92.04  110.85  124.61  105.54  112.14  131.86  0
1214  104.17  89.34  108.71  121.75  102.94  114.42  124.25  104.83  110.27  126.54  0
1215  104.35  88.63  106.87  118.38  95.60  114.85  136.38  101.65  95.98  126.00  0
1216  100.06  96.59  100.21  118.52  90.21  112.53  128.77  109.47  100.90  118.01  0
1217  98.40  82.96  92.71  115.65  98.20  115.38  136.87  108.51  104.18  127.37  0
1219  93.32  98.28  108.47  126.48  93.36  103.02  132.93  113.68  99.20  118.86  0
1220  96.25  86.20  90.89  121.03  98.05  105.98  131.13  105.52  106.13  128.61  0
1221  96.22  92.62  106.99  111.70  88.36  105.60  132.15  108.77  113.76  118.83  0
1222  91.81  94.01  110.25  113.17  98.17  111.25  132.10  111.58  112.12  127.11  0
1223  97.76  88.74  109.17  117.83  96.20  112.94  132.50  105.72  111.76  121.08  0
1224  109.35  86.05  102.28  113.17  94.35  110.97  129.75  110.74  102.65  120.71  0
1225  95.99  85.93  107.51  116.33  91.90  112.18  133.19  105.06  109.81  119.61  0
1231  85.26  82.26  105.38  113.09  100.08  113.25  134.04  115.34  116.84  118.68  0
1233  72.56  66.47  76.51  105.21  84.43  104.75  129.51  105.37  77.07  90.78  0
1234  95.33  113.11  112.12  123.37  93.52  136.87  179.00  104.71  130.57  75.61  0
1235  80.83  91.11  89.93  114.93  86.74  102.26  147.53  91.14  102.73  115.76  0
1236  80.25  84.34  101.66  120.31  87.72  103.54  123.91  111.77  123.16  113.56  0
1237  91.94  89.17  104.83  117.05  92.86  108.46  143.33  105.15  106.86  133.16  0
1238  90.91  86.07  104.32  113.86  92.63  108.60  116.26  93.63  109.40  131.24  0
1239  85.97  82.66  103.75  113.51  93.21  98.77  131.25  113.70  106.93  121.60  0
1240  98.48  89.41  100.61  111.71  91.63  104.72  122.04  111.24  107.05  115.02  0
1241  94.85  92.25  105.67  116.37  88.46  105.52  123.86  98.46  112.95  131.19  0
1242  91.24  88.88  98.58  127.62  98.89  110.58  124.92  99.35  107.21  126.87  0
1243  92.75  86.61  102.40  109.62  96.84  99.28  130.33  104.66  105.28  111.90  0
1244  116.35  91.54  87.65  54.13  111.46  109.51  121.80  139.43  85.08  140.46  0
1245  96.15  86.13  93.81  122.99  91.54  110.28  126.85  102.85  107.95  116.93  0
1246  86.53  95.18  91.32  119.82  92.03  107.27  133.19  100.70  100.78  120.90  0
1247  85.37  88.47  104.48  117.45  91.57  115.56  131.91  110.34  114.18  131.74  0
1248  79.27  92.19  102.21  115.97  90.15  108.18  136.52  114.68  96.54  123.16  0
1249  90.15  84.73  100.75  102.81  92.50  93.73  132.50  107.80  102.86  117.52  0
1250  94.12  84.77  95.66  115.96  89.44  106.57  118.85  101.83  107.88  128.21  0
1251  87.23  88.66  93.21  101.58  93.74  94.76  115.73  100.13  109.04  126.85  0
1257  125.47  75.08  65.63  61.73  81.31  84.81  129.29  65.65  167.78  127.25  0
1258  85.79  57.15  86.47  125.57  92.50  118.70  124.20  98.64  126.83  122.89  0
1260  89.40  94.22  100.81  124.72  95.75  98.95  117.69  102.34  120.12  131.80  0
1261  81.14  85.73  98.63  121.13  88.74  108.18  124.35  98.75  117.20  125.34  0
1262  84.28  81.45  99.75  108.58  86.18  110.99  139.83  106.73  110.58  130.82  0
1263  87.53  85.06  107.54  114.87  100.12  110.34  123.29  102.87  112.10  127.03  0
1264  95.37  73.02  91.58  124.74  98.83  110.94  126.05  107.41  106.13  137.33  0
1265  78.98  83.18  108.09  116.58  96.02  110.71  130.65  101.11  104.13  123.02  0
1266  84.65  88.03  102.12  111.19  94.47  111.10  132.39  113.41  110.15  142.31  0
1267  90.82  91.67  96.63  114.89  96.34  111.47  135.54  103.18  101.36  124.19  0
1268  95.28  83.45  100.30  109.20  86.08  93.19  134.56  102.66  117.77  133.05  0
1271  80.64  76.93  107.02  101.83  93.01  95.58  133.11  112.03  93.08  107.69  0
1272  85.59  95.56  90.87  119.62  93.40  103.85  141.42  108.48  108.83  125.34  0
1273  84.81  90.21  99.75  121.26  90.17  99.20  134.09  109.33  119.59  130.09  0
1274  102.97  98.00  97.31  108.24  85.28  105.83  120.29  108.20  104.79  124.96  0
1276  87.90  85.38  96.78  107.38  89.40  111.68  131.93  111.80  106.09  107.74  0
1277  102.02  77.32  112.40  102.53  92.00  112.08  125.81  99.35  114.40  124.23  0
1279  48.48  52.25  67.68  106.49  77.29  107.63  134.78  119.09  91.62  120.24  0
1280  126.57  93.45  112.26  92.88  112.47  86.90  119.45  100.09  125.64  84.97  1
