nrun  S2L1    S2L2    S2L3    S2L4    S2L5    S2L6    S2L7    S2L8    S2L9    S2L10   S2L11   S2L12   S2L13   S2L14   S2L15  S2L16
1380  0.04  0.30  0.25  0.16  0.26  -0.17  0.39  0.25  0.15  0.67  0.33  0.20  -0.08  0.42  0.35  0.34  
1381  0.30  0.27  0.27  0.49  0.32  0.00  0.27  0.28  0.46  0.44  0.03  0.57  -0.02  0.45  0.27  0.15  
1382  0.30  0.31  0.37  0.30  0.33  0.14  0.21  0.21  0.45  0.55  0.20  0.39  -0.18  0.56  0.25  0.04  
1383  0.24  0.21  0.32  0.47  0.14  -0.09  0.46  0.35  0.24  0.54  0.11  0.44  -0.12  0.70  0.45  0.05  
1384  0.50  0.21  0.53  0.32  0.55  0.03  0.17  0.34  0.04  0.62  0.09  0.26  -0.03  0.29  0.12  -0.02  
1386  0.26  0.20  0.40  0.35  0.44  -0.02  0.31  0.31  0.47  0.50  0.14  0.28  -0.09  0.34  0.36  0.02  
1387  0.27  0.17  0.10  0.33  0.39  0.07  0.28  0.44  0.48  0.52  0.08  0.35  -0.09  0.46  0.39  0.15  
1388  0.28  0.38  0.25  0.38  0.41  -0.26  0.46  0.38  0.49  0.25  0.06  0.44  0.12  0.44  0.13  0.03  
1389  0.30  0.25  0.26  0.36  0.25  0.20  0.29  0.34  0.38  0.59  0.18  0.35  -0.08  0.39  0.22  0.17  
1390  0.33  0.20  0.34  0.41  0.07  0.10  0.43  0.33  0.43  0.51  0.33  0.55  -0.14  0.51  0.21  0.10  
1392  0.25  0.21  0.06  0.44  0.28  -0.01  0.37  0.46  0.33  0.55  0.14  0.45  -0.09  0.45  0.19  0.18  
1394  0.30  0.27  0.34  0.53  0.10  0.02  0.32  0.11  0.38  0.37  0.23  0.44  -0.26  0.71  0.34  0.04  
1397  0.29  0.20  0.34  0.44  0.31  -0.01  0.40  0.32  0.25  0.44  0.16  0.44  -0.01  0.40  0.39  0.08  
1398  0.07  0.13  0.11  0.25  0.29  0.14  0.31  0.31  0.27  0.47  0.01  0.53  -0.08  0.61  0.34  0.10  
1399  0.25  0.27  0.38  0.49  0.09  -0.03  0.37  0.11  0.51  0.37  0.25  0.68  0.06  0.44  0.25  0.22  
1402  0.23  0.27  0.13  0.34  0.20  0.14  0.27  0.44  0.46  0.47  0.15  0.27  -0.03  0.37  0.30  -0.01  
1403  0.38  0.26  0.27  0.38  0.17  0.07  0.32  0.39  0.31  0.51  0.10  0.40  -0.14  0.34  0.33  0.14  
1404  0.33  0.31  0.34  0.38  0.28  0.03  0.24  0.30  0.33  0.52  0.12  0.49  -0.06  0.48  0.25  -0.06  
1405  0.17  0.29  0.25  0.22  0.37  0.11  0.27  0.27  0.37  0.33  0.05  0.32  -0.13  0.49  0.31  0.07  
1406  0.41  0.38  0.37  0.26  0.20  -0.01  0.29  0.25  0.35  0.51  0.14  0.46  -0.05  0.44  0.44  0.18  
