nrun  S2L1    S2L2    S2L3    S2L4    S2L5    S2L6    S2L7    S2L8    S2L9    S2L10   S2L11   S2L12   S2L13   S2L14   S2L15  S2L16
1466  0.20  0.21  0.21  0.30  0.37  -0.04  0.32  0.36  0.35  0.49  0.10  0.45  0.01  0.31  0.33  0.17  
1468  -0.07  0.39  0.13  0.35  0.10  0.04  0.36  0.24  0.23  0.36  0.21  0.34  0.01  0.29  0.29  0.16  
1469  0.11  0.14  0.54  0.32  0.19  0.04  0.19  0.34  0.25  0.37  0.15  0.44  0.04  0.54  0.47  0.08  
1470  0.34  0.17  0.29  0.34  0.31  0.01  0.34  0.33  0.49  0.68  0.03  0.26  -0.11  0.39  0.34  0.16  
1472  0.27  0.18  0.10  0.25  0.23  -0.02  0.42  0.45  0.37  0.32  0.09  0.47  -0.04  0.57  0.05  0.20  
1475  0.39  0.20  0.10  0.36  0.15  -0.13  0.30  0.35  0.45  0.61  0.06  0.47  -0.32  0.31  0.32  0.22  
1476  0.33  0.20  0.35  0.34  0.09  0.01  0.28  0.50  0.34  0.39  0.16  0.57  -0.07  0.33  0.40  0.17  
1477  0.12  0.09  0.44  0.24  0.30  0.13  0.37  0.36  0.13  0.23  -0.15  0.49  -0.09  0.21  0.23  0.02  
1482  0.34  -0.03  0.42  0.25  0.26  -0.12  0.32  0.35  0.27  0.57  0.10  0.29  -0.12  0.39  0.18  0.13  
1483  0.36  0.16  0.38  0.28  0.32  0.05  0.84  0.19  0.32  0.58  0.14  0.32  0.16  0.36  0.65  0.01  
1484  0.27  0.42  0.11  0.22  0.30  -0.03  0.12  0.37  0.30  0.26  0.24  0.31  0.04  0.46  0.20  0.18  
1485  0.41  0.16  0.17  0.14  0.20  0.08  0.16  0.34  0.58  0.50  0.09  0.51  -0.17  0.26  0.39  0.01  
1486  0.16  0.25  0.44  0.14  0.23  0.31  0.42  0.38  0.46  0.32  0.04  0.60  -0.13  0.33  0.41  0.11  
1487  0.17  0.27  0.33  0.30  0.17  0.04  0.23  0.33  0.38  0.30  0.21  0.31  0.08  0.42  0.41  0.09  
1488  0.27  0.11  0.59  0.20  0.17  -0.03  0.37  0.37  0.33  0.42  0.31  0.36  0.02  0.49  0.39  0.05  
1489  0.12  0.28  0.23  0.26  0.27  0.11  0.31  0.35  0.43  0.35  0.25  0.50  -0.01  0.35  0.39  0.09  
1490  0.19  0.28  0.19  0.20  0.23  -0.10  0.49  0.40  0.18  0.32  0.09  0.42  -0.13  0.43  0.26  0.08  
1491  0.24  0.43  0.26  0.22  0.27  -0.07  0.30  0.36  0.35  0.35  0.19  0.43  -0.00  0.40  0.31  0.04  
1492  0.23  0.33  0.18  0.29  0.32  0.17  0.50  0.36  0.38  0.40  -0.02  0.48  -0.05  0.84  0.27  0.24  
1493  0.28  0.36  0.25  0.39  0.26  0.12  0.30  0.23  0.41  0.45  0.18  0.38  0.02  0.42  0.40  0.02  
1494  0.02  0.28  0.29  0.41  -0.01  0.24  0.59  0.37  0.57  0.23  0.40  0.57  0.06  0.69  0.48  0.42  
1495  0.27  0.21  0.19  0.16  0.20  -0.02  0.42  0.28  0.55  0.40  0.01  0.50  0.07  0.31  0.20  0.13  
1496  0.15  0.22  0.32  0.38  0.55  0.38  0.22  0.22  0.09  0.53  0.04  0.46  0.05  0.48  0.25  0.15  
1501  0.26  0.37  0.23  0.31  0.37  -0.05  0.18  0.28  0.39  0.72  0.15  0.33  0.04  0.45  0.41  0.03  
1502  0.20  0.23  0.22  0.41  0.31  0.07  0.27  0.44  0.70  0.70  -0.09  0.30  -0.11  0.69  0.33  -0.03  
1503  0.24  0.35  0.20  0.31  0.14  -0.05  0.18  0.19  0.31  0.51  -0.00  0.49  0.03  0.31  0.44  0.19  
1504  0.25  0.17  0.25  0.49  0.30  -0.12  0.30  0.35  0.22  0.28  0.01  0.23  -0.09  0.38  0.19  0.03  
1505  0.21  0.31  0.23  0.41  0.38  0.05  0.44  0.34  0.43  0.39  0.10  0.48  -0.25  0.81  0.14  0.17  
1506  0.18  0.31  0.27  0.01  0.13  -0.02  0.54  0.40  0.46  0.51  0.13  0.40  -0.15  0.39  0.38  0.31  
1510  0.31  0.16  0.27  0.39  0.32  0.04  0.14  0.23  0.38  0.42  0.16  0.67  -0.02  0.54  0.37  0.01  
1513  0.13  0.27  0.22  0.26  0.18  0.11  0.20  0.24  0.42  0.36  0.14  0.65  0.00  0.44  0.20  -0.10  
1515  0.18  0.21  0.27  0.35  0.31  0.13  0.40  0.19  0.45  0.35  0.15  0.57  0.07  0.37  0.36  0.12  
1516  0.21  0.22  0.19  0.53  0.43  0.15  0.40  0.35  0.38  0.29  0.13  0.55  0.10  0.24  0.34  -0.00  
1518  0.01  0.36  0.55  0.59  0.47  0.45  0.27  -0.04  0.15  0.03  0.39  0.59  0.15  0.16  0.67  -0.16  
1520  0.26  0.13  0.37  0.29  0.03  0.06  0.05  0.04  0.62  0.42  0.03  0.42  0.27  0.03  0.22  0.11  
1521  0.28  0.54  0.37  0.30  0.29  0.25  0.14  0.13  0.30  0.32  0.57  0.43  0.06  0.47  0.33  0.05  
1525  0.09  0.16  0.20  0.34  0.30  0.13  0.30  0.12  0.20  0.54  0.17  0.51  -0.02  0.42  0.49  0.20  
1526  0.24  0.24  0.42  0.27  0.42  -0.22  0.28  0.16  0.41  0.27  0.27  0.41  0.18  0.39  0.75  0.12  
1528  -0.02  0.19  0.33  0.36  0.24  0.21  0.29  0.33  0.27  0.27  0.14  0.41  0.02  0.29  0.57  0.23  
1529  0.18  0.26  0.20  0.17  0.22  0.07  0.08  0.31  0.30  0.29  0.11  0.56  -0.14  0.27  0.38  0.31  
1530  0.21  0.23  0.32  0.39  0.21  -0.10  0.33  0.26  0.39  0.41  0.22  0.27  -0.02  0.22  0.29  0.16  
1531  0.13  0.12  0.36  0.35  0.24  -0.09  0.33  0.42  0.41  0.17  0.37  0.36  0.03  0.23  0.12  0.12  
1532  0.26  0.16  0.42  0.29  0.11  0.09  0.11  0.25  0.15  0.25  0.12  0.36  0.13  0.53  0.30  0.07  
1533  0.24  0.42  -0.02  0.27  0.26  -0.06  0.25  0.33  0.35  0.27  0.24  0.48  0.03  0.37  0.35  0.14  
1540  0.14  0.29  0.29  0.45  0.42  0.10  0.43  0.28  0.36  0.25  0.30  0.36  0.14  0.05  0.37  0.15  
1541  0.19  0.32  0.07  0.39  0.19  0.01  0.27  0.36  0.56  0.32  -0.04  0.66  -0.17  0.67  0.27  -0.03  
1542  0.16  0.34  0.04  0.17  0.35  0.06  -0.03  0.19  0.39  0.59  0.27  0.59  0.13  0.41  0.39  0.12  
1543  0.28  0.34  0.36  0.39  0.33  -0.03  0.03  0.40  0.32  0.50  0.21  0.39  -0.02  0.43  0.37  0.18  
1545  -0.03  0.18  0.55  0.16  0.05  0.08  0.39  0.46  0.38  0.33  0.20  0.60  -0.03  0.25  0.29  0.33  
1546  0.12  0.31  0.61  0.10  0.42  -0.20  0.10  0.31  0.53  0.45  0.16  0.50  -0.09  0.61  0.31  0.00  
1547  0.21  0.09  0.15  0.36  0.25  0.07  0.22  0.27  0.14  0.47  0.11  0.57  -0.05  0.53  0.28  0.22  
1548  0.44  0.18  0.20  0.24  0.25  0.06  0.30  0.23  0.46  0.43  0.23  0.69  0.10  0.30  0.36  0.18  
1549  0.19  0.25  0.38  0.30  0.22  0.31  0.31  0.36  0.37  0.51  0.17  0.64  -0.02  0.22  0.32  0.36  
1550  0.14  0.33  0.04  0.21  0.20  0.12  0.31  0.34  0.51  0.48  0.13  0.56  -0.17  0.13  0.25  0.12  
1551  0.17  0.31  0.36  0.25  0.29  0.05  0.29  0.29  0.36  0.39  0.13  0.54  -0.07  0.43  0.37  0.18  
1553  0.29  0.18  0.27  0.34  0.17  0.00  0.32  0.32  0.42  0.46  0.31  0.47  -0.04  0.48  0.37  0.27  
1557  0.44  0.18  0.31  0.42  0.02  0.07  0.20  -0.00  0.12  0.44  0.28  0.39  -0.18  0.41  0.50  0.21  
1558  0.15  0.35  0.34  0.29  0.40  0.15  0.16  0.37  0.42  0.54  0.12  0.55  -0.09  0.45  0.46  -0.00  
1559  0.36  0.14  0.06  0.49  0.20  0.03  0.19  0.37  0.39  0.34  0.29  0.47  0.10  0.29  0.45  0.09  
1560  0.25  0.28  0.36  0.35  0.27  0.04  0.21  0.35  0.25  0.24  0.35  0.66  0.09  0.43  0.09  0.26  
1561  0.19  0.17  0.27  0.55  0.26  -0.07  0.02  0.49  0.46  0.57  -0.01  0.46  0.12  0.48  0.31  0.04  
1562  0.33  0.35  0.13  0.42  0.17  0.22  0.02  0.45  0.35  0.39  0.37  0.50  -0.04  0.32  0.53  0.08  
1563  0.01  0.16  0.37  0.26  0.38  -0.22  0.16  0.55  0.35  0.42  0.20  0.42  0.08  0.53  0.21  0.07  
1564  0.16  0.29  0.29  0.48  0.30  -0.15  0.44  0.43  0.32  0.27  0.07  0.47  0.05  0.43  0.48  0.12  
1565  0.26  0.12  0.31  0.28  0.17  -0.03  0.25  0.21  0.21  0.37  0.14  0.53  0.01  0.47  0.38  0.18  
1566  0.29  0.21  0.51  0.28  0.29  0.23  0.38  0.13  0.28  0.40  0.17  0.67  -0.01  0.46  0.34  0.03  
1567  0.25  0.33  0.24  0.26  0.20  0.23  0.49  0.38  0.41  0.39  0.40  0.65  0.13  0.96  0.48  -0.10  
1568  0.30  0.24  0.26  0.27  0.42  0.14  0.13  0.43  0.49  0.37  0.06  0.21  0.03  0.55  0.60  0.07  
1569  0.36  0.25  0.71  0.51  0.39  0.29  0.43  0.37  0.30  0.37  0.30  0.26  0.07  0.39  0.27  0.14  
1571  0.18  0.15  0.23  0.20  0.32  -0.09  0.30  0.32  0.36  0.41  0.15  0.49  -0.09  0.47  0.27  -0.04  
1572  0.25  0.01  0.39  0.31  0.19  0.07  0.34  0.14  0.33  0.20  0.19  0.34  -0.04  0.48  0.30  -0.01  
1576  0.20  -0.26  0.41  0.37  0.56  0.35  0.45  0.43  0.30  0.56  0.29  0.28  0.09  0.36  0.38  -0.04  
1577  0.28  0.20  0.18  0.20  0.40  0.22  0.21  0.33  0.23  0.49  0.14  0.43  -0.04  0.38  0.48  0.24  
1578  0.34  0.28  0.32  0.48  0.27  0.15  0.31  0.29  0.27  0.44  0.26  0.39  -0.01  0.50  0.41  0.17  
1579  0.35  0.25  0.43  0.24  0.41  -0.03  0.10  0.18  0.48  0.35  0.26  0.37  0.01  0.51  0.28  0.20  
1580  0.23  0.08  0.35  0.27  0.13  0.02  0.27  0.21  0.33  0.27  0.08  0.35  0.01  0.14  0.28  0.24  
1581  0.23  0.23  0.39  0.40  0.22  0.09  0.36  0.41  0.21  0.39  0.17  0.48  0.04  0.50  0.15  -0.09  
1582  0.25  0.25  0.42  0.26  0.19  -0.05  0.28  0.54  0.35  0.19  0.25  0.46  0.02  0.35  0.55  0.09  
1583  0.06  0.22  0.20  0.31  0.32  0.04  0.25  0.46  0.22  0.21  0.15  0.39  -0.02  0.42  0.43  0.18  
1584  0.33  0.38  0.09  0.48  0.30  0.24  0.30  0.50  0.40  0.34  0.02  0.33  -0.06  0.59  0.43  0.00  
1585  0.35  0.25  0.24  0.23  0.09  0.07  0.36  0.32  0.44  0.39  0.15  0.48  0.29  0.31  0.31  0.05  
1586  0.36  0.24  0.34  0.20  0.26  0.01  0.17  0.15  0.17  0.36  0.28  0.52  0.08  0.36  0.33  0.11  
1587  0.28  0.05  0.39  0.27  0.27  -0.03  0.24  0.44  0.26  0.37  0.26  0.64  0.03  0.48  0.27  0.20  
1588  0.39  0.23  0.28  0.25  0.35  -0.01  0.44  0.40  0.34  0.27  0.06  0.46  0.04  0.68  0.23  0.01  
1589  0.24  0.32  0.20  0.21  0.40  0.16  0.14  0.52  0.48  0.18  -0.01  0.47  0.01  0.15  0.51  0.23  
1590  0.20  0.25  0.18  0.29  0.54  0.16  0.27  0.32  0.23  0.40  0.23  0.58  0.11  0.43  0.29  -0.09  
1591  0.37  0.29  0.32  0.22  0.28  0.28  0.23  0.29  0.23  0.47  0.35  0.30  0.02  0.10  0.41  0.02  
1592  0.31  0.26  0.17  0.17  0.31  0.05  0.41  0.51  0.36  0.52  0.18  0.67  0.04  0.63  0.26  0.11  
1593  0.38  0.19  0.35  0.32  0.28  -0.06  0.33  0.42  0.41  0.26  0.12  0.64  -0.13  0.51  0.33  0.14  
1594  0.34  0.31  0.25  0.49  0.36  0.17  0.25  0.36  0.43  0.21  0.32  0.56  0.01  0.19  0.30  0.21  
1595  0.17  0.15  0.15  0.22  0.11  -0.02  0.58  0.34  0.10  0.45  0.12  0.52  -0.08  0.58  0.27  0.18  
1596  0.28  0.09  0.10  0.17  0.29  -0.04  0.54  0.35  0.24  0.39  0.16  0.59  -0.03  0.25  0.38  0.23  
1597  0.18  0.28  0.35  0.29  0.28  0.04  0.17  0.35  0.28  0.39  0.00  0.51  0.07  0.45  0.38  0.11  
1598  0.23  0.27  0.35  0.34  0.40  0.07  0.21  0.29  0.28  0.44  0.22  0.34  0.14  0.33  0.38  0.20  
1599  -0.01  0.23  0.27  0.22  0.49  -0.14  0.27  0.26  0.31  0.22  0.15  0.61  0.10  0.44  0.46  0.15  
1600  0.49  -0.08  0.42  0.20  0.06  0.12  0.20  0.25  0.23  0.17  0.17  0.22  0.30  0.50  0.38  -0.09  
1601  0.12  0.21  0.26  0.08  0.49  -0.00  0.33  0.32  0.34  0.19  0.32  0.69  -0.08  0.58  0.27  0.18  
1604  0.28  0.25  0.25  0.21  0.42  0.03  0.44  0.15  0.46  0.38  0.29  0.43  0.02  0.47  0.34  0.06  
1605  0.42  0.13  0.17  0.24  0.09  0.13  0.28  0.42  0.37  0.34  0.35  0.30  0.27  0.36  0.40  0.21  
1606  0.39  0.24  0.29  0.25  0.14  0.02  0.23  0.35  0.24  0.45  0.19  0.43  0.23  0.58  0.33  0.07  
1607  0.33  0.12  0.33  0.38  0.29  0.18  0.28  0.27  0.29  0.44  0.20  0.53  0.10  0.30  0.24  0.05  
1608  0.24  0.26  0.24  0.18  0.07  -0.00  0.38  0.49  0.42  0.28  0.12  0.57  0.08  0.48  0.26  0.14  
1609  0.23  0.19  0.17  0.55  0.30  0.12  0.37  0.42  0.29  0.32  0.32  0.35  -0.05  0.49  0.38  0.17  
1610  0.19  0.33  0.42  0.32  0.20  0.16  0.20  0.50  0.23  0.56  0.38  0.34  0.01  0.09  0.41  0.19  
1611  0.18  0.07  0.24  0.18  0.18  0.05  0.35  0.32  0.51  0.49  0.20  0.40  -0.13  0.35  0.35  0.04  
1612  0.25  0.30  0.25  0.30  0.15  0.01  0.43  0.31  0.35  0.18  0.15  0.36  -0.04  0.44  0.29  0.06  
1613  0.33  0.17  0.23  0.41  0.16  0.17  0.15  0.54  0.54  0.43  -0.01  0.35  0.02  0.54  0.38  0.14  
1614  0.13  0.19  0.38  0.41  0.23  0.06  0.36  0.36  0.40  0.20  0.24  0.48  -0.02  0.44  0.52  -0.08  
1615  0.36  0.09  0.18  0.44  0.17  0.33  0.44  0.21  0.41  0.46  -0.02  0.40  0.06  0.25  0.33  0.34  
1616  0.09  0.27  0.23  0.39  0.16  0.17  0.36  0.18  0.25  0.54  0.16  0.40  -0.20  0.16  0.36  -0.08  
1617  0.37  0.48  0.31  0.15  0.00  0.08  0.53  0.40  0.48  0.48  -0.19  0.13  0.10  0.40  0.27  0.25  
1618  0.16  0.44  0.04  0.22  0.44  0.10  0.20  0.21  0.40  0.43  0.12  0.43  0.18  0.41  0.54  0.05  
1619  0.25  0.12  0.36  0.36  0.16  -0.05  0.36  0.41  0.29  0.36  0.07  0.69  0.05  0.42  0.35  0.21  
1624  0.27  0.07  0.42  0.28  0.26  0.02  0.26  0.41  0.47  0.14  0.32  0.48  -0.04  0.21  0.26  0.20  
1625  0.12  0.28  0.35  0.21  0.27  0.29  0.18  0.25  0.40  0.43  0.20  0.47  0.19  0.17  0.32  0.17  
1627  0.37  0.08  0.27  0.15  0.43  0.32  0.40  0.25  0.60  0.33  0.22  0.31  -0.26  0.23  0.27  -0.08  
1628  0.26  0.30  0.24  0.04  0.05  0.16  0.19  0.33  0.15  0.12  0.09  0.46  -0.03  0.28  0.32  0.11  
1629  0.03  0.29  0.32  0.24  0.13  -0.02  0.42  0.37  0.32  0.41  -0.09  0.51  0.03  0.22  0.52  -0.04  
1630  0.27  0.20  0.44  0.34  0.04  -0.05  0.20  0.36  0.38  0.17  0.11  0.61  0.05  0.37  0.19  0.13  
1631  0.20  0.32  0.13  0.25  0.16  0.03  0.27  0.49  0.34  0.41  0.29  0.41  0.23  0.29  0.16  0.01  
1632  0.26  0.15  0.16  0.37  0.34  -0.02  0.29  0.30  0.36  0.18  0.21  0.35  -0.09  0.41  0.35  0.15  
1633  0.18  0.31  0.17  0.35  0.07  -0.07  0.32  0.61  0.33  0.31  0.16  0.55  -0.11  0.40  0.28  0.07  
1634  0.24  0.15  0.27  0.37  0.11  0.10  0.32  0.21  0.28  0.45  0.23  0.38  0.13  0.37  0.32  -0.01  
1635  0.24  0.10  0.32  0.29  0.27  0.08  0.25  0.44  0.31  0.18  0.25  0.48  -0.08  0.40  0.19  0.14  
1636  0.30  0.33  0.41  0.32  0.29  -0.19  0.26  0.42  0.38  0.42  0.21  0.67  0.04  0.51  0.47  0.05  
1637  0.28  0.21  0.16  0.22  0.14  0.01  0.26  0.24  0.37  0.26  0.28  0.39  -0.10  0.51  0.37  0.06  
1639  0.20  0.13  0.16  0.28  0.18  -0.09  0.29  0.34  0.39  0.34  0.31  0.60  0.11  0.44  0.29  0.14  
1640  0.14  0.16  0.29  0.20  0.18  -0.04  0.25  0.41  0.23  0.26  0.22  0.59  0.10  0.46  0.42  0.09  
1641  0.06  0.22  0.34  0.45  0.21  0.03  0.20  0.40  0.39  0.28  0.12  0.19  0.06  0.32  0.31  0.19  
1642  0.28  0.29  0.29  0.19  0.14  0.01  0.31  0.39  0.37  0.31  0.26  0.51  -0.00  0.31  0.46  0.11  
1643  0.22  0.26  0.12  0.28  0.20  -0.02  0.21  0.32  0.25  0.33  0.26  0.51  0.09  0.31  0.26  0.04  
1644  0.38  0.30  0.27  0.18  0.51  -0.09  0.11  0.44  0.52  0.21  0.16  0.47  0.05  0.29  0.25  0.19  
1645  0.19  0.18  0.33  0.30  0.44  0.07  0.24  0.38  0.49  0.51  0.38  0.55  -0.05  0.48  0.39  0.10  
1646  0.27  0.26  0.07  0.45  0.08  0.15  0.26  0.49  0.44  0.13  0.48  0.29  0.11  0.30  0.37  0.04  
1648  0.52  0.00  0.43  0.25  0.39  0.37  0.28  0.50  0.39  0.52  0.37  0.20  -0.27  0.17  0.41  0.15  
1650  0.16  0.32  0.30  -0.01  0.41  0.01  0.28  0.23  0.36  0.39  0.48  0.45  0.16  0.31  0.25  -0.00  
1651  0.13  0.15  0.31  0.26  0.17  0.06  0.38  0.21  0.37  0.22  0.20  0.62  0.05  0.45  0.37  0.18  
1652  0.24  0.29  0.27  0.28  0.20  -0.07  0.33  0.37  0.42  0.30  0.16  0.49  -0.02  0.54  0.37  0.12  
1653  0.47  0.20  0.54  0.30  0.21  -0.07  0.51  0.16  0.39  0.32  0.13  0.50  0.05  0.20  0.37  0.17  
1654  0.30  0.21  0.28  0.24  0.35  0.09  0.23  0.29  0.32  0.24  0.30  0.52  0.12  0.34  0.37  0.10  
1655  0.24  0.27  0.19  0.29  0.23  0.08  0.19  0.35  0.30  0.25  0.13  0.46  -0.02  0.52  0.38  0.12  
1656  0.29  0.11  0.09  0.31  0.36  0.03  0.37  0.40  0.25  0.30  0.13  0.61  -0.12  0.33  0.51  0.15  
1657  0.28  -0.25  0.20  0.33  0.48  0.10  0.36  0.52  0.43  0.31  0.20  0.55  -0.19  0.50  0.25  0.10  
1658  0.23  0.32  0.23  0.23  -0.02  0.27  0.03  0.26  0.45  0.26  0.16  0.48  -0.05  0.19  0.34  0.18  
1659  0.31  0.18  0.09  0.11  0.26  -0.19  0.26  0.28  0.37  0.37  0.33  0.28  0.25  0.35  0.15  0.08  
1660  0.43  0.29  0.32  0.31  0.21  0.18  0.16  0.34  0.33  0.23  0.13  0.38  0.17  0.30  0.45  0.02  
1661  0.34  0.17  0.44  0.29  0.39  -0.04  0.36  0.43  0.24  0.13  -0.06  0.43  0.05  0.10  0.28  0.17  
1664  0.19  0.20  0.39  0.40  0.24  -0.10  0.49  0.51  0.53  0.41  0.16  0.30  -0.03  0.28  0.28  0.15  
1665  0.20  0.43  0.29  0.21  0.18  -0.09  0.31  0.49  0.27  0.39  0.09  0.41  -0.04  0.54  0.33  0.18  
1666  0.25  0.28  0.12  0.28  0.34  0.04  0.29  0.43  0.40  0.27  -0.09  0.62  -0.05  0.31  0.12  0.12  
1667  0.29  0.33  0.41  0.35  0.12  0.01  0.38  0.29  0.51  0.36  0.26  0.54  -0.06  0.45  0.42  0.05  
1668  0.20  0.29  0.23  0.19  0.26  0.15  0.51  0.38  0.34  0.33  0.11  0.52  -0.03  0.32  0.49  -0.07  
1672  0.33  0.23  0.19  0.30  0.28  -0.02  0.20  0.34  0.43  0.37  0.19  0.33  0.00  0.46  0.48  0.14  
1673  0.13  0.20  0.24  0.16  0.18  0.01  0.32  0.50  0.31  0.37  0.33  0.50  0.01  0.38  0.29  0.04  
1674  0.28  0.28  0.20  0.14  0.04  -0.12  0.37  0.32  0.47  0.44  0.09  0.43  0.16  0.47  0.48  0.06  
1675  0.06  0.26  0.36  0.05  0.38  -0.10  0.25  0.22  0.43  0.15  0.31  0.67  -0.01  0.42  0.37  0.13  
1676  0.20  0.26  0.24  0.45  0.23  0.02  0.32  0.31  0.39  0.30  0.16  0.49  -0.04  0.42  0.39  0.11  
1677  0.21  0.27  0.19  0.21  0.27  0.11  0.33  0.31  0.32  0.39  0.08  0.49  -0.02  0.31  0.45  0.03  
1680  0.21  0.20  0.15  0.36  0.30  0.06  0.40  0.29  0.36  0.26  0.17  0.43  0.02  0.49  0.45  0.13  
1681  0.33  0.19  0.17  0.35  0.19  0.14  0.17  0.23  0.65  0.31  0.22  0.43  -0.06  0.54  0.35  0.06  
1682  0.28  0.35  0.11  0.14  0.13  -0.10  0.12  0.23  0.41  0.46  0.24  0.54  -0.04  0.61  0.36  0.09  
1683  0.31  0.18  0.26  0.24  0.30  -0.11  0.28  0.43  0.48  0.43  0.15  0.28  0.06  0.59  0.34  0.02  
1684  0.34  0.22  0.22  0.40  0.28  0.12  0.22  0.47  0.38  0.32  0.23  0.69  -0.04  0.38  0.28  0.17  
1685  0.42  0.30  0.11  0.24  0.36  0.04  0.29  0.31  0.38  0.28  0.34  0.51  0.04  0.15  0.45  0.15  
1686  0.24  0.25  0.21  0.34  0.43  0.20  0.36  0.39  0.32  0.38  0.12  0.47  0.01  0.33  0.28  0.07  
1687  0.43  0.26  0.43  0.50  0.22  0.01  0.18  0.34  0.30  0.55  0.20  0.39  -0.15  0.27  0.17  0.10  
1688  0.19  0.04  0.26  0.20  0.27  0.00  0.32  0.37  0.46  0.24  0.16  0.40  -0.02  0.38  0.49  0.03  
1689  0.30  0.47  0.35  0.22  0.18  0.09  0.18  0.33  0.19  0.40  0.27  0.76  0.08  0.31  0.22  0.10  
1690  0.32  0.26  0.09  0.23  0.12  0.47  0.15  0.52  0.10  0.26  0.18  0.53  0.06  0.05  0.59  0.19  
1691  0.19  0.21  0.05  0.19  0.33  0.15  0.29  0.36  0.36  0.39  0.09  0.51  -0.02  0.49  0.41  0.24  
1692  0.19  0.20  0.17  0.26  0.31  0.16  0.17  0.35  0.22  0.50  0.32  0.57  0.11  0.66  0.25  0.04  
1693  0.17  0.37  0.36  0.21  0.20  0.25  0.25  0.45  0.46  0.29  0.12  0.29  0.04  0.43  0.36  0.13  
1694  0.21  0.29  0.33  0.43  0.22  0.09  0.23  0.31  0.31  0.29  0.02  0.55  -0.02  0.34  0.36  0.02  
1695  0.30  0.36  0.44  0.23  0.33  0.14  0.30  0.26  0.35  0.40  0.21  0.64  0.02  0.25  0.35  0.25  
1696  0.40  0.28  0.28  0.23  0.36  0.20  0.27  0.45  0.34  0.36  0.02  0.52  -0.10  0.36  0.26  0.16  
1698  0.36  0.29  0.31  0.29  0.21  0.16  0.23  0.36  0.25  0.47  0.03  0.56  -0.08  0.52  0.35  0.14  
1699  0.30  0.15  0.37  0.19  -0.03  -0.02  0.28  0.27  0.13  0.29  0.29  0.55  -0.04  0.41  0.23  0.19  
1700  0.33  0.27  -0.03  0.12  0.26  0.13  0.33  0.35  0.34  0.17  0.29  0.41  -0.14  0.35  0.22  -0.06  
1701  0.64  -0.09  0.50  0.21  0.12  0.10  0.75  0.30  -0.00  0.29  0.44  0.43  -0.25  0.39  0.44  0.00  
1702  0.27  0.41  0.32  0.26  0.27  -0.04  0.29  0.35  0.30  0.52  0.40  0.50  -0.06  0.20  0.47  0.03  
1704  0.16  0.19  0.26  0.50  0.29  -0.02  0.28  0.30  0.35  0.44  0.16  0.52  0.03  0.52  0.30  0.11  
1705  0.27  0.27  0.45  0.33  0.38  -0.08  0.25  0.24  0.30  0.33  0.22  0.45  -0.01  0.45  0.44  0.07  
1706  0.20  0.07  0.33  0.32  0.21  0.15  0.23  0.30  0.31  0.36  0.08  0.33  -0.02  0.39  0.38  0.25  
1707  0.21  0.26  0.22  0.39  0.37  0.20  0.27  0.27  0.24  0.35  0.22  0.56  0.04  0.41  0.44  0.02  
1708  0.31  0.26  0.30  0.20  0.22  0.11  0.21  0.45  0.28  0.38  0.23  0.55  0.14  0.49  0.39  0.09  
1709  0.40  0.19  0.20  0.35  0.24  -0.09  0.14  0.27  0.29  0.27  0.19  0.37  0.18  0.40  0.37  0.06  
1710  0.37  0.23  0.21  0.63  0.33  0.21  0.33  0.39  0.39  0.38  0.08  0.38  0.10  0.37  0.42  -0.00  
1711  0.21  0.25  0.38  0.40  0.12  -0.03  0.51  0.19  0.36  0.53  0.13  0.68  0.06  0.40  0.39  -0.04  
1712  0.32  0.39  0.38  0.23  0.27  0.12  0.32  0.55  0.24  0.37  0.17  0.48  0.03  0.61  0.54  0.06  
1713  0.12  0.24  0.10  0.38  0.26  0.14  0.28  0.41  0.35  0.51  0.10  0.48  0.09  0.34  0.46  0.06  
1714  0.17  0.25  0.19  0.45  0.34  0.17  0.32  0.34  0.27  0.45  0.19  0.32  0.02  0.38  0.33  0.33  
1715  0.37  0.24  0.24  0.29  0.19  -0.05  0.33  0.44  0.25  0.52  0.28  0.36  -0.06  0.77  0.28  0.10  
1716  0.20  0.24  0.27  -0.05  0.37  0.05  0.25  0.29  0.40  0.55  0.04  0.61  0.00  0.55  0.33  0.08  
1717  0.04  0.33  0.17  0.22  0.10  0.05  0.17  0.20  0.32  0.31  0.11  0.52  0.16  0.50  0.26  0.15  
1718  0.12  0.26  0.44  -0.04  0.10  -0.01  0.14  0.35  0.17  0.30  0.20  0.59  0.10  0.55  0.32  0.14  
1721  0.27  0.33  0.23  0.27  0.54  0.16  0.22  0.23  0.33  0.22  0.24  0.32  0.04  0.55  0.33  0.19  
1722  0.32  0.21  0.17  0.24  0.30  0.13  0.17  0.28  0.41  0.32  0.17  0.33  0.22  0.48  0.37  0.08  
1725  0.30  0.23  0.51  0.57  0.40  0.26  0.32  0.41  0.18  0.59  0.31  0.56  0.00  0.18  0.46  0.33  
1730  0.10  0.33  0.32  0.28  0.23  -0.00  0.27  0.28  0.32  0.21  0.31  0.37  -0.04  0.17  0.40  0.16  
1731  0.21  0.22  0.07  0.25  0.50  -0.07  0.63  0.35  0.19  0.23  0.10  0.68  -0.13  0.04  0.29  0.28  
1732  0.13  0.21  0.28  0.47  0.27  0.00  0.30  0.33  0.33  0.55  0.15  0.46  -0.05  0.37  0.30  0.08  
