nrun  s0l     s0r     flag
1207  408.85  395.51  0
1208  403.48  403.58  0
1209  404.39  405.34  0
1210  404.10  405.66  0
1211  404.44  404.89  0
1212  404.03  405.07  0
1213  404.16  406.89  0
1214  403.43  405.10  0
1215  404.63  404.50  0
1216  404.55  405.05  0
1217  404.80  404.90  0
1218  402.77  405.89  0
1219  403.49  405.27  0
1220  404.51  405.30  0
1221  404.17  405.56  0
1222  403.88  406.52  0
1223  403.99  405.45  0
1224  404.42  404.74  0
1225  404.47  404.91  0
1231  403.26  406.87  0
1233  403.71  398.57  0
1235  403.63  407.61  0
1236  403.33  407.52  0
1237  403.53  407.57  0
1238  403.50  407.64  0
1239  402.78  407.44  0
1240  402.91  408.52  0
1241  402.69  407.94  0
1242  402.43  408.20  0
1243  401.93  408.44  0
1244  403.70  405.39  0
1245  403.29  405.90  0
1246  403.99  406.60  0
1247  403.40  406.81  0
1248  403.62  406.97  0
1249  403.48  407.56  0
1250  402.87  407.15  0
1251  403.62  407.82  0
1257  410.14  395.46  0
1258  403.45  406.84  0
1260  403.87  407.67  0
1261  402.69  406.25  0
1262  403.72  407.12  0
1263  402.03  407.99  0
1264  402.45  408.18  0
1265  401.83  407.56  0
1266  402.23  408.51  0
1267  403.33  407.02  0
1268  402.85  407.05  0
1271  403.60  407.21  0
1272  403.49  406.20  0
1273  403.06  407.31  0
1274  402.29  408.54  0
1276  402.73  408.98  0
1277  401.84  408.54  0
1279  402.29  400.70  0
1281  404.22  408.00  0
1282  402.34  407.53  0
1283  403.26  407.75  0
1284  402.69  408.44  0
1285  402.36  407.59  0
1286  402.11  410.29  0
1287  402.44  409.89  0
1288  401.24  409.14  0
1289  402.04  410.07  0
1290  403.80  406.97  0
1291  403.46  407.05  0
1292  402.72  407.62  0
1293  403.55  407.27  0
1294  403.59  407.57  0
1295  403.07  407.83  0
1296  402.63  408.02  0
1297  402.24  408.20  0
1298  403.16  407.65  0
1299  402.30  407.99  0
1300  401.85  408.40  0
1301  401.33  409.61  0
1309  463.75  399.53  0
1312  409.26  396.09  0
1313  400.26  405.20  0
1318  447.66  393.24  0
1322  401.77  407.87  0
1323  401.05  404.08  0
1325  404.81  406.13  0
1326  402.33  408.54  0
1327  400.29  409.21  0
1328  400.43  408.37  0
1329  403.89  406.82  0
1331  402.64  407.07  0
1333  402.43  407.59  0
1334  402.18  407.05  0
1335  402.71  407.23  0
1336  403.38  405.56  0
1337  401.22  407.26  0
1338  402.33  406.44  0
1339  401.85  404.77  0
1342  403.35  408.87  0
1343  401.17  411.80  0
1344  400.96  401.60  0
