nrun  S2L1    S2L2    S2L3    S2L4    S2L5    S2L6    S2L7    S2L8    S2L9    S2L10   S2L11   S2L12   S2L13   S2L14   S2L15   S2L16   flag
1273  296.52  296.77  296.16  297.66  297.21  293.56  298.40  298.55  305.24  294.03  294.39  294.08  292.23  294.09  290.72  300.33  0
1274  293.21  291.93  291.25  290.75  289.31  288.10  293.15  295.81  300.57  291.98  292.12  293.22  291.23  294.45  290.42  301.67  0
1276  291.78  289.04  288.28  288.80  287.89  287.32  293.63  289.09  300.44  291.51  292.39  292.94  291.72  292.86  289.42  299.61  0
1277  294.79  290.39  291.37  292.49  292.09  289.62  293.33  292.67  298.10  290.67  290.68  292.19  289.18  291.36  287.84  299.09  0
1279  294.30  292.13  293.46  294.70  293.43  291.92  295.97  296.02  296.14  292.09  290.36  291.40  289.61  293.08  285.15  289.15  0
1281  295.93  292.39  290.24  291.73  290.97  289.84  295.32  299.26  302.73  293.76  293.54  294.53  292.00  293.71  290.26  298.60  0
1282  295.74  293.36  290.04  290.73  290.36  288.12  295.11  300.23  300.26  292.74  291.51  293.22  291.52  293.82  290.69  298.39  0
1283  292.92  290.31  289.93  290.49  290.61  288.53  293.45  296.95  300.65  292.05  292.05  293.10  291.43  293.64  288.62  299.74  0
1284  291.89  290.43  289.23  291.11  290.47  288.32  293.53  291.72  300.60  291.39  291.80  293.36  290.81  293.35  289.15  299.59  0
1285  289.63  291.79  289.37  290.98  289.51  288.55  293.49  294.87  299.66  291.65  291.93  293.63  291.13  293.61  288.88  299.38  0
1286  289.61  287.80  287.19  287.50  286.72  285.32  291.24  288.64  297.37  289.73  290.10  292.52  289.96  293.49  288.97  295.55  0
1287  289.94  286.32  285.81  287.53  286.52  285.18  291.03  291.78  298.07  289.12  290.09  292.51  290.42  292.58  290.11  296.16  0
1288  289.73  290.67  288.47  290.02  289.18  287.00  291.76  297.05  299.73  289.98  290.11  291.94  290.14  292.38  288.74  299.46  0
1289  291.45  289.58  288.28  290.19  288.81  287.26  292.09  297.00  298.47  289.96  290.56  292.17  289.98  293.23  288.11  296.61  0
1290  295.41  293.56  294.30  296.82  296.96  293.47  297.99  301.37  304.97  295.26  294.32  294.37  292.39  294.22  290.22  301.54  0
