nrun  S2L1    S2L2    S2L3    S2L4    S2L5    S2L6    S2L7    S2L8    S2L9    S2L10   S2L11   S2L12   S2L13   S2L14   S2L15  S2L16
1207  0.16  -0.14  0.17  0.35  -0.37  0.34  0.55  0.28  0.42  0.52  0.21  -0.14  -0.60  0.29  0.55  0.20  
1208  0.34  -0.08  0.12  0.30  -0.34  0.15  0.44  0.27  0.32  0.38  0.08  -0.18  -0.63  0.28  0.33  0.12  
1209  0.37  -0.10  0.10  0.29  -0.34  0.24  0.37  0.32  0.33  0.44  0.12  -0.17  -0.67  0.23  0.43  0.19  
1210  0.31  -0.02  0.08  0.32  -0.25  0.30  0.35  0.30  0.40  0.43  0.16  -0.19  -0.61  0.24  0.38  0.15  
1211  0.34  -0.05  0.09  0.30  -0.36  0.27  0.39  0.37  0.34  0.44  0.08  -0.17  -0.63  0.22  0.38  0.20  
1212  0.35  -0.05  0.10  0.25  -0.34  0.30  0.37  0.41  0.36  0.47  0.15  -0.16  -0.63  0.20  0.40  0.15  
1213  0.36  -0.03  0.10  0.28  -0.27  0.23  0.35  0.31  0.32  0.42  0.08  -0.19  -0.68  0.22  0.36  0.16  
1214  0.36  -0.09  0.10  0.27  -0.31  0.29  0.37  0.36  0.35  0.46  0.11  -0.15  -0.69  0.24  0.38  0.19  
1215  0.35  -0.04  0.13  0.30  -0.32  0.27  0.37  0.37  0.36  0.40  0.13  -0.19  -0.66  0.27  0.41  0.16  
1216  0.34  -0.02  0.11  0.33  -0.30  0.30  0.34  0.34  0.35  0.46  0.15  -0.19  -0.60  0.24  0.39  0.16  
1217  0.34  -0.02  0.09  0.34  -0.25  0.26  0.39  0.32  0.36  0.45  0.12  -0.19  -0.70  0.24  0.38  0.15  
1218  0.02  -0.12  0.16  0.20  -0.43  0.16  0.25  0.14  0.29  0.33  -0.01  -0.01  -0.52  0.25  0.46  0.10  
1219  0.38  -0.07  0.14  0.34  -0.37  0.24  0.44  0.38  0.38  0.47  0.11  -0.19  -0.66  0.24  0.37  0.18  
1220  0.36  -0.08  0.11  0.33  -0.32  0.23  0.39  0.35  0.36  0.47  0.16  -0.20  -0.66  0.30  0.40  0.16  
1221  0.33  -0.04  0.13  0.31  -0.36  0.28  0.46  0.32  0.41  0.47  0.17  -0.15  -0.64  0.27  0.40  0.17  
1222  0.36  -0.05  0.12  0.35  -0.29  0.28  0.38  0.37  0.30  0.45  0.13  -0.17  -0.66  0.28  0.40  0.19  
1223  0.32  -0.05  0.16  0.34  -0.29  0.28  0.36  0.35  0.32  0.44  0.14  -0.21  -0.64  0.25  0.40  0.15  
1224  0.33  -0.04  0.14  0.33  -0.31  0.31  0.40  0.39  0.36  0.44  0.12  -0.19  -0.67  0.28  0.37  0.18  
1225  0.36  -0.06  0.14  0.31  -0.34  0.31  0.38  0.38  0.34  0.45  0.14  -0.18  -0.65  0.26  0.40  0.22  
1231  0.33  0.04  0.09  0.33  -0.25  0.19  0.40  0.37  0.38  0.46  0.11  -0.21  -0.62  0.26  0.37  0.14  
1233  0.37  -0.08  0.12  0.22  -0.18  0.24  0.43  0.38  0.28  0.39  0.13  -0.26  -0.50  0.25  0.40  0.22  
1235  0.31  -0.03  0.13  0.31  -0.33  0.23  0.39  0.38  0.37  0.44  0.09  -0.20  -0.62  0.26  0.43  0.20  
