nrun   cer1   cer2   cer3   cer4   cer5   cer6  cer7   cer8   cer9   cer10
90921  -0.44  0.46  0.20  -0.10  0.12  0.48  -0.26  -0.13  0.08  -0.72  
90922  0.21  0.53  0.14  -0.24  0.06  0.01  -0.21  -0.12  -0.12  -1.22  
90923  -0.28  0.30  0.24  -0.11  0.58  0.71  -0.14  -0.09  -0.40  -0.49  
90924  -0.06  0.33  0.26  0.03  0.45  0.65  -0.37  0.27  -0.28  -0.64  
90925  0.12  0.20  0.39  -0.11  0.38  0.47  -0.12  0.06  -0.31  -0.58  
90926  -0.24  0.46  0.16  -0.12  -0.11  0.74  -0.77  -0.09  -0.48  -0.36  
90930  0.15  0.33  0.18  -0.07  0.01  0.33  -0.71  -0.24  -0.45  -0.55  
90931  -0.18  0.32  0.32  -0.11  0.13  0.45  -0.60  -0.23  -0.76  -0.53  
90932  0.01  0.23  0.24  -0.07  0.53  0.98  -0.35  0.11  -0.47  -0.02  
90935  0.29  0.37  -0.09  -0.22  0.18  0.21  -0.89  -0.16  -0.67  -0.76  
90936  0.24  -0.04  0.20  -0.06  0.07  -0.15  -0.16  -0.40  0.08  -0.35  
90937  0.22  0.00  0.16  -0.10  0.05  -0.11  -0.19  -0.44  0.03  -0.40  
90938  0.19  -0.06  0.19  -0.04  0.01  -0.16  -0.20  -0.32  -0.01  -0.44  
90940  -0.08  0.10  0.42  0.03  0.62  0.60  -0.39  0.02  -0.45  -0.55  
90941  -0.24  0.19  0.25  -0.30  0.32  0.64  -0.43  -0.16  0.23  -0.12  
90942  0.20  -0.02  0.23  -0.04  -0.02  -0.07  -0.15  -0.31  0.02  -0.57  
90943  0.16  0.29  0.19  -0.33  -0.08  0.12  -0.35  -0.27  -0.73  -0.87  
90944  -0.10  -0.10  0.35  -0.02  0.38  0.37  -0.55  0.05  -0.13  -1.00  
90945  -0.76  0.18  0.07  -0.13  0.09  0.32  -0.50  0.07  -0.61  -0.13  
90946  -0.26  0.45  0.33  0.03  0.08  0.63  -0.48  0.04  -0.76  -0.57  
90947  -0.28  0.51  0.06  -0.34  0.05  0.43  -0.39  -0.05  -0.35  -0.61  
90948  -0.01  0.27  0.43  -0.01  0.34  0.28  -0.52  0.08  -0.25  -0.48  
