nrun   cer1   cer2   cer3   cer4   cer5   cer6  cer7   cer8   cer9   cer10
91224  -0.37  0.03  0.09  -0.01  0.26  0.38  -0.41  -0.31  -0.58  -0.68  
91225  -0.31  0.24  0.24  0.29  0.24  0.71  -0.41  0.16  -0.34  -0.07  
91226  -0.16  0.45  0.17  0.33  0.09  0.50  -0.79  0.12  -0.37  -0.37  
91227  -0.38  0.21  0.22  0.22  0.41  0.51  -0.36  -0.32  -0.06  -0.32  
91228  -0.24  0.27  0.15  0.07  0.27  0.36  -0.56  -0.19  -0.51  -0.40  
91229  -0.05  0.30  0.24  0.74  0.15  0.44  -0.42  -0.02  -0.49  -0.14  
91230  -0.44  0.08  0.05  0.20  0.22  0.31  -0.49  -0.15  -0.35  -0.61  
91231  -0.38  0.22  0.29  0.59  0.11  1.00  -0.44  0.03  -0.51  -0.46  
91232  -0.66  -0.12  0.48  0.42  0.03  1.11  -0.55  0.07  -0.08  -0.13  
91233  -0.39  -0.02  0.07  0.43  -0.08  0.68  -0.78  -0.42  -0.43  -0.48  
91234  -0.13  0.17  0.16  0.40  0.10  0.40  -0.36  -0.13  -0.24  -0.17  
91235  -0.27  0.38  -0.06  0.51  0.17  0.47  -0.66  0.03  -0.13  -0.38  
91236  -0.47  0.49  0.30  0.57  0.42  0.54  -0.25  -0.21  -0.59  -0.30  
91237  -0.40  0.32  0.23  0.13  -0.07  0.73  -0.47  0.05  -0.23  -0.26  
91238  -0.47  -0.02  0.18  0.30  0.43  0.21  -0.54  -0.44  -0.65  -0.52  
91239  -0.11  0.11  0.18  0.13  -0.06  0.49  -0.60  -0.09  -0.72  -0.55  
91240  -0.23  0.31  0.32  0.05  0.32  0.50  -0.45  -0.19  -0.54  -0.50  
91241  -0.09  0.08  0.30  0.58  -0.01  0.36  -0.86  -0.13  -0.45  -0.76  
91242  -0.17  0.16  0.41  0.45  -0.01  0.31  -0.38  -0.37  -0.21  -0.26  
91244  -0.47  0.12  0.01  0.40  -0.18  0.55  -0.42  0.18  -0.08  -0.49  
91245  -0.19  0.24  0.19  0.51  0.10  0.14  -0.18  -0.03  -0.11  -0.79  
91246  -0.01  0.01  0.04  0.10  0.54  -0.11  -0.37  -0.01  -0.32  -0.45  
91247  -0.41  0.52  0.14  0.41  0.26  0.29  -0.43  0.01  -0.49  -0.20  
91248  -0.21  0.11  0.38  0.16  0.03  0.36  -0.43  0.20  -0.43  -0.18  
91249  -0.45  0.52  0.29  0.53  0.23  0.32  -0.56  -0.05  -0.55  -0.36  
91250  -0.04  0.44  0.05  0.45  0.10  0.36  -0.27  -0.18  -0.77  -0.66  
91251  -0.22  0.22  0.27  0.38  0.02  0.42  -0.53  -0.12  -0.48  -0.42  
91252  -0.39  -0.06  0.44  0.40  0.32  0.50  -0.45  0.09  -0.41  -0.39  
91253  -0.48  0.10  0.09  0.06  0.05  0.38  -0.29  -0.05  -0.33  -0.16  
91254  -0.22  0.13  0.53  0.41  0.44  0.70  -0.54  0.05  -0.32  -0.31  
91255  -0.25  -0.06  0.32  0.14  -0.07  0.35  -0.39  -0.24  -0.17  -0.43  
91256  -0.08  0.28  0.11  0.30  0.14  0.57  -0.31  0.10  -0.07  -0.27  
91258  -0.14  0.07  0.32  0.22  -0.04  -0.10  -0.32  0.09  -0.35  -0.12  
91260  -0.41  0.23  0.13  0.31  0.29  0.33  -0.73  0.09  -0.26  -0.12  
91261  -0.02  -0.06  0.35  0.43  0.32  0.61  -0.55  0.03  -0.12  -0.41  
91263  -0.53  0.28  0.04  0.19  0.29  0.67  -0.36  -0.27  -0.34  -0.58  
91264  -0.01  0.00  0.48  0.39  0.07  0.75  -0.64  -0.24  -0.27  -0.38  
91265  -0.20  0.06  0.35  0.35  0.45  0.67  -0.48  -0.10  -0.31  -0.52  
91266  -0.09  0.29  0.32  0.30  0.23  0.43  -0.63  -0.34  -0.58  -0.56  
91267  -0.12  0.26  0.09  0.21  0.39  0.31  -0.32  -0.04  -0.34  0.09  
91268  -0.44  -0.09  -0.14  -0.03  0.22  0.41  -0.31  -0.25  -0.47  -0.02  
91269  -0.16  0.26  0.21  0.23  0.24  0.39  -0.58  0.13  -0.15  -0.04  
91270  -0.34  0.41  0.19  0.32  0.13  0.47  -0.33  -0.06  -0.14  0.04  
91271  -0.62  0.23  0.15  0.49  -0.11  0.73  -0.80  -0.55  -0.17  -0.35  
91275  -0.32  0.13  0.25  0.68  0.22  0.72  -0.45  0.06  -0.37  -0.31  
91277  -0.30  -0.26  0.41  0.10  -0.00  0.55  -0.79  -0.21  0.04  -0.39  
91278  -0.12  -0.01  0.27  0.20  0.20  0.31  -0.82  -0.05  -0.40  -0.11  
91279  -0.25  0.26  0.31  -0.18  0.13  0.28  -0.18  -0.39  -0.59  -0.43  
91280  -0.43  0.35  -0.01  0.85  0.29  0.51  -0.36  -0.01  -0.46  0.41  
91283  -0.14  0.47  0.16  0.47  0.03  0.23  -0.58  -0.09  -0.13  -0.27  
91284  -0.06  0.12  0.19  0.02  0.06  0.15  -0.77  -0.21  0.02  -0.46  
91285  -0.17  0.22  0.19  0.13  0.11  0.18  -0.51  -0.16  -0.22  -0.35  
91286  -0.34  0.27  0.29  0.47  0.10  0.45  -0.53  -0.26  -0.26  -0.21  
91287  -0.48  0.29  0.44  0.20  -0.32  0.24  -0.66  0.05  -0.44  -0.31  
91288  -0.10  0.40  0.27  0.12  0.27  0.73  -0.51  0.19  -0.28  -0.22  
91289  -0.46  0.10  0.18  0.40  0.09  0.41  -0.23  -0.04  -0.30  -0.15  
91290  -0.58  0.13  -0.02  0.04  0.26  0.33  -0.34  -0.14  -0.16  -0.57  
91291  -0.18  0.07  0.16  -0.12  -0.02  0.57  -0.28  0.00  -0.12  -0.25  
91292  -0.44  0.21  0.30  0.10  0.07  0.47  -0.44  -0.08  -0.41  -0.25  
91293  -0.36  0.31  0.28  0.29  0.22  0.68  -0.49  -0.10  -0.20  -0.31  
91294  -0.24  0.14  0.37  0.15  0.30  0.84  -0.35  0.21  -0.27  -0.39  
91295  -0.49  0.08  0.64  -0.27  -0.03  0.07  -0.41  -0.11  -0.17  -0.75  
91296  -0.40  0.21  0.14  0.20  0.16  0.22  -0.45  0.17  -0.30  -0.60  
91297  -0.42  0.34  0.35  0.13  0.19  0.26  -0.70  0.11  -0.64  -0.69  
91298  -0.32  0.15  0.05  -0.04  0.19  0.23  -0.27  -0.34  -0.19  -0.25  
91299  -0.57  0.27  0.34  0.72  -0.02  0.60  -0.31  0.29  -0.32  -0.49  
91300  -0.07  0.48  0.24  0.08  0.19  0.48  -0.43  0.05  -0.27  0.14  
91302  -0.25  0.27  -0.22  0.34  0.59  0.71  -0.45  -0.36  -0.48  0.18  
91303  -0.41  0.20  0.14  -0.01  0.11  0.64  -0.08  -0.23  -0.54  -0.16  
91304  -0.22  0.20  0.03  -0.09  0.37  0.37  -0.27  -0.43  -0.39  -0.35  
91305  -0.59  -0.04  0.26  0.03  0.39  0.55  -0.24  -0.08  -0.34  -0.47  
91306  0.14  0.12  0.34  0.27  -0.02  0.26  -0.55  0.03  -0.36  -0.45  
91307  -0.31  0.15  0.20  -0.08  -0.05  0.59  -0.67  0.18  -0.36  0.01  
91308  -0.21  0.38  -0.04  -0.02  -0.16  0.64  -0.07  0.10  -0.06  -0.20  
91309  -0.32  0.52  0.50  -0.09  0.06  0.56  -0.26  -0.05  -0.53  -0.34  
91310  -0.42  0.13  0.23  -0.08  0.13  0.64  -0.32  -0.06  -0.34  -0.34  
91311  -0.28  0.24  0.15  -0.36  -0.09  0.44  -0.04  -0.60  -0.56  0.33  
91312  0.20  -0.08  0.23  -0.01  0.19  -0.20  -0.08  -0.32  0.11  -0.50  
91313  -0.34  0.27  0.19  -0.15  -0.37  0.31  -0.06  -0.27  -0.09  -0.25  
91314  -0.28  0.02  -0.20  -0.18  -0.20  0.38  0.07  0.20  -0.53  -0.32  
91315  -0.13  0.74  0.56  -0.11  0.26  0.41  -0.32  -0.07  0.05  -0.23  
91316  -0.29  0.03  0.68  -0.03  -0.00  0.69  -0.49  -0.10  -0.40  -0.08  
91317  0.08  0.30  0.32  0.19  0.31  0.58  -0.43  0.38  -0.31  -0.58  
91318  -0.33  0.47  0.44  -0.58  0.42  0.05  -0.04  0.10  -0.40  -0.43  
91319  -0.05  0.50  0.21  0.37  0.02  0.75  -0.22  0.03  -0.50  -0.33  
91320  -0.04  0.42  0.46  -0.33  0.42  0.50  -0.22  0.18  -0.22  -0.38  
91321  -0.22  0.28  0.41  0.01  0.03  0.43  -0.09  0.07  -0.36  0.06  
91322  -0.09  0.27  0.49  -0.24  0.19  0.47  -0.48  -0.19  -0.24  -0.03  
91323  -0.10  0.33  0.42  -0.22  0.25  0.19  -0.03  0.01  -0.17  -0.48  
91324  -0.22  0.12  0.20  0.10  0.38  0.49  -0.12  -0.06  -0.23  -0.17  
91325  -0.14  0.69  0.47  0.33  0.28  0.37  -0.12  -0.36  -0.28  -0.66  
91326  -0.19  0.01  -0.02  -0.11  0.24  0.74  -0.13  -0.11  -0.17  -0.32  
91327  -0.38  0.24  0.23  0.00  0.05  0.54  -0.24  -0.15  -0.43  -0.47  
91328  -0.27  0.13  0.26  -0.16  0.37  0.27  -0.37  0.00  -0.46  -0.36  
91330  -0.37  -0.32  0.31  -0.49  0.09  0.22  -0.31  0.04  -0.16  -0.76  
91331  -0.30  -0.09  0.33  -0.09  0.15  0.14  -0.14  -0.08  -0.11  -0.68  
91332  -0.18  0.05  0.39  -0.11  0.09  0.20  -0.23  -0.20  -0.30  -0.66  
91333  -0.17  0.17  0.17  0.02  0.26  0.19  -0.64  -0.03  -0.46  -0.33  
91334  -0.00  0.25  0.25  -0.28  0.10  0.21  -0.36  -0.52  -0.19  -0.55  
91335  -0.25  0.31  0.65  -0.29  0.42  0.28  0.12  -0.29  0.05  -0.51  
91338  -0.21  -0.06  0.46  -0.34  0.52  0.38  -0.41  -0.28  -0.52  -0.92  
91341  -0.04  -0.12  0.26  -0.30  0.01  0.25  -0.22  0.12  0.32  -0.52  
91342  -0.20  0.14  0.14  -0.13  0.09  0.03  -0.41  -0.40  -0.23  -0.66  
91343  -0.31  -0.06  0.29  -0.01  0.07  0.23  -0.44  -0.74  -0.44  -0.87  
91344  -0.26  0.05  0.31  0.32  0.30  0.20  -0.03  -0.08  -0.35  -0.40  
91345  0.02  0.13  0.14  -0.06  0.29  0.29  -0.27  -0.31  -0.46  -0.49  
91346  -0.39  -0.08  0.25  0.04  0.34  0.03  -0.33  -0.16  -0.26  -0.86  
91347  -0.24  0.46  -0.01  0.16  0.19  0.28  -0.47  0.03  0.00  -0.69  
91348  -0.25  0.43  0.20  -0.24  0.14  0.49  -0.24  -0.50  -0.24  -0.56  
91355  -0.20  0.23  0.13  0.23  0.04  0.34  -0.16  -0.13  -0.33  -0.41  
91356  -0.16  0.23  0.19  0.44  -0.00  0.55  -0.58  -0.04  -0.24  -0.39  
91357  -0.50  -0.04  0.52  0.26  0.13  0.43  -0.53  -0.10  -0.22  -0.22  
91358  -0.44  0.20  0.14  0.27  -0.16  0.15  -0.26  -0.36  0.11  -0.37  
91359  -0.29  0.23  0.46  0.24  0.07  0.60  -0.61  0.20  -0.69  -0.06  
91360  -0.28  0.38  0.31  0.16  0.14  0.39  -0.36  -0.22  -0.16  -0.63  
91361  -0.22  0.07  0.14  0.21  0.14  0.48  -0.33  -0.01  -0.31  -0.64  
91362  -0.27  0.32  0.31  0.21  0.07  0.56  -0.11  0.27  -0.28  -0.47  
91363  -0.18  -0.16  0.29  0.33  -0.11  0.47  -0.43  0.12  -0.40  -0.54  
91364  -0.53  0.27  0.14  -0.14  0.16  0.63  -0.45  -0.40  -0.42  -0.50  
91365  -0.28  0.08  0.34  -0.12  0.08  0.35  -0.38  -0.42  -0.03  -0.84  
91366  -0.34  0.24  0.39  -0.09  -0.01  0.63  -0.70  0.17  -0.35  -0.32  
91367  -0.25  0.19  0.22  -0.04  0.16  0.43  -0.26  -0.27  -0.73  -0.55  
91368  -0.53  0.21  0.12  0.19  -0.08  0.30  -0.52  -0.66  -0.48  -0.64  
91369  -0.25  -0.03  0.28  0.31  -0.01  0.35  -0.33  -0.05  0.06  -0.38  
91370  -0.48  0.17  0.29  0.08  0.29  0.61  -0.42  -0.03  -0.26  -0.14  
91371  -0.09  0.01  -0.05  0.22  0.10  0.08  -0.51  -0.32  -0.01  -0.44  
91372  -0.16  0.34  0.38  0.32  -0.09  0.52  -0.38  -0.04  -0.06  -0.30  
91373  -0.28  0.36  0.10  0.52  0.49  0.57  -0.66  0.05  -0.50  0.11  
91374  -0.08  0.37  0.68  0.17  0.55  0.52  -0.52  -0.35  -0.58  -0.85  
91375  -0.11  0.29  0.27  0.12  0.21  0.55  -0.64  -0.33  -0.07  -0.43  
91376  -0.34  0.18  0.23  -0.07  -0.11  0.30  -0.23  0.11  -0.17  -0.82  
91377  -0.33  0.38  0.37  0.65  0.25  0.35  -0.48  -0.13  -0.37  -0.37  
91379  -0.30  0.42  0.18  -0.06  0.18  0.57  -0.37  -0.26  -0.30  -0.83  
91380  -0.27  0.42  0.20  -0.03  -0.07  0.48  -0.59  -0.37  -0.31  -0.53  
91381  -0.22  0.24  0.05  0.08  0.08  0.28  -0.29  0.04  -0.37  -0.69  
91382  -0.11  -0.16  0.27  0.19  0.23  0.03  -0.54  -0.39  -0.67  -0.83  
91383  -0.21  0.15  0.36  -0.03  0.01  0.22  -0.27  -0.49  -0.31  -0.51  
91384  -0.46  0.25  0.40  0.39  0.20  0.51  -0.19  0.08  -0.20  -0.13  
91385  -0.21  0.30  0.34  0.54  0.00  0.47  -0.73  0.09  -0.52  -0.31  
91386  -0.39  0.43  0.37  0.13  0.29  0.67  -0.31  0.12  -0.11  0.09  
91387  0.08  0.16  0.23  -0.01  0.37  0.55  -0.54  0.41  -0.13  -0.33  
91388  -0.21  0.19  0.04  0.06  0.14  0.37  -0.78  -0.08  -0.21  -0.55  
91389  -0.00  0.17  0.37  -0.03  0.41  0.42  -0.56  -0.40  -0.17  -0.52  
91390  -0.05  0.35  0.20  -0.07  0.45  0.42  -0.40  -0.12  -0.29  -0.32  
91391  -0.05  0.23  0.15  0.05  0.12  0.46  -0.49  -0.26  -0.35  -0.50  
91392  -0.44  0.38  0.15  0.22  0.26  0.78  -0.65  0.02  -0.40  -0.52  
91393  -0.06  0.45  0.33  0.21  0.40  0.18  -0.55  0.17  -0.05  -0.08  
91394  -0.35  0.14  0.32  0.24  -0.11  0.62  -0.53  -0.22  -0.55  -0.62  
91395  -0.20  0.32  0.14  0.01  0.01  0.53  -0.63  0.01  -0.29  -0.27  
91396  -0.30  0.17  0.16  0.24  0.28  0.57  -0.36  -0.13  -0.17  -0.29  
91397  -0.36  0.28  0.23  0.07  0.21  0.58  -0.40  -0.12  -0.24  -0.45  
91399  -0.16  -0.11  0.07  -0.10  -0.07  0.32  -0.44  -0.19  -0.29  -0.68  
91400  -0.17  0.15  0.31  0.17  -0.01  0.20  -0.35  0.07  -0.28  -0.23  
91401  -0.53  0.21  0.53  0.17  0.11  -0.08  -0.28  -0.07  -0.25  -0.35  
91402  -0.10  0.21  -0.06  0.05  0.03  0.12  -0.55  -0.32  -0.35  -0.18  
91403  -0.33  0.02  0.23  0.36  -0.27  0.63  -0.31  -0.27  -0.42  -0.13  
91404  -0.36  0.27  0.09  0.33  -0.21  0.45  -0.33  -0.36  -0.41  -0.52  
91405  -0.41  -0.14  0.06  0.03  -0.28  0.49  -0.46  -0.45  -0.18  -0.61  
91406  -0.26  -0.05  -0.00  0.20  0.38  0.52  -0.65  -0.34  0.40  -0.73  
91407  0.13  -0.01  0.27  0.03  0.07  -0.18  -0.12  -0.35  0.08  -0.65  
91408  -0.29  0.11  0.33  0.33  0.12  0.63  -0.29  -0.17  -0.02  -0.44  
91409  -0.09  -0.02  0.11  0.45  0.02  0.69  -0.45  0.26  -0.27  -0.45  
91410  -0.02  0.08  0.53  0.14  0.34  0.35  -0.16  -0.09  -0.51  -0.25  
91411  -0.28  0.42  0.28  -0.18  0.07  0.64  -0.52  -0.60  -0.28  -0.79  
91412  -0.39  -0.28  0.21  -0.04  0.18  0.08  -0.38  -0.01  -0.58  -0.49  
91413  -0.42  0.29  0.31  0.11  0.43  0.51  -0.18  0.08  -0.47  -0.19  
91414  -0.97  0.83  0.21  0.24  0.03  0.64  0.05  -0.25  -0.33  -0.62  
91415  -0.27  0.08  0.03  0.12  -0.16  0.70  -0.37  -0.11  -0.28  -0.41  
91416  0.04  0.46  0.27  0.15  0.10  0.38  -0.39  -0.15  -0.38  -0.60  
91417  -0.32  0.14  0.33  0.11  0.30  0.51  -0.42  -0.37  -0.43  -0.27  
91418  -0.02  -0.01  0.19  0.23  0.20  0.68  -0.31  0.05  -0.35  -0.39  
91419  -0.26  0.22  0.37  -0.20  0.13  0.65  -0.21  -0.19  -0.13  -0.68  
91420  -0.38  0.41  0.11  0.21  0.27  0.58  -0.21  0.21  -0.48  -0.45  
91421  -0.31  0.30  0.49  0.19  -0.07  0.55  -0.30  -0.19  -0.27  0.04  
91422  -0.18  0.80  0.51  0.33  0.21  0.67  -0.07  0.12  -0.25  -0.28  
91423  -0.30  0.15  0.16  -0.13  0.34  0.48  -0.50  -0.20  -0.26  -0.35  
91424  -0.24  0.22  0.24  -0.05  -0.12  0.27  -0.40  0.16  -0.61  -0.64  
91425  -0.28  0.21  0.29  -0.04  0.20  0.21  -0.15  -0.10  -0.41  -0.36  
91426  -0.19  0.37  0.35  -0.04  0.08  0.34  -0.49  -0.23  -0.45  -0.68  
91427  -0.22  0.25  0.24  0.17  0.03  0.57  -0.26  -0.16  -0.03  -0.33  
91428  -0.19  0.46  0.45  0.43  0.17  0.85  -0.30  0.19  -0.38  -0.32  
91429  -0.27  0.25  0.09  -0.10  0.13  0.14  -0.34  -0.37  -0.08  -0.49  
91430  -0.08  0.22  0.19  0.17  0.21  0.45  -0.24  -0.23  -0.46  -0.49  
91431  -0.21  0.39  0.36  0.21  0.28  0.83  -0.40  0.01  -0.36  -0.53  
91432  -0.24  0.33  0.31  0.09  0.26  0.70  -0.42  -0.12  -0.01  -0.21  
91433  -0.25  0.32  0.15  0.12  0.02  0.43  -0.32  0.05  -0.30  -1.01  
91434  -0.31  0.07  0.33  -0.08  0.19  0.57  -0.12  -0.21  -0.35  -0.60  
91435  -0.35  0.04  0.26  0.17  0.36  0.55  -0.49  -0.34  -0.25  -0.30  
91436  -0.20  0.48  0.30  0.11  0.16  0.75  -0.16  -0.23  -0.34  -0.53  
91437  -0.09  0.50  0.15  -0.02  0.18  0.50  -0.25  0.02  -0.14  -0.50  
91438  -0.24  0.56  0.39  -0.05  0.20  0.67  -0.35  0.02  -0.34  -0.44  
91439  -0.19  0.25  0.24  0.16  0.32  0.55  -0.27  0.20  -0.55  0.04  
91440  0.09  0.32  0.19  0.37  0.11  0.19  -0.43  0.01  -0.66  -0.25  
91441  -0.37  0.11  0.15  0.10  0.05  0.56  -0.07  -0.07  -0.18  -0.31  
91442  -0.28  0.21  0.36  0.30  0.09  0.31  -0.47  -0.14  -0.21  -0.43  
91443  -0.25  0.06  0.12  -0.19  0.22  0.48  -0.46  -0.19  -0.32  -0.41  
91444  -0.18  0.33  0.16  0.13  -0.11  0.70  -0.54  -0.32  -0.30  -0.44  
91445  -0.24  0.09  0.47  -0.39  -0.07  0.55  -0.59  -0.61  -0.56  -0.32  
91446  -0.32  0.12  0.30  0.26  0.10  0.67  -0.27  -0.18  -0.41  -0.55  
91447  -0.06  -0.08  0.44  0.02  0.02  0.66  -0.64  -0.12  -0.44  -0.69  
91448  -0.10  0.16  -0.07  0.19  -0.03  0.40  -0.63  -0.09  -0.11  -0.50  
91449  -0.37  0.26  0.04  0.26  -0.11  0.37  -0.64  -0.08  -0.17  -0.43  
91450  -0.13  0.24  0.27  0.39  -0.13  0.70  -0.25  0.17  -0.33  -0.47  
91451  -0.22  0.55  0.16  -0.05  -0.19  0.64  -0.15  -0.10  -0.41  -0.76  
91452  -0.10  0.11  0.41  -0.05  0.01  0.37  -0.20  -0.12  -0.23  -0.57  
91453  -0.27  0.49  0.28  -0.11  0.06  0.19  -0.30  -0.08  -0.46  -0.34  
91454  -0.29  0.10  0.36  0.43  0.12  0.60  -0.50  -0.01  -0.36  -0.22  
91455  -0.38  0.43  0.63  0.18  0.16  0.77  -0.09  -0.08  0.08  -0.45  
91456  0.12  0.20  0.35  0.09  0.23  0.30  -0.59  -0.20  -0.24  -0.54  
91457  -0.74  0.28  0.27  0.48  0.10  0.49  -0.57  -0.41  -0.35  -0.27  
91458  0.01  0.24  0.35  0.08  0.25  0.57  -0.52  -0.09  -0.36  -0.24  
91459  -0.52  0.28  0.32  -0.02  0.35  0.52  -0.27  -0.19  -0.39  -0.48  
91460  -0.50  0.31  0.39  0.16  0.17  0.43  -0.12  0.32  -0.16  -0.19  
91461  -0.18  0.07  0.12  -0.18  0.09  0.45  -0.34  -0.05  -0.25  -0.51  
91462  -0.10  0.61  0.40  0.02  0.21  0.66  -0.26  0.03  -0.12  -0.27  
91463  -0.30  0.07  0.44  -0.20  0.21  0.97  -0.30  -0.01  -0.72  -0.50  
91467  -0.24  0.03  0.07  -0.52  0.04  -0.17  -0.67  -0.71  0.15  -1.27  
91468  -0.42  0.04  0.48  0.01  0.27  -0.02  -0.54  -0.86  -0.23  -1.11  
91469  -0.19  0.19  0.22  -0.16  0.04  0.07  -0.17  -0.31  -0.35  -0.63  
91470  -0.40  -0.15  0.28  0.24  0.32  0.15  -0.30  -0.52  0.13  -1.06  
91471  -0.28  0.23  0.57  0.34  0.10  0.25  -0.40  -0.41  -0.21  -1.04  
91472  -0.41  -0.16  0.44  -0.01  0.13  0.41  -0.37  -0.51  -0.15  -0.64  
91473  -0.30  0.00  0.28  -0.49  0.13  0.12  -0.36  -0.47  -0.33  -0.92  
91474  -0.26  0.01  0.20  0.15  0.31  0.07  -0.45  -0.28  -0.29  -0.84  
91475  -0.11  -0.05  0.40  -0.10  -0.02  -0.28  -0.22  -0.78  0.02  -1.12  
91476  -0.12  -0.07  0.42  -0.15  0.29  -0.06  -0.57  -0.49  -0.18  -1.21  
91477  -0.42  0.06  0.32  -0.28  -0.02  0.07  -0.41  -0.38  -0.10  -1.12  
91478  -0.00  -0.10  0.20  0.12  0.20  -0.05  -0.38  -0.34  -0.04  -1.05  
91479  -0.14  0.10  0.28  -0.34  0.12  -0.15  -0.67  -0.27  0.02  -0.72  
91480  0.00  0.12  0.18  0.03  -0.06  0.11  -0.69  -0.48  0.07  -1.02  
91481  -0.28  0.17  0.10  -0.11  0.34  0.35  -0.18  -0.39  -0.25  -0.37  
91482  -0.24  -0.21  0.18  -0.14  0.06  0.08  -0.45  -0.87  -0.47  -1.09  
91483  -0.15  0.26  0.36  -0.33  0.09  -0.18  -0.48  -0.67  0.17  -0.81  
91484  -0.56  -0.04  0.20  -0.34  0.24  -0.05  -0.62  -0.52  -0.10  -0.86  
91485  -0.24  0.07  0.16  -0.14  0.09  0.03  -0.54  -0.46  0.11  -0.66  
91486  -0.06  0.03  0.06  -0.36  -0.01  -0.52  -0.60  -0.30  -0.04  -1.16  
91487  -0.62  0.36  0.35  -0.19  0.21  -0.01  0.12  -0.68  -0.20  -0.64  
91488  -0.14  0.11  0.19  -0.33  0.26  -0.06  -0.45  -1.02  0.02  -0.83  
91489  -0.04  -0.25  0.48  -0.17  0.15  0.15  -0.40  -0.15  -0.07  -0.54  
91490  -0.28  0.25  0.26  0.08  0.05  0.08  -0.26  -0.48  -0.08  -0.87  
91491  -0.13  -0.02  0.28  -0.32  -0.08  -0.10  -0.36  -0.46  -0.18  -0.96  
91492  -0.31  -0.05  0.13  -0.21  0.15  0.25  -0.49  -0.17  -0.07  -0.87  
91493  -0.20  0.26  0.18  -0.14  0.19  0.30  -0.20  -0.30  0.02  -0.84  
91494  -0.25  -0.13  0.40  -0.30  0.14  -0.04  -0.09  -0.51  -0.45  -0.67  
91495  -0.23  0.33  0.36  -0.16  0.12  0.38  -0.11  -0.23  -0.23  -0.82  
91496  0.01  -0.23  0.27  -0.39  0.53  -0.25  -0.37  -0.44  -0.43  -0.92  
91497  -0.09  0.07  0.31  -0.02  0.20  0.18  -0.44  -0.53  -0.39  -0.67  
91498  -0.11  -0.20  0.09  0.06  -0.08  -0.11  -0.45  -0.79  -0.29  -0.96  
91499  -0.58  0.21  0.29  -0.08  0.11  0.05  -0.26  -0.67  -0.43  -0.98  
91500  -0.13  -0.02  0.41  -0.25  0.06  0.17  -0.37  -0.22  -0.15  -0.76  
91501  -0.33  -0.25  0.40  0.54  0.32  0.35  -0.14  -0.07  -0.35  -0.31  
91502  -0.41  -0.21  -0.02  -0.23  0.21  -0.02  -0.50  -0.50  -0.04  -0.66  
91503  -0.60  0.35  0.20  -0.04  0.08  0.20  -0.27  -0.48  -0.21  -0.51  
91504  -0.20  -0.03  0.30  -0.30  -0.10  0.03  -0.16  -0.20  0.05  -0.77  
91505  -0.29  0.11  0.47  -0.07  0.14  0.15  -0.71  -0.25  -0.30  -0.66  
91507  -0.26  0.02  0.36  -0.12  0.24  0.01  -0.37  -0.48  -0.11  -0.50  
91508  -0.33  -0.10  0.30  -0.43  0.25  0.02  -0.42  -0.60  0.15  -1.03  
91509  -0.39  -0.03  0.29  -0.29  0.45  0.10  -0.42  -0.66  -0.34  -0.76  
91510  -0.06  0.04  0.16  0.14  0.57  -0.05  -0.20  -0.65  -0.48  -0.81  
91511  -0.23  0.04  0.39  -0.01  0.32  0.18  -0.55  -0.60  0.01  -0.75  
91512  -0.44  0.39  0.31  -0.34  0.16  0.10  -0.56  -0.07  -0.26  -0.47  
91513  -0.42  0.00  0.19  -0.16  0.27  -0.16  -0.33  -0.19  -0.21  -0.84  
91514  -0.30  0.31  0.12  0.09  0.22  0.20  -0.41  -0.31  -0.02  -0.71  
91515  -0.33  0.16  0.23  -0.17  0.23  0.03  -0.25  -0.50  -0.35  -0.72  
91516  0.02  0.04  0.26  -0.48  0.07  -0.21  -0.50  -0.36  -0.26  -0.47  
91517  -0.35  -0.08  0.12  -0.31  0.17  -0.12  -0.20  -0.73  -0.24  -1.21  
91518  -0.12  0.19  0.14  0.08  0.13  0.10  -0.53  -0.72  -0.23  -0.52  
91519  -0.41  0.20  0.17  -0.54  -0.06  0.26  -0.59  -0.21  -0.44  -1.38  
91520  -0.19  -0.05  0.05  -0.24  0.06  0.28  -0.58  -0.02  -0.12  -0.55  
91521  -0.22  0.00  0.18  -0.39  -0.02  0.03  -0.33  -0.25  -0.11  -0.73  
91522  -0.30  -0.13  0.01  0.03  -0.04  -0.08  -0.36  -0.57  -0.06  -0.74  
91523  -0.29  0.01  0.30  -0.33  -0.02  0.12  -0.57  -0.48  -0.21  -0.82  
91524  -0.09  -0.26  0.34  -0.40  0.02  0.07  -0.34  -0.81  -0.29  -0.37  
91525  -0.22  0.17  0.24  -0.21  0.21  -0.10  -0.48  -0.56  -0.49  -1.05  
91526  -0.31  0.08  0.42  -0.47  0.13  -0.10  -0.34  -0.61  -0.09  -0.28  
91527  -0.27  -0.04  0.02  -0.39  -0.05  -0.01  -0.34  -0.45  -0.24  -1.00  
91530  0.20  -0.24  0.21  -0.49  0.14  -0.61  -0.21  -0.72  0.12  -0.79  
91531  -0.39  0.22  0.38  -0.10  -0.03  -0.36  -0.28  -0.47  -0.04  -1.01  
91532  -0.31  0.07  0.29  -0.16  0.09  -0.06  -0.14  -0.57  -0.20  -0.76  
91533  -0.22  0.19  0.38  -0.53  0.14  -0.09  -0.40  -0.57  -0.13  -0.81  
91534  -0.02  0.06  0.35  -0.38  -0.04  -0.23  -0.61  -0.49  0.04  -0.65  
