nrun   cer1    cer2    cer3    cer4    cer5    cer6    cer7    cer8    cer9    cer10   flag
90837  283.28  335.95  334.02  290.88  322.28  327.05  310.77  319.97  295.53  288.80  1
90838  306.48  295.69  292.08  296.12  296.73  297.54  299.79  300.05  304.53  300.72  0
90840  281.72  288.89  290.60  292.59  289.76  300.81  293.72  306.38  303.78  299.81  0
90843  379.96  306.07  334.39  298.87  323.95  309.81  300.10  296.92  262.38  290.06  0
90849  276.07  299.08  293.64  296.33  294.71  300.43  299.63  304.13  311.05  298.69  0
90850  276.70  297.34  291.79  290.16  291.84  301.55  296.19  296.05  304.77  289.99  0
90851  -1594.61  306.70  201.56  296.13  286.32  296.78  305.03  308.98  277.96  295.25  1
90852  301.13  303.99  289.79  299.19  297.64  301.43  291.89  299.16  311.80  303.28  0
90853  297.14  299.43  294.80  292.72  294.26  300.33  293.30  301.13  314.20  308.11  0
90854  291.43  301.88  298.51  293.66  291.29  303.03  294.76  306.39  310.16  302.65  0
90855  266.80  300.17  291.50  293.67  295.01  300.53  296.13  302.49  308.70  296.77  0
90856  285.75  297.99  295.26  297.14  294.29  301.39  296.46  305.35  308.26  303.96  0
90857  277.01  302.52  299.67  292.35  294.98  297.79  292.55  302.74  314.77  295.47  0
90859  266.54  298.20  286.11  303.79  298.78  295.85  291.98  301.47  318.83  301.12  0
90861  249.35  300.66  301.55  300.58  288.69  304.97  296.36  308.49  322.77  297.08  0
90862  274.27  298.09  286.64  293.51  296.45  298.13  302.40  302.47  306.54  305.76  0
90863  -698.91  325.96  329.53  286.42  332.18  300.33  307.98  302.59  326.66  369.98  1
90864  276.58  294.22  285.61  298.80  297.66  298.02  291.96  308.56  306.04  300.68  0
90865  294.56  298.54  299.15  300.95  289.62  303.72  299.33  308.52  315.81  292.96  0
90866  301.28  294.51  292.43  293.49  289.10  297.14  296.08  302.01  314.16  298.99  0
90867  289.52  286.69  292.94  294.86  291.43  303.19  296.88  296.66  303.03  306.17  0
90868  285.29  290.54  292.87  297.47  290.04  297.39  297.13  293.60  309.06  304.31  0
90869  282.93  294.20  293.71  295.87  297.67  299.08  297.38  301.18  305.71  307.79  0
90870  291.77  300.78  288.63  295.92  298.31  301.12  293.07  303.87  308.62  308.40  0
90871  279.46  303.35  299.84  283.81  297.97  295.90  301.60  307.83  312.12  305.67  0
90873  292.94  298.57  291.87  295.89  292.86  302.43  289.72  299.98  311.21  301.61  0
90874  277.91  296.68  292.14  297.59  293.06  298.01  294.76  299.28  307.53  301.27  0
90875  282.33  296.87  292.46  298.67  295.65  300.04  294.45  302.35  308.99  303.77  0
90876  283.12  293.48  294.16  293.11  292.28  300.80  293.27  298.46  309.00  300.74  0
90877  278.23  296.63  290.93  301.14  293.92  299.97  294.47  300.34  314.00  298.82  0
90878  272.67  293.83  294.39  294.92  292.57  301.46  295.07  299.90  309.80  301.22  0
90879  382.31  333.13  352.19  332.42  352.05  339.36  315.43  333.77  321.95  299.57  0
90880  422.93  347.00  402.76  417.91  426.68  391.67  397.48  405.01  316.82  313.75  0
90883  409.19  351.50  385.66  417.63  418.15  408.43  377.40  398.27  315.13  -652.91  1
90884  431.17  349.45  390.83  425.59  414.10  408.07  398.18  386.63  333.93  314.83  0
90885  418.30  351.71  393.08  405.68  418.15  414.72  387.53  393.33  356.05  -578.19  1
90886  427.10  349.26  388.89  408.94  416.11  414.55  387.65  412.04  301.45  331.64  1
90887  415.44  341.12  387.60  422.18  420.30  394.25  398.45  370.92  363.68  332.51  1
90891  422.43  351.13  380.06  410.00  409.68  395.50  389.85  376.36  359.18  273.97  1
90895  416.79  352.92  392.92  415.95  418.95  410.68  404.89  392.49  1437.37  357.23  1
90896  411.83  349.55  387.99  407.45  412.00  395.51  382.96  395.15  330.08  312.45  0
90898  412.78  353.50  396.00  411.57  418.55  393.83  388.23  399.87  348.32  293.82  1
90899  435.58  348.74  397.10  403.85  416.33  378.68  383.28  377.35  356.96  316.00  1
90900  416.01  346.52  384.60  404.85  414.39  403.77  391.84  385.30  306.22  283.80  0
90901  417.67  345.80  393.39  418.60  415.91  390.54  386.64  401.82  315.19  -305.91  1
90902  413.90  352.85  393.53  526.18  422.66  403.63  433.36  413.04  347.11  320.47  1
90903  418.98  348.51  388.78  413.11  415.86  380.66  407.53  391.51  246.86  311.24  0
90904  425.09  350.44  394.71  429.49  421.67  389.61  390.89  383.34  296.34  291.40  0
90905  419.32  348.21  395.88  433.64  418.17  389.53  393.02  391.38  247.42  282.58  0
90906  416.75  354.08  381.09  409.91  405.21  401.25  389.93  409.49  301.42  299.47  0
90907  423.75  349.01  399.59  414.76  414.59  402.86  393.25  391.00  379.69  343.49  0
90908  427.32  344.26  386.14  418.25  410.57  394.07  387.85  406.10  332.07  110.33  1
90909  412.09  346.79  385.85  409.96  414.90  394.96  404.44  395.86  304.58  295.03  1
90910  411.48  348.61  390.16  403.44  415.25  405.39  387.51  377.97  355.86  312.45  0
90911  420.04  349.27  396.68  413.43  420.14  404.04  389.46  389.38  468.33  315.72  0
90912  414.50  347.95  381.23  416.75  412.22  376.63  399.21  385.14  378.54  303.08  0
90913  408.24  350.73  394.91  394.35  413.96  433.30  386.25  391.26  324.46  465.21  1
90914  420.35  351.38  396.77  417.89  414.38  407.66  390.81  409.77  321.24  367.23  1
90915  429.59  349.83  389.66  410.75  420.83  401.38  400.60  406.48  361.30  309.48  0
90916  366.02  317.49  357.83  329.67  340.01  352.11  335.55  337.91  319.70  315.70  0
90919  422.15  342.74  397.46  425.84  419.17  398.29  399.89  404.57  461.19  311.42  0
90920  431.51  347.47  392.72  410.65  415.95  392.00  397.20  389.33  300.47  262.55  0
90921  426.14  350.36  384.56  411.40  416.94  403.61  382.45  391.53  477.32  505.55  1
90922  425.99  344.95  380.02  424.57  418.31  409.29  392.05  395.08  388.20  308.18  1
90923  416.30  348.46  395.07  410.89  418.75  397.16  390.68  401.54  352.66  319.31  1
90924  419.51  347.82  386.13  421.11  419.74  378.31  419.82  418.50  318.63  321.10  0
90925  408.11  346.63  380.61  428.79  420.95  383.08  386.04  394.11  312.43  343.79  0
90926  404.53  344.91  389.41  425.18  406.25  411.22  380.92  391.21  -578.72  332.99  1
90930  435.40  353.34  386.15  411.83  413.52  404.02  377.15  408.53  314.02  304.65  0
90931  417.19  344.03  393.06  422.00  413.27  391.91  400.25  407.81  320.15  327.53  0
90932  413.91  344.76  369.40  425.89  418.68  354.55  386.66  402.72  325.31  301.13  1
90935  422.93  343.17  393.72  814.24  400.76  381.71  396.01  383.24  318.18  -131.75  1
90936  288.05  266.19  264.12  293.92  256.49  282.09  270.27  277.98  308.84  299.34  0
90937  181.17  282.38  -448.28  281.93  265.00  318.59  317.90  277.96  390.50  311.66  1
90938  283.14  280.71  310.99  293.97  262.26  303.87  279.76  284.61  291.11  274.58  0
90940  437.10  353.23  381.39  412.12  400.52  398.81  385.26  398.74  332.43  320.04  0
90941  410.89  346.45  370.25  406.27  426.32  414.85  381.14  388.98  332.00  303.48  0
90942  268.78  263.69  173.88  292.17  252.48  305.24  301.80  282.37  325.58  194.51  1
90943  405.72  356.06  382.37  408.48  418.61  389.78  405.78  393.64  608.64  304.40  1
90944  422.82  344.93  389.61  358.15  422.27  403.35  398.37  384.55  457.25  347.67  1
90945  426.42  349.86  383.21  433.85  420.47  406.07  393.61  970.99  267.82  535.82  1
90946  411.23  354.90  331.65  386.34  420.07  347.47  347.44  381.97  292.83  370.99  1
90947  424.22  351.62  384.54  424.50  412.38  401.33  399.18  390.42  302.44  317.65  0
90948  431.98  350.29  386.64  432.23  415.13  402.56  392.03  399.63  343.47  -80.78  1
90949  418.16  348.35  396.70  408.96  414.22  410.84  387.56  400.92  291.19  383.48  0
90950  420.48  346.06  385.86  413.06  412.45  400.48  391.55  412.82  394.60  304.06  1
90951  422.98  345.46  384.32  404.10  403.65  383.16  385.61  396.12  321.45  300.12  0
90952  419.51  351.26  394.33  422.21  414.77  400.87  396.79  469.56  299.51  292.51  1
90953  410.90  353.89  388.73  421.54  416.26  402.82  386.34  406.69  307.11  320.95  1
90955  415.18  349.22  396.72  421.91  410.69  407.75  386.26  393.75  -290.93  306.80  1
90956  420.85  350.86  392.37  412.06  418.08  401.29  383.33  396.30  353.20  317.79  1
90957  422.73  347.34  391.32  415.28  416.27  401.12  363.37  411.38  398.25  302.85  1
90958  420.14  351.87  385.25  423.34  421.90  400.05  394.17  398.36  341.33  305.74  0
90959  418.85  347.32  396.52  433.12  421.49  385.84  401.67  403.14  322.94  307.57  0
90960  471.05  350.26  374.44  407.15  412.56  379.65  381.83  387.20  526.29  308.31  1
90961  410.37  347.51  393.70  399.64  406.67  377.12  393.34  402.02  329.49  331.02  1
90962  416.61  344.72  401.48  421.16  404.43  376.13  378.10  394.10  437.87  366.78  1
90967  418.06  347.21  396.57  404.84  416.70  409.88  393.20  397.56  315.35  324.76  0
90968  421.38  350.99  383.26  421.06  411.91  406.49  396.27  408.48  329.90  316.72  0
90969  424.62  348.19  385.00  394.51  412.58  388.40  394.65  399.31  318.19  302.01  1
90970  414.88  348.08  397.50  422.10  416.47  393.75  386.77  394.58  166.87  315.35  1
90971  409.37  347.64  382.45  418.25  415.04  413.46  384.03  402.09  311.53  316.23  0
90972  420.30  345.51  393.38  407.14  414.06  389.92  392.55  371.80  322.75  309.21  0
90973  423.95  351.98  360.22  401.08  404.14  418.53  397.22  368.47  327.08  332.23  1
90974  434.28  348.12  399.14  419.84  415.45  389.09  398.16  405.34  358.32  301.25  0
90975  418.27  347.31  396.31  429.61  415.45  405.71  395.58  400.18  448.28  310.57  0
90976  414.65  346.65  396.13  400.40  417.50  398.62  381.62  414.79  391.21  296.80  0
90977  422.45  349.99  382.61  413.74  419.44  400.88  397.15  399.40  436.47  323.56  1
90979  412.49  338.03  340.29  337.53  349.08  325.72  313.25  351.10  323.70  310.80  1
90981  437.95  349.35  389.20  410.01  416.07  418.18  390.58  401.54  387.26  280.17  1
90982  445.58  341.14  389.12  430.66  417.97  373.38  389.30  398.14  303.45  291.09  0
90983  439.26  346.64  394.57  410.19  414.11  389.79  397.46  390.41  381.99  326.47  1
90984  435.52  348.38  387.85  422.45  414.44  403.74  399.02  394.57  320.00  314.80  0
90985  434.90  350.82  382.32  427.05  427.14  394.14  383.07  408.20  330.36  355.38  1
90988  432.75  346.70  397.73  429.10  413.62  385.70  380.06  406.35  350.49  342.18  1
90989  437.19  350.27  387.08  426.27  412.45  408.36  408.34  396.61  530.10  321.27  1
90990  435.87  349.76  392.50  417.19  415.29  396.53  402.31  399.00  337.23  325.44  0
90991  423.96  350.25  373.03  409.90  418.61  357.42  397.45  404.90  374.13  318.40  0
90992  431.93  347.45  401.54  428.13  418.31  402.66  399.02  394.84  355.42  358.63  1
90993  438.57  348.48  395.00  417.41  417.12  405.98  404.83  403.64  355.37  302.99  0
90995  412.84  335.92  371.95  387.77  375.43  376.69  373.27  401.04  374.87  314.41  0
90998  279.27  274.82  282.32  303.22  259.28  280.28  434.73  283.45  315.87  312.43  1
90999  429.90  349.87  397.67  427.58  418.53  404.71  391.75  417.19  485.52  310.04  0
91000  436.76  345.11  390.01  434.34  421.82  398.91  381.41  450.25  368.47  320.97  0
91001  425.14  346.55  396.71  430.91  424.89  408.21  407.71  414.08  1074.46  294.35  1
91002  428.85  350.12  398.94  410.49  423.02  392.05  392.26  391.99  360.78  306.08  0
91003  425.86  347.53  395.78  418.14  410.77  405.27  396.79  396.25  384.77  314.40  1
91004  440.96  346.33  391.02  426.82  419.61  416.48  390.13  413.86  335.41  350.40  1
91005  433.08  343.13  397.65  414.88  414.78  391.94  392.24  411.82  435.36  316.56  1
91006  434.23  345.13  387.10  393.17  414.79  382.99  386.48  404.67  356.36  359.26  1
91007  432.29  350.30  400.47  410.66  408.34  389.70  397.65  393.81  315.35  301.44  0
91008  433.70  346.56  393.44  387.54  405.99  393.85  394.39  396.09  378.48  343.97  1
91009  438.14  347.62  397.03  405.25  411.93  377.82  366.15  394.52  809.87  289.94  1
91010  426.76  347.63  393.82  419.25  410.21  392.54  383.57  392.45  376.56  96.35  1
91011  438.93  345.68  395.81  425.84  417.52  406.16  392.51  396.56  380.61  215.06  1
91012  432.65  348.34  400.16  416.77  420.75  388.97  393.45  404.33  297.78  343.43  1
91013  430.56  347.58  385.72  412.67  424.71  426.19  401.49  417.71  350.66  301.08  0
91014  437.97  342.62  381.13  420.25  421.41  399.86  380.11  400.21  404.71  357.32  0
91015  427.36  346.44  398.80  404.18  418.46  391.35  402.20  386.06  319.58  307.42  0
91017  429.40  346.72  393.85  428.36  423.88  413.56  397.24  391.24  382.78  267.66  1
91018  434.27  347.79  395.29  409.49  415.20  395.69  400.65  398.48  331.00  312.19  1
91019  422.63  341.12  390.03  412.25  408.96  399.64  396.17  390.94  329.47  334.93  0
91021  428.91  347.72  385.68  421.56  418.82  404.63  388.09  397.26  364.38  424.51  0
91025  432.27  349.08  391.50  420.78  407.02  404.22  404.32  390.51  419.71  346.85  1
91026  431.48  349.86  384.61  418.56  415.68  402.63  389.24  392.53  324.52  303.79  0
91027  426.07  349.04  396.18  424.77  413.48  387.93  379.33  374.10  370.08  305.03  1
91028  423.99  347.92  404.92  426.28  411.20  411.92  408.74  385.98  371.75  299.48  1
91029  431.89  348.62  406.08  423.65  415.95  405.71  394.90  408.16  335.37  322.12  0
91030  435.19  345.03  389.83  412.57  412.46  415.50  396.71  388.28  328.13  318.42  0
91031  422.46  342.28  398.15  412.16  416.49  418.54  392.45  395.02  328.48  368.17  1
91032  424.95  346.86  390.59  406.64  414.26  391.29  397.75  409.08  553.43  294.47  1
