nrun   s0l     s0r     flag
91011  854.61  898.32  0
91012  884.22  883.36  0
91013  864.84  894.48  0
91014  878.80  861.85  0
91015  903.21  886.37  0
91017  868.01  889.10  0
91018  875.66  892.91  0
91019  875.41  920.42  0
91021  884.91  892.83  0
91025  871.18  880.40  0
91026  870.12  886.22  0
91027  865.74  899.69  0
91028  873.95  906.51  0
91029  871.28  910.85  0
91030  853.88  881.41  0
91031  877.74  906.10  0
91032  912.97  903.84  0
91033  883.99  859.88  0
91034  889.50  899.83  0
91035  880.69  881.42  0
91036  872.58  880.73  0
91037  896.54  884.80  0
91038  880.68  866.65  0
91039  863.47  884.27  0
91042  877.47  865.83  0
91043  880.90  900.15  0
91056  875.58  875.21  0
91058  770.06  828.67  0
91059  870.04  877.00  0
91060  880.30  865.67  0
91061  852.40  884.97  0
91062  888.57  881.12  0
91063  900.86  871.01  0
91064  902.33  883.03  0
91065  876.80  875.77  0
91066  876.08  836.73  0
91067  878.74  894.13  0
91068  864.85  915.49  0
91069  895.35  856.88  0
91070  885.18  834.88  0
91071  871.76  849.36  0
91072  884.91  894.01  0
91073  881.19  882.60  0
91074  882.37  885.10  0
91075  898.73  881.32  0
91076  906.98  900.06  0
91077  851.72  869.20  0
91078  865.32  882.93  0
91079  878.48  874.67  0
91080  872.01  867.76  0
91081  872.14  868.90  0
91082  890.11  857.18  0
91083  875.20  613.29  1
91084  889.68  858.12  0
91085  869.68  864.82  0
91086  868.90  867.11  0
91087  871.96  849.30  0
91088  891.91  883.95  0
91089  889.88  882.62  0
91091  937.73  921.35  0
91093  909.03  907.34  0
91094  856.69  871.28  0
91095  900.80  872.17  0
91096  883.02  853.15  0
91097  868.04  867.88  0
91098  893.53  869.38  0
91099  889.90  867.07  0
91100  876.04  839.74  0
91102  923.03  889.25  0
91103  870.29  873.34  0
91104  855.99  883.25  0
91105  870.63  869.48  0
91106  864.92  881.13  0
91110  871.95  892.40  0
91111  871.15  906.73  0
91113  885.80  861.41  0
91114  891.70  886.07  0
91115  883.80  859.87  0
91116  886.04  843.45  0
91118  870.68  857.27  0
91120  884.65  881.13  0
91122  926.77  749.71  0
91124  913.14  904.60  0
91126  878.89  866.75  0
91127  893.45  861.27  0
91130  886.19  894.49  0
91131  897.09  852.25  0
