nrun  s0l   s0r
1207  1.62  3.12  
1208  3.17  2.56  
1209  2.33  1.84  
1210  2.47  2.03  
1211  2.27  1.97  
1212  2.78  1.87  
1213  2.88  1.68  
1214  2.64  2.01  
1215  2.59  2.09  
1216  2.52  2.28  
1217  2.44  1.64  
1218  2.97  3.13  
1219  2.52  2.11  
1220  2.60  1.97  
1221  2.62  1.66  
1222  2.56  2.33  
1223  2.58  1.78  
1224  2.33  1.93  
1225  2.62  1.96  
1231  2.37  1.74  
1233  1.85  1.36  
1235  2.00  1.99  
1236  2.26  1.55  
1237  2.31  1.76  
1238  2.46  1.66  
1239  2.07  1.99  
1240  2.01  2.02  
1241  2.58  2.37  
1242  2.23  1.84  
1243  2.47  1.78  
1244  4.39  3.21  
1245  2.32  2.26  
1246  2.36  1.78  
1247  2.17  2.06  
1248  2.41  1.56  
1249  2.12  1.66  
1250  2.86  1.48  
1251  1.83  2.64  
1257  1.13  1.71  
1258  2.18  1.32  
1260  2.20  1.69  
1261  2.01  1.87  
1262  2.02  2.16  
1263  2.18  1.82  
1264  2.27  1.76  
1265  2.38  1.43  
1266  2.02  1.91  
1267  2.29  2.05  
1268  2.60  2.12  
1271  1.76  1.94  
1272  2.30  1.72  
1273  2.84  1.52  
1274  2.80  2.18  
1276  2.27  2.23  
1277  1.75  1.91  
1279  1.91  2.00  
1281  1.80  1.93  
1282  2.16  1.89  
1283  1.85  1.53  
1284  2.19  1.70  
1285  2.02  2.05  
1286  1.95  1.66  
1287  2.31  1.55  
1288  2.24  1.74  
1289  2.10  1.87  
1290  2.20  1.73  
1291  1.96  2.44  
1292  2.26  1.98  
1293  2.35  1.22  
1294  2.24  1.81  
1295  2.03  1.49  
1296  2.14  1.35  
1297  2.18  1.52  
1298  2.14  1.63  
1299  1.92  1.52  
1300  2.08  1.99  
1301  1.62  1.74  
1309  1.74  1.86  
1312  2.04  0.51  
1313  1.51  1.33  
1318  2.05  2.40  
1322  2.02  0.96  
1323  1.99  1.79  
1325  1.83  2.11  
1326  1.99  1.95  
1327  1.92  1.62  
1328  2.27  1.93  
1329  2.07  2.19  
1331  2.22  1.86  
1333  2.02  2.01  
1334  1.86  2.08  
1335  1.45  1.78  
1336  2.05  2.01  
1337  1.76  1.50  
1338  2.03  1.80  
1339  0.30  1.36  
1342  1.31  1.26  
1343  1.87  2.56  
1344  0.93  1.87  
1346  1.30  1.50  
1347  1.33  1.50  
1348  1.64  1.38  
1350  1.37  1.27  
1351  1.70  1.54  
1352  1.17  1.67  
1353  1.40  1.17  
1354  1.73  1.68  
1355  1.65  1.30  
1356  1.51  1.48  
1357  1.53  1.27  
1358  1.81  1.58  
1359  1.64  1.56  
1360  1.21  1.21  
1362  1.86  1.22  
1363  1.44  1.98  
1364  1.61  1.52  
1366  1.51  0.99  
1367  1.48  1.73  
1368  1.25  1.34  
1369  1.52  1.38  
1370  1.37  1.18  
1371  1.54  1.12  
1372  1.57  1.81  
1373  1.58  1.50  
1374  1.45  1.05  
1375  1.54  1.96  
1376  1.53  1.32  
1377  1.35  0.97  
1378  1.32  1.48  
1379  1.48  1.71  
1380  1.35  0.97  
1381  1.29  1.31  
1382  1.61  1.28  
1383  1.48  1.34  
1384  1.97  1.25  
1386  1.19  1.63  
1387  1.13  1.67  
1388  1.58  1.46  
1389  1.81  0.95  
1390  1.22  1.09  
1392  1.53  1.08  
1394  1.08  1.05  
1397  1.25  0.84  
1398  1.63  1.48  
1399  1.41  1.11  
1402  1.55  1.48  
1403  1.21  1.14  
1404  1.65  1.09  
1405  1.43  1.19  
1406  1.29  1.56  
1407  1.26  1.41  
1408  1.52  1.31  
1409  1.04  1.40  
1410  1.29  1.07  
1411  1.53  1.08  
1412  1.32  1.16  
1413  1.65  1.24  
1414  1.81  1.38  
1415  0.84  0.54  
1416  1.30  1.21  
1420  1.48  1.54  
1422  1.14  1.50  
1423  1.65  2.13  
1425  1.61  1.30  
1426  1.39  1.79  
1427  1.57  1.31  
1428  1.34  1.03  
1429  1.15  1.82  
1430  1.41  1.27  
