90837  0.52  0.29  0.35  0.22  0.21  0.35  0.60  0.60  0.66  0.72  0.50  0.35  -0.01  0.33  0.41  0.29  
90838  0.38  0.43  0.35  0.34  0.36  0.37  0.46  0.62  0.54  0.62  0.51  0.42  0.19  0.34  0.30  0.23  
90839  0.55  0.73  0.48  0.38  0.13  0.83  0.64  0.53  0.56  0.57  0.48  0.38  -0.18  0.03  0.16  0.06  
90840  0.37  0.42  0.39  0.35  0.34  0.41  0.57  0.57  0.53  0.57  0.55  0.36  0.17  0.33  0.31  0.20  
90843  0.47  0.42  0.48  0.26  0.33  0.51  0.46  0.61  0.54  0.51  0.67  0.28  0.15  0.46  0.14  0.40  
90844  0.25  0.13  0.67  0.31  0.07  0.52  0.38  0.40  0.39  0.75  0.59  0.54  0.23  0.44  0.13  0.23  
90849  0.38  0.39  0.38  0.32  0.29  0.39  0.42  0.56  0.53  0.62  0.52  0.40  0.18  0.35  0.27  0.31  
90850  0.37  0.38  0.38  0.32  0.39  0.38  0.42  0.58  0.53  0.60  0.56  0.34  0.16  0.35  0.29  0.26  
90851  0.35  0.48  0.40  0.32  0.28  0.42  0.27  0.59  0.57  0.54  0.40  0.30  0.17  0.33  0.30  0.29  
90852  0.44  0.44  0.39  0.31  0.31  0.36  0.40  0.59  0.57  0.62  0.56  0.34  0.13  0.36  0.31  0.29  
90853  0.41  0.43  0.40  0.34  0.35  0.41  0.41  0.54  0.53  0.58  0.56  0.34  0.19  0.35  0.29  0.24  
90854  0.41  0.43  0.41  0.29  0.31  0.40  0.44  0.53  0.53  0.53  0.58  0.35  0.15  0.32  0.30  0.29  
90855  0.36  0.42  0.39  0.29  0.34  0.43  0.41  0.56  0.52  0.57  0.52  0.34  0.17  0.35  0.29  0.23  
90856  0.37  0.41  0.39  0.31  0.31  0.41  0.42  0.57  0.51  0.59  0.56  0.33  0.17  0.38  0.28  0.26  
90857  0.39  0.48  0.39  0.30  0.37  0.40  0.34  0.57  0.50  0.62  0.56  0.33  0.17  0.29  0.28  0.31  
90859  0.43  0.39  0.44  0.28  0.31  0.41  0.45  0.52  0.55  0.58  0.53  0.34  0.17  0.42  0.30  0.24  
90861  0.35  0.46  0.45  0.36  0.39  0.39  0.50  0.55  0.46  0.78  0.56  0.37  0.23  0.36  0.35  0.17  
