nrun   s0l    s0r
91208  0.53  1.29  
91209  0.44  1.09  
91210  0.79  1.06  
91211  0.65  0.96  
91212  0.72  0.75  
91213  0.83  0.95  
91218  -0.00  0.82  
91219  0.53  1.04  
91220  0.19  0.65  
91221  0.64  0.43  
91222  0.46  0.69  
91223  0.69  0.31  
91224  0.36  0.55  
91225  0.73  0.36  
91226  -0.18  0.44  
91227  0.37  0.96  
91228  0.61  0.50  
91229  0.94  0.68  
91230  0.79  0.73  
91231  0.13  0.43  
91232  0.19  0.76  
91233  0.68  0.53  
91234  0.61  0.65  
91235  0.78  0.63  
91236  0.40  0.78  
91237  0.95  0.99  
91238  0.47  0.49  
91239  0.37  0.86  
91240  0.66  0.64  
91241  0.16  0.76  
91242  0.26  1.00  
91244  0.76  0.70  
91245  0.86  0.92  
91246  0.02  0.75  
91247  0.55  0.70  
91248  1.11  0.37  
91249  0.40  0.44  
91250  0.65  1.00  
91251  0.47  0.55  
91252  0.77  0.62  
91253  0.27  0.72  
91254  0.55  0.60  
91255  0.31  0.71  
91256  0.34  0.65  
91258  0.26  0.78  
91260  0.36  1.12  
91261  0.56  0.71  
91263  0.72  0.62  
91264  0.60  0.90  
91265  0.63  0.57  
91266  0.21  0.78  
91267  0.23  0.61  
91268  1.03  0.55  
91269  0.13  1.10  
91270  0.15  1.19  
91271  0.74  0.26  
91275  1.16  0.92  
91277  1.03  0.91  
91278  0.84  0.73  
91279  0.34  1.06  
91280  0.38  0.81  
91283  0.58  1.05  
91284  0.66  0.98  
91285  0.39  0.94  
91286  0.63  0.77  
91287  0.51  1.18  
91288  0.61  0.94  
91289  0.60  0.88  
91290  0.37  0.83  
91291  0.71  1.02  
91292  0.66  0.51  
91293  0.42  0.89  
91294  0.59  0.62  
91295  0.60  0.96  
91296  0.42  0.57  
91297  0.57  0.46  
91298  0.08  0.34  
91299  0.29  0.82  
91300  0.41  0.56  
91302  0.76  0.71  
91303  0.24  0.62  
91304  0.07  0.78  
91305  0.10  0.52  
91306  0.19  0.40  
91307  0.67  0.94  
91308  0.53  0.41  
91309  0.37  0.85  
91310  0.37  0.76  
91311  -0.50  0.66  
91313  0.53  0.81  
91314  0.71  0.99  
91315  -0.07  0.77  
91316  -0.23  0.87  
91317  -0.00  0.75  
91318  0.56  0.68  
91319  0.43  0.76  
91320  0.48  0.50  
91321  -0.07  0.91  
91322  0.49  0.73  
91323  0.39  0.60  
91324  0.48  0.72  
91325  -0.56  0.65  
91326  0.35  0.81  
91327  0.30  0.65  
91328  0.06  0.78  
91330  0.46  0.68  
91331  -0.15  0.66  
91332  -0.02  0.74  
91333  0.49  0.55  
91334  0.31  0.70  
91335  0.25  0.72  
91338  -0.05  1.28  
91341  0.35  1.00  
91342  0.18  0.99  
91343  0.27  0.78  
91344  0.33  0.82  
91345  0.63  0.85  
91346  0.23  0.63  
91347  0.33  1.27  
91348  0.68  0.61  
91355  0.06  0.69  
91356  0.24  0.73  
91357  0.46  0.79  
91358  0.34  0.78  
91359  0.57  0.05  
91360  0.09  0.46  
91361  0.09  0.75  
91362  0.19  0.27  
91363  0.47  0.79  
91364  0.10  0.73  
91365  0.84  0.60  
91366  0.12  0.68  
91367  0.22  0.87  
91368  0.05  0.66  
91369  -0.31  0.68  
91370  0.27  0.78  
91371  -0.12  0.60  
91372  0.52  0.42  
91373  0.92  0.26  
91374  0.99  0.90  
91375  0.77  0.43  
91376  0.72  0.58  
91377  -0.10  0.40  
91379  0.12  0.87  
91380  0.16  0.69  
91381  0.67  0.66  
91382  0.30  0.37  
91383  0.14  0.93  
91384  0.21  0.30  
91385  0.87  0.67  
91386  0.61  0.79  
91387  0.29  0.94  
91388  0.44  0.51  
91389  0.56  0.65  
91390  0.70  0.45  
91391  -0.04  0.88  
91392  0.60  0.59  
91393  -0.03  0.69  
91394  0.21  0.74  
91395  0.13  0.55  
91396  0.30  0.44  
91397  0.39  0.59  
91399  0.19  0.80  
91400  0.29  0.79  
91401  -0.10  0.53  
91402  -0.06  0.86  
91403  -0.21  0.35  
91404  0.10  0.30  
91405  0.30  0.61  
91406  0.55  0.43  
91408  1.02  0.72  
91409  0.50  0.80  
91410  -0.15  0.93  
91411  0.03  0.85  
91412  0.40  0.59  
91413  0.60  0.57  
91414  0.71  -0.03  
91415  0.48  0.59  
91416  0.24  0.86  
91417  0.26  0.81  
91418  0.77  0.67  
91419  0.85  0.79  
91420  0.67  0.48  
91421  0.61  0.55  
91422  0.01  0.35  
91423  -0.48  0.67  
91424  0.79  0.85  
91425  0.75  0.76  
91426  0.17  0.70  
91427  0.46  0.36  
91428  0.26  0.83  
91429  0.29  0.69  
91430  0.72  1.02  
91431  0.59  0.66  
91432  0.63  0.60  
91433  0.78  0.40  
91434  0.03  0.67  
91435  0.30  0.41  
91436  0.16  0.66  
91437  0.19  0.68  
91438  0.56  0.60  
91439  0.72  0.77  
91440  0.66  0.40  
91441  -0.18  0.68  
91442  0.25  0.52  
91443  0.22  0.75  
91444  0.60  0.94  
91445  0.18  0.43  
91446  0.68  0.24  
91447  0.36  0.94  
91448  0.44  0.55  
91449  0.23  0.85  
91450  0.56  0.87  
91451  -0.05  0.58  
91452  0.80  0.62  
91453  1.10  0.94  
91454  0.86  0.46  
91455  0.36  0.70  
91456  0.83  0.88  
91457  0.37  0.91  
91458  0.18  0.76  
91459  0.13  0.63  
91460  0.32  0.63  
91461  0.31  0.30  
91462  -0.07  1.10  
91463  -0.13  1.00  
91467  0.42  0.87  
91468  -0.21  0.90  
91469  -0.03  0.83  
91470  0.75  0.31  
91471  0.30  0.19  
91472  0.44  1.06  
91473  0.29  0.79  
91474  0.55  0.61  
91475  0.31  0.75  
91476  0.22  0.90  
91477  0.19  0.73  
91478  0.45  0.81  
91479  -0.02  1.24  
91480  -0.09  0.73  
91481  0.27  0.72  
91482  0.02  0.66  
91483  -0.48  0.44  
91484  0.31  0.81  
91485  -0.01  0.86  
91486  -0.37  1.32  
91487  0.39  1.00  
91488  0.34  0.48  
91489  -0.03  0.60  
91490  0.44  0.69  
91491  0.42  0.83  
91492  0.57  0.72  
91493  0.47  0.64  
91494  0.44  0.84  
91495  0.50  0.79  
91496  -0.25  0.56  
91497  0.41  0.66  
91498  0.10  0.82  
91499  0.33  0.84  
91500  0.79  0.95  
91501  -0.13  1.35  
91502  0.65  0.72  
91503  0.65  0.88  
91504  -0.04  0.74  
91505  0.09  0.63  
91507  0.43  0.83  
91508  0.60  0.46  
91509  -0.02  0.44  
91510  0.06  0.75  
91511  -0.08  0.93  
91512  -0.03  0.86  
91513  0.62  0.73  
91514  0.39  0.59  
91515  0.45  0.74  
91516  0.51  0.80  
91517  0.42  0.52  
91518  0.68  0.73  
91519  0.66  0.54  
91520  0.09  0.78  
91521  0.18  0.73  
91522  0.32  0.93  
91523  0.60  0.86  
91524  0.37  0.73  
91525  -0.04  0.90  
