nrun  cer1    cer2    cer3    cer4    cer5    cer6    cer7    cer8    cer9    cer10   flag
1294  314.57  310.73  314.91  311.61  302.81  301.71  308.52  314.10  308.45  320.63  0
1295  317.08  322.19  313.62  314.13  306.74  303.97  318.09  311.90  312.97  317.24  0
1296  322.05  317.25  310.24  310.51  304.51  306.56  309.14  309.99  306.25  303.23  0
1297  319.29  308.31  309.17  307.86  304.21  306.54  308.34  318.26  310.15  319.27  0
1298  314.73  318.33  317.88  309.62  310.09  305.43  309.60  319.12  309.43  314.24  0
1299  315.38  315.05  310.56  314.45  306.63  303.24  314.25  318.47  310.90  306.20  0
1300  321.25  316.14  306.63  311.81  308.38  303.99  304.49  310.90  315.77  314.17  0
1301  322.99  324.45  310.93  304.90  301.82  300.53  310.38  317.81  307.21  305.66  0
1309  302.27  322.80  327.73  364.16  325.55  298.45  340.95  350.56  333.06  359.24  0
1312  340.94  300.63  335.89  309.93  316.18  310.99  323.50  356.87  253.28  377.88  0
1313  317.70  311.87  311.85  309.45  307.86  307.34  303.86  308.60  305.69  310.97  0
1318  322.03  333.34  330.78  331.84  318.79  323.92  350.29  339.13  299.54  345.62  1
1322  309.84  318.94  298.49  315.11  303.57  305.72  311.05  316.30  306.39  319.88  0
1323  311.94  305.74  304.95  310.15  299.44  305.37  299.92  295.66  300.74  307.23  0
1325  359.62  324.25  325.48  330.25  336.16  321.11  341.84  321.60  323.93  303.66  0
1326  327.46  319.08  303.16  301.65  310.69  307.59  305.52  315.08  318.12  308.62  0
1327  311.00  317.52  307.05  301.65  305.01  303.07  308.46  311.08  303.68  315.00  0
1328  312.71  303.67  301.85  300.35  302.82  302.03  300.50  308.09  312.26  304.59  0
1329  319.27  308.03  306.86  310.29  303.85  302.38  303.35  310.36  312.98  296.65  0
1331  319.62  312.83  312.99  313.97  306.56  298.35  313.34  306.68  300.60  308.42  0
1333  310.39  315.69  308.62  309.39  307.70  302.83  306.18  312.84  319.15  319.68  0
1334  321.37  315.52  300.31  308.25  306.01  302.77  306.74  307.62  310.50  314.70  0
1335  320.57  313.30  305.48  305.61  302.89  303.95  303.51  306.68  310.31  302.44  0
1336  316.23  312.40  301.95  301.09  310.58  311.03  310.62  313.17  306.48  303.80  0
1337  317.79  312.63  309.60  312.36  308.20  303.92  306.39  307.01  309.95  319.09  0
1338  319.59  316.53  308.73  306.87  304.86  307.07  303.57  317.43  308.44  310.40  0
1339  328.25  308.31  296.50  306.16  303.07  303.87  304.79  308.40  300.03  280.00  0
1342  313.93  309.58  308.81  322.80  309.44  302.32  318.24  320.08  319.80  311.98  0
1343  330.42  325.59  297.82  315.03  313.94  301.83  320.78  311.22  303.07  311.60  0
1344  351.20  340.39  321.96  329.87  318.17  324.45  344.98  322.38  335.55  346.67  0
1345  260.43  255.61  256.76  249.39  283.97  253.08  272.30  267.47  276.13  299.68  0
1346  337.55  329.81  327.47  338.42  314.33  306.86  331.17  314.94  325.03  341.75  0
1347  332.02  324.18  326.87  331.92  315.31  310.57  326.41  328.03  321.34  330.13  0
1348  326.58  332.20  322.52  329.29  316.99  310.62  329.07  323.08  314.15  328.42  0
1350  324.04  323.75  319.35  331.82  311.82  309.79  321.22  325.03  325.28  321.38  0
1351  322.28  328.38  321.40  334.60  316.59  309.05  321.99  326.26  318.12  340.86  0
1352  329.76  323.37  326.02  321.09  313.51  308.08  329.47  330.56  321.03  347.29  0
1353  324.88  326.25  319.12  328.03  317.12  315.61  329.68  324.47  321.61  346.48  0
1354  325.31  329.08  324.81  327.51  316.37  311.53  327.70  324.64  324.26  318.14  0
1355  332.96  313.69  324.03  331.20  313.74  308.70  321.17  329.62  314.72  335.24  0
1356  329.97  325.38  324.19  331.75  321.39  312.68  327.07  330.04  328.16  343.13  0
1357  333.74  326.12  323.16  327.59  317.95  311.35  332.54  323.83  316.65  334.49  0
1358  329.35  327.93  322.77  326.78  312.85  312.91  319.32  321.99  319.40  326.73  0
1359  326.34  321.14  324.52  324.19  315.43  313.13  325.77  325.93  315.90  334.07  0
1360  327.70  328.05  324.69  335.30  316.16  321.17  335.44  336.24  325.14  362.57  0
1362  329.04  321.90  321.37  341.88  317.26  312.74  328.78  339.04  342.42  340.66  0
1363  328.15  321.15  320.27  298.19  313.55  316.68  321.85  322.85  300.08  327.87  0
1364  332.36  347.11  341.40  346.30  309.88  328.22  356.98  342.25  322.92  338.44  1
1365  257.03  262.10  263.69  270.49  275.69  262.61  270.57  277.63  275.06  286.78  0
1366  337.12  334.24  326.17  343.10  329.77  317.11  351.64  337.49  344.10  410.05  0
1367  336.15  331.30  326.71  347.57  326.23  319.77  346.72  339.86  342.01  366.68  0
1368  332.26  329.66  333.54  348.59  324.07  316.19  350.67  332.88  342.44  366.38  0
1369  327.35  329.99  329.18  336.38  319.75  316.75  344.03  336.01  332.39  358.64  0
1370  328.71  325.15  337.61  334.13  323.77  319.50  338.84  337.60  343.78  354.67  0
1371  329.72  335.07  329.20  338.52  322.41  316.47  345.50  333.18  342.91  364.20  0
1372  333.21  325.55  325.72  338.35  319.34  312.79  341.13  337.37  320.38  349.97  0
1373  335.32  326.58  332.24  341.72  325.65  316.08  358.62  331.25  338.52  373.52  0
1374  333.64  335.15  334.33  347.12  325.40  323.87  353.43  342.70  338.42  351.77  0
1375  333.18  330.90  336.16  333.64  320.19  316.87  355.25  342.10  346.08  377.86  0
1376  331.47  329.48  334.51  345.29  320.99  313.93  344.14  340.49  336.68  348.88  0
1377  336.60  329.33  324.05  341.71  320.12  318.68  350.55  341.19  329.43  358.32  0
1378  331.77  334.29  329.78  338.15  317.70  318.41  349.58  339.43  324.98  362.75  0
1379  337.91  326.84  327.41  347.02  319.55  315.45  340.90  340.78  339.28  347.92  0
1380  329.18  327.20  337.08  346.81  324.00  326.33  366.74  321.54  331.72  361.72  0
1381  333.60  334.92  334.83  342.04  315.57  317.62  337.69  341.41  326.67  357.28  0
1382  342.00  327.90  327.30  331.60  320.38  319.34  341.86  342.94  323.67  350.46  0
1383  334.87  328.85  332.36  336.99  317.86  317.65  351.96  342.23  336.88  353.91  0
1384  331.69  340.65  330.95  341.04  314.44  313.44  353.34  346.41  294.56  356.91  0
1386  332.92  333.81  331.85  336.41  328.88  317.09  344.47  344.89  347.03  337.98  0
1387  328.91  330.93  332.23  341.13  320.03  318.61  347.85  337.52  343.24  349.75  0
1388  339.25  336.44  343.05  329.31  338.15  328.49  369.98  361.12  319.50  454.59  1
1389  331.99  327.32  335.28  343.10  322.20  314.45  346.40  338.08  328.80  364.91  0
1390  334.21  323.70  326.34  345.90  318.32  317.29  348.59  326.54  336.35  356.81  0
1392  334.96  332.92  329.43  348.03  317.84  317.76  359.34  340.79  356.55  361.62  0
1394  321.68  330.17  324.81  340.76  322.70  320.47  351.30  334.78  347.22  378.29  0
1396  267.79  261.84  280.28  213.33  276.39  261.84  241.19  291.65  291.71  273.59  1
1397  334.99  330.06  337.11  344.75  326.22  323.17  362.12  345.21  348.40  463.25  1
1398  333.69  324.45  336.73  345.96  326.97  318.56  374.38  349.36  353.01  376.24  0
1399  335.68  327.98  340.24  338.20  330.79  317.79  373.96  345.53  369.78  369.53  0
1402  333.03  332.52  338.60  337.54  324.52  319.43  358.74  350.97  357.36  378.05  0
1403  330.34  330.53  329.80  343.83  327.68  322.41  368.63  343.88  345.63  363.72  0
1404  334.26  335.51  331.89  338.79  327.63  315.89  361.81  341.49  347.20  395.06  0
1405  338.25  328.98  336.45  342.22  326.19  312.69  357.67  344.91  330.99  372.14  0
1406  335.89  320.68  328.78  340.57  323.53  317.83  352.30  340.94  350.70  2636.82  1
1407  332.20  331.79  338.22  350.33  323.68  313.38  372.76  350.96  370.19  497.26  1
1408  338.33  330.90  327.34  340.43  327.95  317.39  358.93  347.75  357.73  452.64  1
1409  332.58  329.96  338.70  335.51  323.48  315.55  372.34  343.38  352.00  387.37  0
1410  334.89  337.73  334.29  346.21  323.61  327.42  370.00  344.13  374.70  387.77  0
