nrun  S2L1    S2L2    S2L3    S2L4    S2L5    S2L6    S2L7    S2L8    S2L9    S2L10   S2L11   S2L12   S2L13   S2L14   S2L15   S2L16   flag
1207  296.71  293.40  290.25  289.50  291.88  291.93  292.52  294.71  287.06  294.67  291.48  291.73  290.79  289.85  296.53  294.97  0
1208  297.17  291.71  290.30  290.29  291.65  291.83  293.27  294.67  285.38  293.25  290.80  291.80  291.71  290.35  293.56  298.21  0
1209  292.75  290.11  287.77  288.82  290.87  291.08  291.29  292.20  281.44  292.37  289.08  290.32  289.40  288.14  292.02  296.56  0
1210  293.92  291.50  289.81  290.94  293.03  291.63  293.26  293.67  283.74  293.25  290.68  290.97  290.22  289.65  293.16  297.02  0
1211  294.74  291.01  289.68  290.76  292.86  292.23  293.45  293.95  285.01  293.94  290.86  290.85  290.52  289.12  293.81  299.94  0
1212  294.75  291.01  289.65  290.69  293.47  291.43  292.78  294.15  283.38  293.54  291.36  290.80  290.12  288.94  293.79  296.03  0
1213  295.95  293.46  292.29  293.15  295.97  294.20  295.71  296.03  287.17  294.49  292.65  291.82  290.64  289.55  293.43  297.99  0
1214  296.39  292.03  290.92  291.74  294.33  292.73  294.60  295.71  287.35  294.37  292.35  291.92  290.94  289.87  294.02  298.65  0
1215  290.43  286.96  284.56  285.14  287.18  286.57  288.28  289.29  278.20  291.26  288.57  289.72  289.12  288.40  292.22  297.06  0
1216  290.36  287.36  284.46  285.02  286.78  286.75  287.90  288.99  278.06  290.74  287.76  289.39  289.04  288.01  292.75  295.21  0
1217  293.08  289.41  286.87  287.62  290.67  289.19  290.62  291.07  279.68  291.87  289.15  290.28  289.13  288.36  291.69  296.72  0
1218  282.93  287.59  287.36  287.10  288.60  288.28  292.00  290.61  280.72  292.49  287.30  288.32  285.85  286.11  290.78  292.71  0
1219  295.22  291.21  289.30  290.60  292.88  291.71  292.77  293.65  283.68  294.22  291.52  290.65  290.56  288.93  292.58  299.73  0
1220  294.96  291.13  289.27  290.76  292.99  291.90  292.92  293.52  283.84  293.85  290.48  291.10  290.43  288.72  292.61  296.50  0
1221  293.44  291.27  289.04  290.13  292.43  291.65  292.02  293.00  284.05  293.29  290.58  290.71  290.36  289.31  292.86  297.33  0
1222  295.64  293.33  292.90  293.79  295.94  294.29  295.57  295.90  287.85  294.93  292.06  291.95  290.67  289.40  293.88  297.85  0
1223  295.76  292.17  291.11  291.90  294.14  292.76  294.26  295.17  287.32  294.86  292.11  291.81  290.72  289.58  293.87  296.88  0
1224  291.50  287.72  284.70  285.14  286.53  286.59  288.01  289.26  277.64  291.12  288.11  289.04  288.77  288.06  292.21  297.75  0
1225  291.42  287.20  284.76  285.12  286.66  287.41  287.89  288.93  276.86  291.20  288.71  289.15  288.49  288.12  292.48  297.90  0
1231  296.60  292.42  290.53  290.95  293.20  291.99  293.41  294.12  287.13  294.86  291.82  292.06  291.19  290.31  294.11  297.69  0
1233  296.30  293.09  291.57  289.82  291.94  291.66  291.73  294.22  287.18  295.29  290.97  292.02  291.13  292.20  296.28  302.02  0
1235  295.37  291.50  289.99  290.62  293.15  291.81  291.66  292.46  281.44  292.67  289.55  290.61  289.44  287.48  292.18  298.18  0
1236  296.63  292.16  291.82  292.30  294.70  293.18  293.77  294.07  284.13  294.45  290.84  291.16  289.99  288.40  292.77  296.37  0
1237  296.06  293.49  291.65  292.21  293.93  292.98  293.35  294.43  283.99  294.94  291.41  290.59  290.22  289.30  292.31  297.68  0
1238  296.66  293.28  291.19  292.70  294.55  293.15  293.72  293.34  283.81  294.42  291.04  291.37  289.73  288.92  293.54  298.12  0
1239  295.92  292.74  291.56  291.74  295.28  293.27  293.15  293.61  283.54  294.92  289.98  290.99  289.71  289.09  293.44  296.94  0
1240  298.71  294.88  294.27  295.93  299.04  296.11  296.46  296.37  288.34  295.67  292.09  291.98  291.31  289.46  293.66  296.12  0
1241  297.28  295.51  294.31  295.74  298.84  295.76  296.21  297.77  288.69  296.38  292.62  292.28  290.71  289.32  293.20  297.82  0
1242  296.13  292.78  292.17  292.65  295.71  294.17  295.13  295.61  287.23  295.73  291.71  292.35  291.23  289.69  293.84  294.55  0
1243  298.58  293.29  292.34  293.15  295.71  293.63  294.90  295.73  286.93  295.76  292.13  291.89  290.53  289.47  294.11  298.16  0
1244  293.46  286.77  285.74  283.74  286.35  287.09  287.75  288.84  279.43  291.11  286.00  289.53  287.23  286.43  292.08  285.61  0
1245  291.56  287.92  285.54  287.04  287.80  287.81  288.48  289.43  277.16  290.60  288.08  289.56  288.85  287.97  291.58  296.01  0
1246  292.58  288.07  285.78  286.69  288.01  287.87  288.33  289.11  277.60  291.58  287.51  288.94  288.54  287.37  291.99  292.67  0
1247  292.50  289.05  285.90  286.17  287.53  287.53  288.48  288.70  277.14  291.87  287.89  290.00  289.00  287.61  291.36  298.85  0
1248  291.23  287.60  285.50  286.23  288.27  287.36  288.26  288.78  277.30  291.80  287.74  289.38  288.48  287.90  291.93  296.78  0
1249  295.01  292.03  289.40  290.77  292.64  290.76  290.59  291.51  279.61  293.00  289.20  290.40  289.03  287.89  291.98  295.33  0
1250  294.03  293.38  291.31  292.22  294.48  293.72  293.03  294.03  283.96  294.55  290.31  290.62  290.10  287.82  291.84  297.77  0
1251  296.31  293.46  291.84  293.47  295.59  292.14  293.53  293.73  282.96  294.37  289.84  291.19  289.58  289.58  292.22  296.22  0
1257  313.83  302.14  296.67  295.68  294.06  294.60  294.74  293.25  285.42  291.95  292.27  291.88  293.92  290.60  295.35  311.06  0
1258  294.57  293.67  292.62  292.71  293.75  292.60  293.11  294.65  284.76  293.63  290.96  289.96  289.92  288.01  293.47  295.01  0
1260  296.57  293.23  291.98  292.16  294.28  293.68  293.82  293.71  283.77  293.90  290.97  291.40  290.00  288.18  292.61  300.03  0
1261  295.27  292.59  291.73  292.74  294.20  292.76  293.96  293.89  284.88  294.71  291.23  291.53  289.46  289.20  293.12  295.68  0
1262  295.99  292.82  291.02  293.26  294.99  292.73  293.71  293.31  284.25  295.19  290.66  291.10  289.73  289.62  292.47  299.92  0
1263  298.16  295.59  294.59  295.52  298.36  296.17  296.51  296.64  288.85  296.16  292.38  291.91  290.51  289.60  294.05  297.58  0
1264  298.71  295.34  294.47  296.07  298.78  296.77  297.24  296.93  289.05  296.66  293.29  292.25  291.44  289.28  292.77  296.12  0
1265  296.04  293.51  291.88  293.20  295.58  294.34  294.95  295.32  287.16  295.30  291.00  291.83  290.53  289.34  293.66  295.16  0
1266  297.11  293.71  292.95  293.47  295.78  294.33  294.70  295.77  286.74  295.88  291.72  291.92  290.46  289.27  293.90  298.35  0
1267  292.56  288.19  286.03  286.97  287.73  288.06  287.99  288.81  277.26  291.28  288.30  289.43  288.54  287.71  291.86  292.97  0
1268  290.81  288.52  286.58  286.59  288.38  288.51  288.63  289.19  276.88  291.36  287.71  289.62  288.77  288.13  291.95  294.54  0
1271  296.06  288.02  287.72  287.00  287.55  287.94  288.52  290.39  277.94  291.97  288.66  289.89  288.82  288.20  293.75  298.83  0
1272  291.27  288.51  285.62  286.49  287.88  287.85  287.84  288.86  277.55  292.00  287.97  289.26  289.28  287.87  293.22  296.29  0
1273  290.62  289.28  285.87  286.65  287.80  288.02  287.96  288.44  277.14  292.07  288.99  289.48  288.55  287.87  292.14  297.18  0
1274  297.36  292.69  291.95  293.73  295.93  293.83  293.62  293.20  283.70  294.01  290.66  290.38  288.76  287.96  292.39  297.12  0
1276  296.00  295.21  294.50  295.90  297.00  294.66  293.44  293.11  283.06  294.92  289.26  291.10  289.04  287.62  292.25  298.46  0
1277  296.20  293.09  291.65  291.72  294.04  293.68  294.36  294.01  288.56  296.46  292.56  291.83  289.68  289.27  295.47  300.15  0
1279  299.09  294.00  291.42  290.75  291.78  292.06  293.51  295.39  289.26  296.20  291.44  291.46  289.84  292.01  294.95  296.11  0
1281  295.70  294.01  293.08  293.16  295.13  293.41  292.27  291.99  280.67  294.09  289.53  291.08  289.40  287.94  292.41  299.73  0
1282  300.88  296.17  293.89  294.42  296.12  293.45  293.81  293.02  284.55  295.21  290.96  292.35  290.44  289.78  293.47  294.73  0
1283  303.05  295.28  293.66  294.79  296.15  294.03  293.96  294.32  284.85  295.41  289.91  291.31  290.27  289.03  293.11  297.72  0
1284  298.63  295.29  293.09  294.19  296.47  294.11  293.76  294.47  284.57  295.20  290.21  291.70  289.62  288.64  293.03  299.09  0
1285  300.65  294.36  293.39  293.88  296.14  294.85  294.66  294.25  284.92  294.99  291.22  291.92  290.33  289.29  292.51  294.76  0
1286  302.29  297.20  296.91  297.80  299.79  296.34  296.27  296.64  288.85  297.40  292.52  292.77  290.04  289.84  292.70  299.88  0
1287  300.66  295.84  296.84  297.89  299.91  296.87  296.97  297.19  289.71  297.71  292.24  293.50  290.55  289.64  294.26  295.33  0
1288  299.51  294.72  293.86  294.53  297.06  295.61  295.50  295.92  288.03  296.07  292.21  292.85  290.35  289.66  293.57  299.26  0
1289  299.85  294.81  294.27  294.77  296.51  294.89  295.62  295.87  288.43  296.61  291.56  292.86  290.18  289.78  293.69  299.44  0
1290  294.67  290.12  287.54  287.63  288.94  288.45  288.12  288.47  276.65  291.71  287.19  290.59  288.67  287.90  291.89  296.75  0
1291  295.81  290.53  287.89  287.87  289.24  288.99  288.59  289.22  276.79  291.94  287.20  290.23  288.10  287.94  292.51  294.92  0
1292  295.31  290.09  287.86  287.98  289.47  288.47  288.56  287.88  276.38  291.90  287.70  289.91  288.38  287.73  292.62  295.81  0
1293  294.65  289.12  287.61  288.30  288.77  288.27  288.34  288.22  278.20  292.78  287.37  289.14  287.90  287.70  292.36  294.42  0
1294  297.92  290.08  287.88  288.80  289.01  288.47  288.80  289.16  276.62  292.58  287.92  290.54  288.78  287.89  292.31  298.19  0
1295  300.19  295.64  291.96  292.47  294.01  292.30  291.74  291.82  279.97  293.61  287.92  290.67  288.75  287.80  291.49  301.83  0
1296  298.01  295.17  293.56  294.18  295.74  293.85  294.17  293.80  283.28  295.66  291.05  291.83  289.70  289.49  293.07  298.82  0
1297  299.68  294.57  293.63  294.88  296.27  293.58  293.91  293.80  285.03  294.10  291.33  291.67  289.60  289.17  293.59  298.61  0
1298  299.47  294.21  293.85  294.88  295.93  293.79  293.79  293.70  283.97  295.33  291.69  291.68  290.17  288.65  293.01  296.28  0
1299  301.52  295.86  295.01  294.56  295.99  294.20  294.26  293.84  285.40  294.48  290.64  292.22  289.76  289.76  292.61  297.68  0
1300  299.92  295.69  296.60  299.44  300.90  297.33  296.86  296.71  290.18  296.74  292.28  293.64  290.57  289.31  293.29  301.81  0
1301  303.78  297.75  297.45  298.33  301.51  297.13  297.72  296.81  289.14  297.80  293.44  292.82  290.69  290.68  294.44  298.74  0
1309  350.52  345.88  327.01  329.26  314.37  317.22  297.27  316.17  273.08  316.94  301.97  316.04  313.52  309.28  322.09  325.52  0
1312  326.76  310.07  295.17  301.04  292.84  295.45  295.01  293.83  286.97  301.37  291.80  299.58  294.29  294.56  298.66  297.08  0
1313  303.81  295.75  293.68  294.86  297.48  295.62  294.57  295.06  286.67  299.61  290.38  294.90  289.91  287.80  291.71  297.30  0
1318  347.65  338.35  322.48  322.52  321.59  315.84  302.91  314.41  276.78  331.60  312.68  323.17  324.23  326.06  325.03  321.05  0
1322  300.70  293.40  294.76  294.86  296.93  295.72  295.72  295.22  286.68  296.69  293.57  292.15  291.57  289.94  295.62  299.90  0
1323  305.71  294.67  293.81  293.80  296.34  294.56  296.03  295.69  288.47  295.67  291.63  290.65  290.52  289.16  291.09  292.32  0
1325  301.53  294.46  294.42  301.19  295.94  294.80  293.28  293.86  283.88  299.21  295.75  296.89  289.41  291.60  295.64  325.21  0
1326  309.61  296.39  295.62  295.78  297.71  295.51  295.78  295.97  287.86  296.32  291.71  293.21  291.82  290.95  294.29  303.32  0
1327  301.73  295.73  294.53  295.14  297.23  295.82  295.53  296.12  288.08  295.88  292.15  293.51  291.48  290.33  294.12  299.97  0
