run No.    Charge     decay_time     fHi      Q*fHi
90884  61039.7  95  0.0211498  1290.98
90885  53914.9  95  0.0211498  1140.29
90886  71590.9  95  0.0211498  1514.13
90902  37540.5  95  0.0211498  793.973
90903  40887.3  95  0.0211498  864.757
90904  41138.1  95  0.0211498  870.063
90907  42138.9  95  0.0211498  891.229
90908  48393.7  95  0.0211498  1023.52
90909  43462.4  95  0.0211498  919.221
90910  75259.1  95  0.0211498  1591.71
90922  41784.2  96  0.0213673  892.816
90923  42914.1  96  0.0213673  916.957
90924  43018.7  96  0.0213673  919.192
90925  42532.8  96  0.0213673  908.811
90926  44420.9  96  0.0213673  949.154
90929  13504.7  96  0.0213673  288.559
90950  65771.4  97  0.0215847  1419.66
90951  58403.5  97  0.0215847  1260.62
90952  53332.5  97  0.0215847  1151.17
90953  56155.2  97  0.0215847  1212.1
90968  68726.2  97  0.0215847  1483.44
90983  73519  98  0.0218021  1602.87
90984  68224.6  98  0.0218021  1487.44
90985  68260.1  99  0.0220195  1503.05
90986  9386.14  99  0.0220195  206.678
91004  57580.5  99  0.0220195  1267.89
91005  60931.4  99  0.0220195  1341.68
91006  41275.7  99  0.0220195  908.869
91007  53154.8  99  0.0220195  1170.44
91015  40074  100  0.0222368  891.117
91017  77267.8  100  0.0222368  1718.19
91018  65349.4  100  0.0222368  1453.16
91019  28976.8  100  0.0222368  644.351
91020  18658.3  100  0.0222368  414.9
91021  35146.2  100  0.0222368  781.538
91034  61167.6  101  0.0224541  1373.46
91035  72512.2  101  0.0224541  1628.19
91036  68272.3  101  0.0224541  1532.99
91037  62070.3  101  0.0224541  1393.73
91059  70082.2  101  0.0224541  1573.63
91060  68675.8  101  0.0224541  1542.05
91061  68528.4  102  0.0226713  1553.62
91062  53361.3  102  0.0226713  1209.77
91074  59264.5  102  0.0226713  1343.6
91075  46366.2  102  0.0226713  1051.18
91076  33512.4  102  0.0226713  759.768
91077  63637.8  102  0.0226713  1442.75
91078  58411.6  102  0.0226713  1324.27
91085  68379.6  103  0.0228884  1565.1
91086  72028.2  103  0.0228884  1648.61
91087  46666.3  103  0.0228884  1068.12
91088  49404.3  103  0.0228884  1130.79
91101  607.816  103  0.0228884  13.912
91103  80420  104  0.0231055  1858.15
91104  105133  104  0.0231055  2429.15
91105  89899.1  104  0.0231055  2077.17
91120  64805.8  104  0.0231055  1497.37
91121  12357.3  104  0.0231055  285.522
91124  15488.3  105  0.0233226  361.227
91127  37054.7  105  0.0233226  864.213
91128  2237.98  105  0.0233226  52.1955
91129  8300.43  105  0.0233226  193.588
91130  63049.6  105  0.0233226  1470.48
91131  41344.6  105  0.0233226  964.264
91163  63493.9  107  0.0237566  1508.4
91164  79251.7  107  0.0237566  1882.75
91180  9983.11  107  0.0237566  237.165
91181  2788.97  107  0.0237566  66.2563
91182  69221.8  107  0.0237566  1644.47
91183  74299.1  107  0.0237566  1765.09
91184  77216.5  107  0.0237566  1834.4
91185  74374.2  108  0.0239735  1783.01
91222  31911.4  112  0.0248407  792.701
91223  61650.4  112  0.0248407  1531.44
91224  62597.7  112  0.0248407  1554.97
91225  63629.4  112  0.0248407  1580.6
91226  73286.4  113  0.0250574  1836.36
91235  76749.3  113  0.0250574  1923.14
91236  71135.6  113  0.0250574  1782.47
91237  56062.9  113  0.0250574  1404.79
91238  60925.2  113  0.0250574  1526.62
91248  41433.2  114  0.025274  1047.18
91249  59696.7  114  0.025274  1508.78
91250  59914.9  114  0.025274  1514.29
91251  69163.7  114  0.025274  1748.04
91266  48268.1  115  0.0254906  1230.38
91267  59948  115  0.0254906  1528.11
91268  58655.7  115  0.0254906  1495.17
91269  57876.7  115  0.0254906  1475.31
91270  27159.3  115  0.0254906  692.307
91277  14709.3  116  0.0257071  378.133
91278  22071.1  116  0.0257071  567.384
91279  14587.4  116  0.0257071  375
91290  74887.5  117  0.0259236  1941.35
91291  63578.5  117  0.0259236  1648.18
91292  69459.9  117  0.0259236  1800.65
91293  70651.7  117  0.0259236  1831.55
91304  53674.3  117  0.0259236  1391.43
91305  50494.5  117  0.0259236  1309
91306  38123.7  117  0.0259236  988.304
91307  65437.3  117  0.0259236  1696.37
91319  62650.8  118  0.02614  1637.69
91320  68310.8  118  0.02614  1785.65
91321  68238.6  118  0.02614  1783.76
91322  64870.2  118  0.02614  1695.71
91323  70606.6  118  0.02614  1845.66
91355  70818.7  120  0.0265728  1881.85
91356  60615.9  121  0.0267891  1623.84
91357  60709.2  121  0.0267891  1626.34
91358  41017  121  0.0267891  1098.81
91359  22302.5  121  0.0267891  597.463
91367  42876.4  121  0.0267891  1148.62
91368  62678.2  121  0.0267891  1679.09
91369  60613.3  121  0.0267891  1623.77
91370  59186.8  121  0.0267891  1585.56
91381  66524.4  122  0.0270053  1796.51
91382  27814.1  122  0.0270053  751.128
91383  46307.5  122  0.0270053  1250.55
91384  63656.5  122  0.0270053  1719.06
91385  65158.2  122  0.0270053  1759.62
91395  69488.3  123  0.0272215  1891.58
91396  95421.2  123  0.0272215  2597.51
91397  69113.9  123  0.0272215  1881.39
91399  77175.1  123  0.0272215  2100.82
91413  71630.6  124  0.0274377  1965.38
91414  21192.4  124  0.0274377  581.469
91415  55469.8  124  0.0274377  1521.96
91416  73234.7  124  0.0274377  2009.39
91417  63344.7  124  0.0274377  1738.03
91418  74395.2  124  0.0274377  2041.23
