x Q^2[GeV^2] y E[%] E'[%] AC[%] RC[%] RE[%] d^2_σ_meas/dxdQ^2[b*GeV^-2] F2d ∆F2_stat ∆F2_syst
0.5000 5.720 0.071 2.2 3.3 9.4 0.2 0.1 0.191E-08 0.1148 0.0100 0.0117
0.5000 6.920 0.086 1.9 3.1 7.0 0.2 0.1 0.118E-08 0.1263 0.0047 0.0100
0.5000 8.880 0.093 1.8 3.0 4.4 0.2 0.1 0.641E-09 0.1053 0.0039 0.0060
0.5000 11.270 0.105 1.9 3.0 2.5 0.2 0.2 0.362E-09 0.1027 0.0044 0.0045
0.5000 14.370 0.133 1.4 2.6 1.5 0.1 0.2 0.206E-09 0.1085 0.0061 0.0036
0.5000 20.030 0.110 2.1 3.3 2.0 0.2 0.7 0.999E-10 0.0876 0.0035 0.0039
0.5000 27.190 0.116 0.9 0.7 2.8 0.1 0.6 0.509E-10 0.0848 0.0020 0.0026
0.5000 35.480 0.143 0.8 0.6 3.3 0.1 0.5 0.282E-10 0.0823 0.0016 0.0029
0.5000 46.620 0.183 0.8 0.6 3.6 0.1 0.5 0.153E-10 0.0805 0.0020 0.0030
0.5000 62.310 0.243 0.8 0.5 3.7 0.2 1.1 0.790E-11 0.0723 0.0047 0.0029
