x    Q2     Ratio     stat_err    sys_err    rel_stat_err    rel_sys_err    tot    rel_tot    Norm(rel)
0.1700  2.4181  1.7383  0.0067  0.0097  0.0039   0.0056   0.0118   0.0068  0.0079
0.1900  2.7207  1.7322  0.0048  0.0091  0.0027   0.0053   0.0103   0.0059  0.0079
0.2200  3.0996  1.7056  0.0051  0.0086  0.0030   0.0050   0.0100   0.0058  0.0079
0.2500  3.4819  1.6774  0.0063  0.0082  0.0038   0.0049   0.0104   0.0062  0.0079
0.2900  4.0202  1.6413  0.0062  0.0080  0.0038   0.0049   0.0101   0.0062  0.0079
0.3200  4.5027  1.6188  0.0077  0.0085  0.0048   0.0053   0.0115   0.0071  0.0079
0.3400  4.9060  1.5920  0.0100  0.0087  0.0063   0.0055   0.0132   0.0083  0.0079
0.3800  5.3173  1.5290  0.0156  0.0093  0.0102   0.0061   0.0182   0.0119  0.0079
