xbj  Yield
0.17   0.000280512   6.35466e-06
0.19   0.00171204   1.56684e-05
0.21   0.00201579   1.70257e-05
0.23   0.00156869   1.50093e-05
0.25   0.000983081   1.18826e-05
0.27   0.00014134   4.50009e-06
0.29   1.45135e-07   1.45135e-07
0.31   0   0
0.33   0   0
0.35   0   0
0.37   0   0
0.39   0   0
0.41   0   0
0.43   0   0
0.45   0   0
0.47   0   0
0.49   0   0
