xbj  Yield
0.17   0.000445667   8.26224e-06
0.19   0.00286457   2.09718e-05
0.21   0.00334199   2.26633e-05
0.23   0.00261349   2.00384e-05
0.25   0.00161172   1.57277e-05
0.27   0.000241032   6.07605e-06
0.29   0   0
0.31   0   0
0.33   0   0
0.35   0   0
0.37   0   0
0.39   0   0
0.41   0   0
0.43   0   0
0.45   0   0
0.47   0   0
0.49   0   0
