 ***Theta   Eprime   Sig_Born   Sig_Rad
   18.4401   2.9605   5.4919   6.4814
   18.4401   2.9695   5.4799   6.4569
   18.4401   2.9785   5.4679   6.4320
   18.4401   2.9875   5.4560   6.4085
   18.4401   2.9965   5.4440   6.3845
   18.4401   3.0055   5.4320   6.3606
   18.4401   3.0145   5.4201   6.3369
   18.4401   3.0235   5.4081   6.3132
   18.4401   3.0325   5.3962   6.2897
   18.4401   3.0415   5.3842   6.2663
   18.4401   3.0505   5.3723   6.2431
   18.4401   3.0595   5.3604   6.2199
   18.4401   3.0685   5.3485   6.1968
   18.4401   3.0775   5.3366   6.1739
   18.4401   3.0865   5.3247   6.1510
   18.4401   3.0955   5.3128   6.1285
   18.4401   3.1045   5.3009   6.1058
   18.4401   3.1135   5.2890   6.0833
   18.4401   3.1225   5.2771   6.0609
   18.4401   3.1315   5.2652   6.0381
   18.4401   3.1405   5.2533   6.0159
   18.4401   3.1495   5.2414   5.9937
   18.4401   3.1585   5.2295   5.9716
   18.4401   3.1675   5.2176   5.9496
   18.4401   3.1765   5.2057   5.9277
   18.4401   3.1855   5.1938   5.9059
   18.4401   3.1945   5.1819   5.8841
   18.4401   3.2035   5.1700   5.8624
   18.4401   3.2125   5.1581   5.8407
   18.4401   3.2215   5.1462   5.8191
   18.4401   3.2305   5.1343   5.7977
   18.4401   3.2395   5.1224   5.7763
   18.9401   2.9605   4.8729   5.6818
   18.9401   2.9695   4.8612   5.6593
   18.9401   2.9785   4.8495   5.6370
   18.9401   2.9875   4.8378   5.6148
   18.9401   2.9965   4.8261   5.5926
   18.9401   3.0055   4.8144   5.5706
   18.9401   3.0145   4.8027   5.5487
   18.9401   3.0235   4.7910   5.5268
   18.9401   3.0325   4.7793   5.5053
   18.9401   3.0415   4.7677   5.4837
   18.9401   3.0505   4.7560   5.4622
   18.9401   3.0595   4.7443   5.4407
   18.9401   3.0685   4.7327   5.4191
   18.9401   3.0775   4.7210   5.3979
   18.9401   3.0865   4.7094   5.3766
   18.9401   3.0955   4.6977   5.3556
   18.9401   3.1045   4.6860   5.3346
   18.9401   3.1135   4.6744   5.3136
   18.9401   3.1225   4.6627   5.2928
   18.9401   3.1315   4.6511   5.2721
   18.9401   3.1405   4.6394   5.2514
   18.9401   3.1495   4.6277   5.2308
   18.9401   3.1585   4.6161   5.2103
   18.9401   3.1675   4.6044   5.1899
   18.9401   3.1765   4.5927   5.1693
   18.9401   3.1855   4.5811   5.1490
   18.9401   3.1945   4.5694   5.1287
   18.9401   3.2035   4.5577   5.1088
   18.9401   3.2125   4.5460   5.0887
   18.9401   3.2215   4.5343   5.0686
   18.9401   3.2305   4.5226   5.0485
   18.9401   3.2395   4.5109   5.0286
   19.4401   2.9605   4.3249   4.9844
   19.4401   2.9695   4.3135   4.9638
   19.4401   2.9785   4.3021   4.9431
   19.4401   2.9875   4.2907   4.9226
   19.4401   2.9965   4.2793   4.9021
   19.4401   3.0055   4.2679   4.8814
   19.4401   3.0145   4.2564   4.8611
   19.4401   3.0235   4.2450   4.8408
   19.4401   3.0325   4.2336   4.8207
   19.4401   3.0415   4.2222   4.8006
   19.4401   3.0505   4.2108   4.7806
   19.4401   3.0595   4.1994   4.7607
   19.4401   3.0685   4.1880   4.7409
   19.4401   3.0775   4.1766   4.7212
   19.4401   3.0865   4.1652   4.7015
   19.4401   3.0955   4.1538   4.6819
   19.4401   3.1045   4.1424   4.6624
   19.4401   3.1135   4.1310   4.6430
   19.4401   3.1225   4.1196   4.6236
   19.4401   3.1315   4.1082   4.6045
   19.4401   3.1405   4.0968   4.5852
   19.4401   3.1495   4.0854   4.5661
   19.4401   3.1585   4.0740   4.5468
   19.4401   3.1675   4.0625   4.5278
   19.4401   3.1765   4.0511   4.5088
   19.4401   3.1855   4.0397   4.4899
   19.4401   3.1945   4.0282   4.4711
   19.4401   3.2035   4.0168   4.4523
   19.4401   3.2125   4.0053   4.4336
   19.4401   3.2215   3.9939   4.4150
   19.4401   3.2305   3.9824   4.3964
   19.4401   3.2395   3.9710   4.3766
   19.9401   2.9605   3.8388   4.3743
   19.9401   2.9695   3.8277   4.3550
   19.9401   2.9785   3.8166   4.3358
   19.9401   2.9875   3.8054   4.3167
   19.9401   2.9965   3.7943   4.2976
   19.9401   3.0055   3.7832   4.2787
   19.9401   3.0145   3.7721   4.2598
   19.9401   3.0235   3.7609   4.2410
   19.9401   3.0325   3.7498   4.2223
   19.9401   3.0415   3.7387   4.2036
   19.9401   3.0505   3.7276   4.1850
   19.9401   3.0595   3.7165   4.1665
   19.9401   3.0685   3.7053   4.1482
   19.9401   3.0775   3.6942   4.1298
   19.9401   3.0865   3.6831   4.1115
   19.9401   3.0955   3.6720   4.0931
   19.9401   3.1045   3.6608   4.0749
   19.9401   3.1135   3.6497   4.0568
   19.9401   3.1225   3.6385   4.0388
   19.9401   3.1315   3.6274   4.0208
   19.9401   3.1405   3.6163   4.0029
   19.9401   3.1495   3.6051   3.9851
   19.9401   3.1585   3.5940   3.9673
   19.9401   3.1675   3.5828   3.9495
   19.9401   3.1765   3.5716   3.9309
   19.9401   3.1855   3.5605   3.9142
   19.9401   3.1945   3.5493   3.8967
   19.9401   3.2035   3.5381   3.8791
   19.9401   3.2125   3.5269   3.8630
   19.9401   3.2215   3.5157   3.8456
   19.9401   3.2305   3.5045   3.8282
   19.9401   3.2395   3.4933   3.8108
   20.4401   2.9605   3.4067   3.8393
   20.4401   2.9695   3.3959   3.8214
   20.4401   2.9785   3.3850   3.8035
   20.4401   2.9875   3.3742   3.7857
   20.4401   2.9965   3.3634   3.7680
   20.4401   3.0055   3.3525   3.7505
   20.4401   3.0145   3.3417   3.7329
   20.4401   3.0235   3.3309   3.7154
   20.4401   3.0325   3.3201   3.6978
   20.4401   3.0415   3.3092   3.6804
   20.4401   3.0505   3.2984   3.6631
   20.4401   3.0595   3.2876   3.6458
   20.4401   3.0685   3.2767   3.6287
   20.4401   3.0775   3.2659   3.6115
   20.4401   3.0865   3.2551   3.5945
   20.4401   3.0955   3.2442   3.5775
   20.4401   3.1045   3.2334   3.5606
   20.4401   3.1135   3.2225   3.5429
   20.4401   3.1225   3.2117   3.5268
   20.4401   3.1315   3.2008   3.5100
   20.4401   3.1405   3.1899   3.4934
   20.4401   3.1495   3.1791   3.4778
   20.4401   3.1585   3.1682   3.4612
   20.4401   3.1675   3.1573   3.4446
   20.4401   3.1765   3.1465   3.4281
   20.4401   3.1855   3.1356   3.4116
   20.4401   3.1945   3.1247   3.3951
   20.4401   3.2035   3.1138   3.3787
   20.4401   3.2125   3.1029   3.3624
   20.4401   3.2215   3.0920   3.3460
   20.4401   3.2305   3.0810   3.3297
   20.4401   3.2395   3.0701   3.3135
   20.9401   2.9605   3.0219   3.3694
   20.9401   2.9695   3.0114   3.3526
   20.9401   2.9785   3.0008   3.3359
   20.9401   2.9875   2.9903   3.3193
   20.9401   2.9965   2.9798   3.3028
   20.9401   3.0055   2.9693   3.2863
   20.9401   3.0145   2.9587   3.2699
   20.9401   3.0235   2.9482   3.2536
   20.9401   3.0325   2.9377   3.2374
   20.9401   3.0415   2.9272   3.2212
   20.9401   3.0505   2.9166   3.2044
   20.9401   3.0595   2.9061   3.1889
   20.9401   3.0685   2.8956   3.1729
   20.9401   3.0775   2.8850   3.1579
   20.9401   3.0865   2.8745   3.1420
   20.9401   3.0955   2.8640   3.1261
   20.9401   3.1045   2.8534   3.1103
   20.9401   3.1135   2.8429   3.0945
   20.9401   3.1225   2.8323   3.0787
   20.9401   3.1315   2.8218   3.0630
   20.9401   3.1405   2.8112   3.0474
   20.9401   3.1495   2.8006   3.0309
   20.9401   3.1585   2.7901   3.0154
   20.9401   3.1675   2.7795   2.9999
   20.9401   3.1765   2.7689   2.9845
   20.9401   3.1855   2.7584   2.9691
   20.9401   3.1945   2.7478   2.9544
   20.9401   3.2035   2.7372   2.9391
   20.9401   3.2125   2.7266   2.9238
   20.9401   3.2215   2.7160   2.9084
   20.9401   3.2305   2.7054   2.8932
   20.9401   3.2395   2.6948   2.8781
   21.4401   2.9605   2.6787   2.9555
   21.4401   2.9695   2.6685   2.9399
   21.4401   2.9785   2.6583   2.9244
   21.4401   2.9875   2.6481   2.9089
   21.4401   2.9965   2.6379   2.8933
   21.4401   3.0055   2.6277   2.8782
   21.4401   3.0145   2.6175   2.8638
   21.4401   3.0235   2.6072   2.8486
   21.4401   3.0325   2.5970   2.8334
   21.4401   3.0415   2.5868   2.8182
   21.4401   3.0505   2.5766   2.8031
   21.4401   3.0595   2.5664   2.7880
   21.4401   3.0685   2.5562   2.7730
   21.4401   3.0775   2.5460   2.7573
   21.4401   3.0865   2.5357   2.7424
   21.4401   3.0955   2.5255   2.7276
   21.4401   3.1045   2.5153   2.7128
   21.4401   3.1135   2.5051   2.6981
   21.4401   3.1225   2.4948   2.6834
   21.4401   3.1315   2.4846   2.6688
   21.4401   3.1405   2.4744   2.6547
   21.4401   3.1495   2.4641   2.6401
   21.4401   3.1585   2.4539   2.6254
   21.4401   3.1675   2.4437   2.6110
   21.4401   3.1765   2.4334   2.5965
   21.4401   3.1855   2.4232   2.5822
   21.4401   3.1945   2.4129   2.5678
   21.4401   3.2035   2.4027   2.5532
   21.4401   3.2125   2.3924   2.5392
   21.4401   3.2215   2.3821   2.5250
   21.4401   3.2305   2.3719   2.5109
   21.4401   3.2395   2.3616   2.4967
   21.9401   2.9605   2.3723   2.5916
   21.9401   2.9695   2.3624   2.5771
   21.9401   2.9785   2.3525   2.5626
   21.9401   2.9875   2.3426   2.5481
   21.9401   2.9965   2.3328   2.5337
   21.9401   3.0055   2.3229   2.5186
   21.9401   3.0145   2.3130   2.5043
   21.9401   3.0235   2.3031   2.4901
   21.9401   3.0325   2.2932   2.4759
   21.9401   3.0415   2.2833   2.4618
   21.9401   3.0505   2.2735   2.4477
   21.9401   3.0595   2.2636   2.4336
   21.9401   3.0685   2.2537   2.4197
   21.9401   3.0775   2.2438   2.4057
   21.9401   3.0865   2.2339   2.3923
   21.9401   3.0955   2.2240   2.3782
   21.9401   3.1045   2.2142   2.3644
   21.9401   3.1135   2.2043   2.3507
   21.9401   3.1225   2.1944   2.3369
   21.9401   3.1315   2.1845   2.3232
   21.9401   3.1405   2.1746   2.3093
   21.9401   3.1495   2.1647   2.2959
   21.9401   3.1585   2.1548   2.2824
   21.9401   3.1675   2.1449   2.2690
   21.9401   3.1765   2.1350   2.2555
   21.9401   3.1855   2.1251   2.2421
   21.9401   3.1945   2.1152   2.2287
   21.9401   3.2035   2.1053   2.2154
   21.9401   3.2125   2.0954   2.2021
   21.9401   3.2215   2.0855   2.1889
   21.9401   3.2305   2.0756   2.1756
   21.9401   3.2395   2.0657   2.1625
   22.4401   2.9605   2.0984   2.2690
