---------- H1 ----------
0  0.16  0.23
1  0.18  0.25
2  0.21  0.29
3  0.25  0.33
4  0.28  0.38
---------- D2 ----------
0  0.16  0.23
1  0.18  0.25
2  0.21  0.29
3  0.25  0.33
4  0.28  0.37
5  0.32  0.42
7  0.39  0.5
9  0.46  0.58
11  0.54  0.66
13  0.61  0.74
15  0.68  0.81
---------- He ----------
0  0.16  0.23
1  0.18  0.25
2  0.21  0.29
3  0.25  0.33
4  0.28  0.37
5  0.32  0.42
7  0.39  0.5
9  0.46  0.58
11  0.54  0.66
13  0.61  0.74
15  0.68  0.81
---------- H3 ----------
0  0.16  0.23
1  0.18  0.25
2  0.21  0.29
3  0.25  0.33
4  0.28  0.37
5  0.32  0.42
7  0.39  0.5
9  0.46  0.58
11  0.54  0.66
13  0.61  0.74
15  0.68  0.82
