------------0.035----------
0.22  0.00367827  0.00159109  0.013649
0.25  0.00389347  0.0016478  0.0147234
0.29  0.00447011  0.00183709  0.0150034
0.33  0.0051624  0.00208185  0.0176047
0.36  0.0056649  0.00222997  0.021009
0.385  0.00619477  0.0022911  0.0319674
------------0.034----------
0.22  0.003683  0.00159109  0.0136666
0.25  0.00389866  0.0016478  0.014743
0.29  0.00447634  0.00183709  0.0150243
0.33  0.00516979  0.00208185  0.0176299
0.36  0.00567332  0.00222997  0.0210402
0.385  0.00620489  0.0022911  0.0320196
------------0.033----------
0.22  0.00368775  0.00159109  0.0136842
0.25  0.00390386  0.0016478  0.0147627
0.29  0.00448259  0.00183709  0.0150453
0.33  0.00517722  0.00208185  0.0176552
0.36  0.00568178  0.00222997  0.0210715
0.385  0.00621506  0.0022911  0.0320721
------------0.032----------
0.22  0.00369252  0.00159109  0.0137019
0.25  0.0039091  0.0016478  0.0147825
0.29  0.00448888  0.00183709  0.0150664
0.33  0.00518468  0.00208185  0.0176806
0.36  0.00569027  0.00222997  0.0211031
0.385  0.00622528  0.0022911  0.0321248
------------0.031----------
0.22  0.00369732  0.00159109  0.0137197
0.25  0.00391435  0.0016478  0.0148024
0.29  0.00449519  0.00183709  0.0150876
0.33  0.00519218  0.00208185  0.0177062
0.36  0.00569882  0.00222997  0.0211347
0.385  0.00623555  0.0022911  0.0321778
------------0.03----------
0.22  0.00370213  0.00159109  0.0137376
0.25  0.00391963  0.0016478  0.0148223
0.29  0.00450154  0.00183709  0.0151089
0.33  0.00519971  0.00208185  0.0177319
0.36  0.0057074  0.00222997  0.0211666
0.385  0.00624588  0.0022911  0.0322311
------------0.029----------
0.22  0.00370697  0.00159109  0.0137556
0.25  0.00392494  0.0016478  0.0148424
0.29  0.00450791  0.00183709  0.0151303
0.33  0.00520728  0.00208185  0.0177577
0.36  0.00571602  0.00222997  0.0211986
0.385  0.00625626  0.0022911  0.0322847
------------0.028----------
0.22  0.00371183  0.00159109  0.0137736
0.25  0.00393026  0.0016478  0.0148626
0.29  0.00451432  0.00183709  0.0151518
0.33  0.00521489  0.00208185  0.0177837
0.36  0.00572469  0.00222997  0.0212307
0.385  0.0062667  0.0022911  0.0323386
------------0.027----------
0.22  0.00371672  0.00159109  0.0137917
0.25  0.00393562  0.0016478  0.0148828
0.29  0.00452076  0.00183709  0.0151734
0.33  0.00522253  0.00208185  0.0178097
0.36  0.0057334  0.00222997  0.021263
0.385  0.0062772  0.0022911  0.0323927
------------0.026----------
0.22  0.00372162  0.00159109  0.0138099
0.25  0.003941  0.0016478  0.0149031
0.29  0.00452722  0.00183709  0.0151951
0.33  0.00523022  0.00208185  0.0178359
0.36  0.00574216  0.00222997  0.0212955
0.385  0.00628774  0.0022911  0.0324472
------------0.025----------
0.22  0.00372655  0.00159109  0.0138282
0.25  0.0039464  0.0016478  0.0149236
0.29  0.00453372  0.00183709  0.0152169
0.33  0.00523793  0.00208185  0.0178622
0.36  0.00575096  0.00222997  0.0213281
0.385  0.00629835  0.0022911  0.0325019
------------0.024----------
0.22  0.0037315  0.00159109  0.0138466
0.25  0.00395183  0.0016478  0.0149441
0.29  0.00454025  0.00183709  0.0152388
0.33  0.00524569  0.00208185  0.0178887
0.36  0.0057598  0.00222997  0.0213609
0.385  0.00630901  0.0022911  0.0325569
------------0.023----------
0.22  0.00373647  0.00159109  0.013865
0.25  0.00395729  0.0016478  0.0149648
0.29  0.00454682  0.00183709  0.0152608
0.33  0.00525349  0.00208185  0.0179153
0.36  0.00576869  0.00222997  0.0213939
0.385  0.00631973  0.0022911  0.0326122
------------0.022----------
