x     Ratio     Ratio_err      relative_err
0.19473  1.61246  0.00400578  0.00248427
0.224231  1.60489  0.00427931  0.00266642
0.25459  1.603  0.00600156  0.00374395
0.284005  1.61616  0.00680153  0.00420845
0.314829  1.58529  0.00734327  0.00463213
0.343658  1.60679  0.00821927  0.00511534
0.373287  1.62533  0.0110671  0.00680913
0.405701  1.61249  0.0136437  0.00846126
0.434517  1.57994  0.0132594  0.00839236
0.46571  1.6108  0.0136373  0.00846615
0.494654  1.63156  0.0131758  0.00807557
0.524053  1.63602  0.0148521  0.00907815
0.555124  1.60668  0.0141766  0.0088235
0.584447  1.61614  0.0150404  0.00930636
0.61494  1.59242  0.0154547  0.00970514
0.644758  1.63024  0.0161139  0.00988438
0.6743  1.59714  0.017333  0.0108525
0.705128  1.65569  0.0171535  0.0103604
0.734512  1.65059  0.0177442  0.0107502
0.763986  1.68801  0.020818  0.0123329
0.793484  1.65127  0.0264334  0.0160079
0.822727  1.63956  0.038726  0.0236197
