 ***Theta   Eprime   Sig_Born   Sig_Rad
   16.1760   2.9920  16.9765  20.3335
   16.5750   3.0640  15.0332  17.6480
   17.4990   3.0570  11.8025  13.5880
   18.4030   3.0450   9.3591  10.5882
   18.9620   3.0690   8.0308   8.9488
   19.7030   3.0710   6.6149   7.2599
   20.4010   3.0770   5.4941   5.9444
   20.8250   3.1270   4.7944   5.1095
   21.3750   3.1380   4.1062   4.3253
   22.1200   3.1260   3.3672   3.5053
   22.5040   3.1620   2.9543   3.0404
   23.1990   3.1590   2.4233   2.4651
   23.4340   3.1990   2.1926   2.2098
