xbj  Yield
0.17   0   0
0.19   0   0
0.21   0.000550865   9.68515e-06
0.23   0.00180796   1.75589e-05
0.25   0.00194966   1.82363e-05
0.27   0.00155075   1.62585e-05
0.29   0.00102394   1.32019e-05
0.31   0.000238852   6.3712e-06
0.33   5.56658e-07   2.98349e-07
0.35   0   0
0.37   0   0
0.39   0   0
0.41   0   0
0.43   0   0
0.45   0   0
0.47   0   0
0.49   0   0
