xbj  Yield
0.17   0   0
0.19   0   0
0.21   0   0
0.23   3.84472e-06   8.33229e-07
0.25   0.000485495   9.44282e-06
0.27   0.00113283   1.44751e-05
0.29   0.00118611   1.47975e-05
0.31   0.000970099   1.33646e-05
0.33   0.000668868   1.11364e-05
0.35   0.000231176   6.5312e-06
0.37   3.92092e-06   8.47761e-07
0.39   0   0
0.41   0   0
0.43   0   0
0.45   0   0
0.47   0   0
0.49   0   0
