  0.153   0.1805      2.4181     0.17    0.171209    0
  0.168    0.206     2.71727     0.19    0.192751    1
 0.1805    0.208     2.72153     0.19      0.1936    0
  0.206    0.235     3.08491     0.22    0.219611    1
  0.208   0.2355     3.09413     0.22    0.220297    0
  0.203    0.232     3.14505     0.22    0.222393    2
 0.2355    0.263      3.3544     0.25    0.240354    0
  0.232    0.261      3.4603     0.25    0.246166    2
  0.235    0.283     3.46649     0.25    0.247311    1
  0.237     0.27     3.67097     0.25    0.259487    3
  0.261     0.29     3.85522     0.29    0.274471    2
   0.27      0.3     4.00257     0.29    0.284708    3
  0.273     0.31     4.21472     0.29    0.297824    4
   0.29    0.329     4.17015     0.29    0.298281    2
    0.3     0.33     4.40892     0.32    0.313926    3
   0.31     0.34     4.56797     0.32    0.324777    4
   0.33     0.37     4.75285     0.34    0.339916    3
   0.34    0.368     4.96286     0.34    0.353191    4
  0.368    0.418     5.31734     0.38    0.379924    4
