0  376151  179.241  0.000476514
1  152618  135.173  0.00088569
2  234255  169.968  0.000725569
3  222862  189.48  0.00085021
4  305137  291.338  0.000954779
5  272374  389.106  0.00142857
7  580678  402.427  0.000693029
9  1.12012e+06  575.335  0.000513639
11  1.92422e+06  799.691  0.000415592
13  3.92111e+06  1235.83  0.000315174
15  1.02231e+07  2092.45  0.000204678
