run No.    Charge     decay_time     fHi      Q*fHi
1686  60577.4  99  0.0220195  1333.88
1687  43123.1  99  0.0220195  949.548
1688  54691.3  99  0.0220195  1204.27
1696  40242.5  100  0.0222368  894.864
1698  79514.8  100  0.0222368  1768.15
1699  67465.9  100  0.0222368  1500.23
1700  27461.9  100  0.0222368  610.666
1702  35988.5  100  0.0222368  800.269
1713  59574.9  101  0.0224541  1337.7
1714  70230.6  101  0.0224541  1576.96
1715  66383.7  101  0.0224541  1490.58
1716  60272.9  101  0.0224541  1353.37
1733  69989.8  101  0.0224541  1571.56
1734  67745.2  101  0.0224541  1521.16
1735  67593.5  102  0.0226713  1532.43
1736  53518.4  102  0.0226713  1213.33
1748  57550.5  102  0.0226713  1304.74
1749  46207.8  102  0.0226713  1047.59
1750  33932.9  102  0.0226713  769.301
1751  63970  102  0.0226713  1450.28
1752  58655.3  102  0.0226713  1329.79
1759  68492.3  103  0.0228884  1567.68
1760  72326.8  103  0.0228884  1655.45
1761  46858.9  103  0.0228884  1072.53
1762  49661.9  103  0.0228884  1136.68
1779  74733.4  104  0.0231055  1726.75
1781  81812.9  104  0.0231055  1890.33
1783  78515.6  104  0.0231055  1814.15
1800  64223.5  104  0.0231055  1483.92
1801  13499.9  104  0.0231055  311.923
1804  15627  105  0.0233226  364.463
1807  37269.8  105  0.0233226  869.229
1808  2238.09  105  0.0233226  52.1981
1809  7842.98  105  0.0233226  182.919
1810  63109.3  105  0.0233226  1471.87
1811  41266.9  105  0.0233226  962.451
2719  80238.8  165  0.0362585  2909.34
2720  75323.2  165  0.0362585  2731.11
2721  77229.5  165  0.0362585  2800.23
2722  80733.9  165  0.0362585  2927.29
2723  95693.4  165  0.0362585  3469.7
2735  82958.4  166  0.0364727  3025.71
2736  84328.1  166  0.0364727  3075.67
2737  70697  166  0.0364727  2578.51
2738  83755.6  166  0.0364727  3054.79
2739  41932.7  166  0.0364727  1529.4
1858  80388.7  106  0.0235396  1892.32
1859  80495.9  106  0.0235396  1894.84
1860  77702.3  107  0.0237566  1845.94
1861  79814.3  107  0.0237566  1896.11
1877  10135.5  107  0.0237566  240.786
1878  3468.02  107  0.0237566  82.3884
1879  68902.3  107  0.0237566  1636.88
1880  75582.6  107  0.0237566  1795.58
1881  78087  107  0.0237566  1855.08
1882  74271.4  108  0.0239735  1780.54
1918  31057.6  112  0.0248407  771.491
1919  61601.4  112  0.0248407  1530.22
1920  63511.4  112  0.0248407  1577.67
1921  63290.6  112  0.0248407  1572.18
1922  73461.3  113  0.0250574  1840.75
1932  75074.9  113  0.0250574  1881.18
1933  71533.8  113  0.0250574  1792.45
1934  54406.3  113  0.0250574  1363.28
1935  60073.5  113  0.0250574  1505.28
1945  41391.8  114  0.025274  1046.14
1946  59605.8  114  0.025274  1506.48
1947  60157.9  114  0.025274  1520.43
1948  68980  114  0.025274  1743.4
1963  48024.6  115  0.0254906  1224.17
1964  59938.4  115  0.0254906  1527.86
1965  58490.2  115  0.0254906  1490.95
1966  58065  115  0.0254906  1480.11
1967  26546.8  115  0.0254906  676.694
1974  14335.1  116  0.0257071  368.514
1975  22016.5  116  0.0257071  565.98
1976  15076.2  116  0.0257071  387.565
1988  75232.8  117  0.0259236  1950.3
1989  64366.7  117  0.0259236  1668.62
1990  67598.3  117  0.0259236  1752.39
1991  69483.3  117  0.0259236  1801.26
2001  54449.6  117  0.0259236  1411.53
2002  49640.9  117  0.0259236  1286.87
2003  38123.6  117  0.0259236  988.3
2004  65011.4  117  0.0259236  1685.33
2016  62778.1  118  0.02614  1641.02
2017  67668.2  118  0.02614  1768.85
2018  68155.8  118  0.02614  1781.59
2019  64414.3  118  0.02614  1683.79
2020  70608  118  0.02614  1845.7
2047  44241.3  119  0.0263564  1166.04
2048  68279.7  119  0.0263564  1799.61
2049  61041.8  120  0.0265728  1622.05
2050  64167.6  120  0.0265728  1705.11
2051  42030.7  120  0.0265728  1116.87
2062  71548.6  120  0.0265728  1901.24
2063  60550.7  121  0.0267891  1622.1
2064  60848.3  121  0.0267891  1630.07
