 ***Theta   Eprime   Sig_Born   Sig_Rad
   16.1768   2.9922  16.9722  20.3274
   16.5655   3.0671  15.0608  17.6759
   17.2124   3.1082  12.5605  14.4429
   17.9934   3.1146  10.2005  11.5240
   18.6779   3.1263   8.4855   9.4336
   19.0168   3.1769   7.6211   8.3546
   0   0   0  0
   0   0   0  0
   0   0   0  0
   0   0   0  0
   0   0   0  0
   0   0   0  0
   0   0   0  0
   0   0   0  0
   0   0   0  0
   0   0   0  0
   0   0   0  0
