 ***Theta   Eprime   Sig_Born   Sig_Rad
   16.1770   2.9922   9.4923  11.8179
   16.5750   3.0640   8.4909  10.3227
   17.4970   3.0570   6.7599   8.0320
   18.3960   3.0470   5.4351   6.3264
   18.9590   3.0700   4.7089   5.3883
   19.7050   3.0710   3.9220   4.4117
   19.9680   3.1700   3.5546   3.9146
   20.8240   3.1270   2.9112   3.1699
   21.3680   3.1390   2.5223   2.7101
   22.1230   3.1250   2.0902   2.2170
   22.4720   3.1690   1.8616   1.9485
   23.1900   3.1600   1.5417   1.5939
   23.4480   3.1960   1.4013   1.4344
