X,Y
0.207220,0.158067,
0.229511,0.158225,
0.256434,0.166958,
0.275927,0.175638,
0.296346,0.186459,
0.316759,0.201551,
0.340893,0.212399,
0.359452,0.225343,
0.383594,0.229785,
0.407740,0.232092,
0.434683,0.225878,
0.458837,0.221780,
0.485789,0.209160,
0.526664,0.203045,
0.557306,0.209669,
0.574935,0.222606,
0.592556,0.241949,
0.608317,0.263414,
0.629621,0.306270,
0.646296,0.338418,
0.662031,0.379099,
0.675911,0.417633,
0.690723,0.454037,
0.698116,0.481848,
0.709209,0.520362,
0.724924,0.575990,
0.738769,0.640146,
0.747085,0.672234,
0.757236,0.721417,
0.767380,0.774871,
0.777525,0.828324,
0.785824,0.873224,
0.795980,0.918136,
0.800552,0.971550,
0.807005,1.00790,
