x,Y
0.205756,0.256925,
0.220407,0.256872,
0.230174,0.255235,
0.246924,0.264791,
0.261579,0.269546,
0.280428,0.287107,
0.299280,0.309476,
0.313938,0.319039,
0.328600,0.335013,
0.339070,0.342988,
0.351634,0.350957,
0.362105,0.360535,
0.378156,0.366888,
0.392113,0.371646,
0.406067,0.373199,
0.419321,0.369946,
0.438158,0.369879,
0.449315,0.361827,
0.464660,0.355362,
0.475120,0.347312,
0.495348,0.340829,
0.510692,0.334364,
0.525341,0.331107,
0.542090,0.337458,
0.555352,0.347026,
0.569316,0.363002,
0.582584,0.380583,
0.595158,0.404577,
0.606338,0.430178,
0.615419,0.446171,
0.620313,0.462179,
0.631495,0.489383,
0.638490,0.516602,
0.646876,0.537406,
0.656669,0.575832,
0.667160,0.614257,
0.674158,0.644681,
0.682554,0.681510,
0.689555,0.716741,
0.695856,0.748770,
0.703555,0.785602,
0.709855,0.816028,
0.717559,0.860873,
0.723862,0.896107,
0.730867,0.937748,
0.736471,0.971382,
0.742078,1.00982,
0.746987,1.04667,
0.751891,1.07710,
0.758198,1.11874,
0.763111,1.16199,
0.767318,1.19243,
0.770837,1.23729,
0.776444,1.27573,
0.780661,1.32219,
0.785561,1.34621,
0.787675,1.37665,
0.791882,1.40869,
0.795396,1.44553,
0.799610,1.48718,
