x   e+_err    e+_rel_err     ECC_err     ECC_rel_err
0.194776  0.000544695  0.000376171  0.000613523  0.000423705
0.224326  0.000252239  0.000176743  0.000365851  0.00025635
0.254773  0.00018286  0.00012972  0.000310112  0.000219992
0.284025  0.000192659  0.000137919  0.000332679  0.000238156
0.314571  0.000190662  0.000138311  0.000347256  0.000251907
0.343435  0.000161393  0.000116676  0.000322235  0.000232953
0.373234  0.000179888  0.000129945  0.000411212  0.000297046
0.405661  0.000160005  0.000119371  0.000448073  0.000334283
0.434459  0.000177349  0.000134342  0.000595618  0.000451183
0.465593  0.000142876  0.000107665  0.00056287  0.000424153
0.494737  0.000112587  8.43737e-05  0.000528033  0.000395711
0.524017  0.000118831  9.00902e-05  0.000672762  0.000510044
0.555072  8.05838e-05  6.2487e-05  0.000556362  0.000431418
0.584337  6.9537e-05  5.39321e-05  0.00057219  0.000443784
0.614828  5.75216e-05  4.47674e-05  0.000573906  0.000446654
0.644715  4.59396e-05  3.60356e-05  0.000549472  0.000431013
0.674311  4.26315e-05  3.38786e-05  0.000619489  0.000492299
0.704992  3.1982e-05  2.47839e-05  0.000544013  0.000421573
0.73508  2.30688e-05  1.79081e-05  0.000470454  0.00036521
0.764699  1.98114e-05  1.53534e-05  0.000481252  0.000372959
0.794265  1.74036e-05  1.33498e-05  0.000501409  0.000384618
0.823444  1.5187e-05  1.15265e-05  0.000516085  0.000391694
