xbj  Yield
0.17   0   0
0.19   0   0
0.21   0.000332117   7.26375e-06
0.23   0.00110872   1.3273e-05
0.25   0.00120489   1.38349e-05
0.27   0.000954237   1.23167e-05
0.29   0.000633397   1.00287e-05
0.31   0.000155002   4.96357e-06
0.33   6.37408e-07   3.1743e-07
0.35   0   0
0.37   0   0
0.39   0   0
0.41   0   0
0.43   0   0
0.45   0   0
0.47   0   0
0.49   0   0
