xbj  Yield
0.17   0   0
0.19   0   0
0.21   0   0
0.23   1.97044e-06   5.64416e-07
0.25   0.000293425   6.91154e-06
0.27   0.00070105   1.06878e-05
0.29   0.000743004   1.09991e-05
0.31   0.000607499   9.94759e-06
0.33   0.000425852   8.32903e-06
0.35   0.000141294   4.78331e-06
0.37   2.25771e-06   5.90438e-07
0.39   0   0
0.41   0   0
0.43   0   0
0.45   0   0
0.47   0   0
0.49   0   0
