xbj  Yield
0.17   0   0
0.19   0   0
0.21   0   0
0.23   0   0
0.25   0   0
0.27   1.54636e-05   1.34879e-06
0.29   0.000245427   5.38689e-06
0.31   0.000460654   7.37977e-06
0.33   0.000490868   7.59959e-06
0.35   0.000400332   6.87315e-06
0.37   0.000291302   5.85207e-06
0.39   0.000124192   3.82911e-06
0.41   8.27588e-06   9.87258e-07
0.43   0   0
0.45   0   0
0.47   0   0
0.49   0   0
